Regulator	Target	MI
CEBPB	SPI1	0.3072283848116255
CEBPB	LOC134466	0.20626620211256874
CEBPB	CAPNS1	0.3373783931216625
CEBPB	ZC3H12B	0.26468932501593034
CEBPB	ZC3H12A	0.39691226506158106
CEBPB	VSTM1	0.2295127679482727
CEBPB	MNX1	0.2442738228346233
CEBPB	LOC613037	0.24624483743609105
CEBPB	UNC5A	0.18922704748652386
CEBPB	SECISBP2	0.25774652771909157
CEBPB	HDGFRP3	0.29003742207782324
CEBPB	CACNA2D4	0.5439604253972652
CEBPB	SIGIRR	0.2015179064843302
CEBPB	CH25H	0.4059338913810864
CEBPB	ATF5	0.20200046765991697
CEBPB	DEDD2	0.2491590589719328
CEBPB	EPB41L1	0.1934385029949377
CEBPB	RDH10	0.34103853649214955
CEBPB	SFN	0.3992718903511321
CEBPB	RDH13	0.1945473576323975
CEBPB	PRPF38A	0.2181366144870749
CEBPB	TIPARP	0.3350306248154329
CEBPB	FN1	0.2640342049536919
CEBPB	BTBD11	0.3032591090627532
CEBPB	PBX1	0.2365515627746202
CEBPB	LOC606724	0.47527773838431475
CEBPB	FXYD6	0.2969838204655124
CEBPB	FXYD5	0.2890683801386533
CEBPB	DZIP3	0.32936813822428856
CEBPB	ARHGAP9	0.25794308593313886
CEBPB	SIGLEC9	0.45400310168312874
CEBPB	PRKAG1	0.2062382911641336
CEBPB	ZNF43	0.1957386318585561
CEBPB	FRG2C	0.23680162262666915
CEBPB	MED16	0.2062536784582294
CEBPB	FAM115A	0.1877033615714705
CEBPB	SHD	0.2330150774734845
CEBPB	PCMTD2	0.3100880596519744
CEBPB	MMP24	0.25597966101925884
CEBPB	MED10	0.19011154231860683
CEBPB	ZNF41	0.21970759280639207
CEBPB	TSPO	0.356234149810132
CEBPB	NEFM	0.19619716749710037
CEBPB	JAK3	0.2069293925155451
CEBPB	DUSP5	0.2302734073229029
CEBPB	KCND2	0.3868681611866238
CEBPB	DUSP1	0.3634476766844257
CEBPB	RMI1	0.20193936637830934
CEBPB	SLC39A14	0.3460764203901521
CEBPB	CDC20B	0.19806450336175363
CEBPB	MED24	0.2506977503682277
CEBPB	SLC7A7	0.28030795821474186
CEBPB	CYP21A2	0.1960722570408251
CEBPB	MMP19	0.3233955145092109
CEBPB	PPARG	0.21163426870271174
CEBPB	LOC100268168	0.22278677625513676
CEBPB	HCST	0.38359112222739
CEBPB	RAPGEF4	0.19869406894544905
CEBPB	ZNF473	0.1990762866982072
CEBPB	KCNA2	0.38815089711865713
CEBPB	KIAA2022	0.27249168942071833
CEBPB	KCNA5	0.30981564203586753
CEBPB	SLC7A1	0.19922645564070773
CEBPB	EGFR	0.22008448158464589
CEBPB	NEURL1B	0.19004389139142752
CEBPB	MFN1	0.18673220771489163
CEBPB	SPP1	0.3148908244252464
CEBPB	IL12RB2	0.21235449990669153
CEBPB	MBD5	0.18864471185238152
CEBPB	ATAD5	0.2213147213369293
CEBPB	PKM2	0.35080937084049335
CEBPB	NUDT22	0.3693451302314674
CEBPB	SHKBP1	0.3569461089157322
CEBPB	YPEL1	0.2201450144887449
CEBPB	NCAPD3	0.22411082548162398
CEBPB	SIGLEC7	0.38212592051594907
CEBPB	SIGLEC5	0.2725948849190054
CEBPB	PLOD3	0.20652234894585764
CEBPB	CASC3	0.28200185422410673
CEBPB	FADS3	0.2065584106183609
CEBPB	LAPTM4A	0.21031516703955955
CEBPB	FNTA	0.25386983089974713
CEBPB	IBSP	0.27388159523731836
CEBPB	ADORA3	0.22079498944668252
CEBPB	NFATC2IP	0.18621582158636496
