Regulator	Target	MI
CEBPB	HCP5	0.23226674943198589
CEBPB	SPI1	0.2729494906400518
CEBPB	GMFG	0.2277427953017277
CEBPB	C4BPB	0.2298846919667632
CEBPB	SUV420H1	0.2163631670927213
CEBPB	IL4I1	0.1897282661252886
CEBPB	CAPNS1	0.25740662795357583
CEBPB	LIPG	0.19806734282749083
CEBPB	GUSBL2	0.24344333359781078
CEBPB	TMEM8B	0.2259150430853465
CEBPB	GBP5	0.33498238772696354
CEBPB	RNASE4	0.22568154835222476
CEBPB	CACNA2D4	0.316826268998212
CEBPB	RNASE3	0.2605965194801598
CEBPB	ZNF12	0.19447931099062554
CEBPB	LOC643923	0.20403558228434449
CEBPB	RNASE2	0.44035624265667916
CEBPB	LRRC37B	0.3515402342149052
CEBPB	LRRC37A	0.19513924279482708
CEBPB	CH25H	0.20616763689259443
CEBPB	RFX8	0.19846719822924985
CEBPB	LOC100129387	0.19250904426422188
CEBPB	ETHE1	0.2909894222360716
CEBPB	RUFY3	0.23766905763503754
CEBPB	CLDN7	0.27838590994584766
CEBPB	SKAP1	0.28758538214309226
CEBPB	IDO1	0.23543373693812608
CEBPB	ZNF276	0.2849844771202896
CEBPB	IL20RA	0.2323343986436921
CEBPB	COPS7B	0.1985170456373897
CEBPB	FPR3	0.2616346177503921
CEBPB	FPR2	0.2206324936817925
CEBPB	TAPBPL	0.33064439291476333
CEBPB	C2	0.41616745039739644
CEBPB	C3	0.257299352278733
CEBPB	NCRNA00115	0.23090109248533608
CEBPB	C5	0.2071591629937366
CEBPB	MOV10L1	0.21327265669546946
CEBPB	RHBDL3	0.20872459203800098
CEBPB	ZBTB7B	0.298076809530607
CEBPB	LYN	0.24500830654591788
CEBPB	CREBBP	0.2012153829817942
CEBPB	HLA-DRB5	0.229997568841811
CEBPB	COL24A1	0.218207886221788
CEBPB	TSLP	0.19248857672583686
CEBPB	CADM2	0.1923194419416605
CEBPB	FUCA1	0.19103007451406118
CEBPB	PMM2	0.1923689565755744
CEBPB	LOC285456	0.19772051154827697
CEBPB	CP	0.3200100189085182
CEBPB	LOC606724	0.27047297707365203
CEBPB	TREML1	0.2314200230225305
CEBPB	UCK2	0.22986911105792984
CEBPB	NMT1	0.2006078067068522
CEBPB	FXYD5	0.3434057491006248
CEBPB	HAMP	0.239343390323298
CEBPB	ZBTB8B	0.20133477024145652
CEBPB	SFXN5	0.2112400282145268
CEBPB	ZNF498	0.2019763434722588
CEBPB	FERMT3	0.4190407832321057
CEBPB	ARHGAP9	0.3651750223266701
CEBPB	SIGLEC9	0.37617640670719865
CEBPB	MTMR11	0.2362240012012773
CEBPB	HEXA	0.22261672717556635
CEBPB	TMEM51	0.2733788200970553
CEBPB	CTCF	0.20147830035120506
CEBPB	HOXC13	0.24354166962904333
CEBPB	RCSD1	0.22952147277316293
CEBPB	AREG	0.20470828349463321
CEBPB	FAM115A	0.3013407807210893
CEBPB	ARHGAP4	0.2538483240248759
CEBPB	SNORA7B	0.19643715765686753
CEBPB	TMEM48	0.21331571638969038
CEBPB	TSPO	0.40220270673418757
CEBPB	SH3BGRL3	0.4722454166804706
CEBPB	HLA-DPA1	0.1878560275535186
CEBPB	LRRC47	0.20416456980644693
CEBPB	RAG1AP1	0.19894405327623232
CEBPB	TMC1	0.19238536027211062
CEBPB	RIPK3	0.20226906107024334
CEBPB	FOS	0.2772498630732807
CEBPB	JOSD2	0.2879180158005097
CEBPB	VAMP8	0.39224163966542847
CEBPB	FAM113B	0.2206227502778466
CEBPB	MED24	0.1994826681341646
CEBPB	SLC7A7	0.22686306229014708
CEBPB	HTA	0.24306975812226206
CEBPB	MMP16	0.24908747450222002
CEBPB	RILPL2	0.3708209714462294
CEBPB	DPYD	0.46229330166911087
CEBPB	HCST	0.318726565253062
CEBPB	VAMP5	0.24018027431489664
CEBPB	TMEM106A	0.19118714609959397
CEBPB	RAPGEF4	0.27571548647936783
CEBPB	ODC1	0.2172303202550454
CEBPB	SEZ6	0.25576654665913434
CEBPB	ZNF518A	0.21337986995195735
CEBPB	ADAM20	0.1883669130788821
CEBPB	MRPL54	0.19315081721296057
CEBPB	HLA-DMA	0.2580603120702536
CEBPB	GBX2	0.27830903867151413
CEBPB	SPP1	0.2087845192666009
CEBPB	PMS2	0.19272312735989683
