Regulator	Target	MI
CEBPB	LOC388789	0.18641963482949908
CEBPB	SPI1	0.3980600108830856
CEBPB	POP1	0.22096061727281402
CEBPB	EHMT2	0.2851642633842495
CEBPB	GMFG	0.23778617711102523
CEBPB	SLA2	0.20059125163077596
CEBPB	SPIB	0.2089618059697642
CEBPB	IL4I1	0.2405459419748972
CEBPB	LACTB	0.3469961420246648
CEBPB	ALKBH5	0.1927774885999085
CEBPB	CAPNS1	0.2802860693353395
CEBPB	RAVER2	0.35227803427936166
CEBPB	FOXO3B	0.18995646776538955
CEBPB	TMEM8B	0.2235534053695334
CEBPB	RNASE4	0.23757917825405528
CEBPB	CACNA2D4	0.31485392064457596
CEBPB	RNASE3	0.37167358021747265
CEBPB	RNASE2	0.4821098036516869
CEBPB	LRRC37B	0.19224033901063287
CEBPB	CH25H	0.4182534441181822
CEBPB	PRKAR1B	0.1924859939073178
CEBPB	SPINT1	0.23407355681469344
CEBPB	ETHE1	0.24821266780565043
CEBPB	RFX4	0.2460535176446248
CEBPB	CLDN7	0.23274973271160437
CEBPB	CRAMP1L	0.20730613466355496
CEBPB	ORAI3	0.2096528925724943
CEBPB	RBCK1	0.197721381869445
CEBPB	MTMR3	0.24184618390030455
CEBPB	CLCNKB	0.2176696292415885
CEBPB	FPR1	0.23605954982689337
CEBPB	IL20RA	0.27016242422302383
CEBPB	FPR3	0.42617071816914187
CEBPB	FPR2	0.253638438922164
CEBPB	PLA2G5	0.1965422204107421
CEBPB	OAZ1	0.2189867508800747
CEBPB	GIGYF2	0.28748980110509503
CEBPB	C2	0.39430517375399
CEBPB	LOH12CR1	0.19395001997775285
CEBPB	CYB5R1	0.2125472336842531
CEBPB	PRKAR2A	0.18597154548077466
CEBPB	AMZ1	0.21253572705426116
CEBPB	CREBBP	0.2293905332084849
CEBPB	HLA-DRB5	0.2042974454641362
CEBPB	CADM2	0.26366751526724563
CEBPB	FUCA1	0.24532739581914864
CEBPB	EDEM2	0.24025879744452805
CEBPB	CP	0.19238096295103269
CEBPB	PBX1	0.30508035993163496
CEBPB	SNUPN	0.1940375650347832
CEBPB	EIF1	0.2205262151807732
CEBPB	TREML1	0.24508756943693566
CEBPB	DLX6AS	0.194113399793161
CEBPB	FXYD5	0.3706619778948417
CEBPB	DZIP1	0.21649430907168998
CEBPB	HAMP	0.20611879564198876
CEBPB	ZBTB8B	0.26733214699912633
CEBPB	GPR18	0.21386163645807343
CEBPB	EZH2	0.22836986174954266
CEBPB	FERMT3	0.30947138518244177
CEBPB	ARHGAP9	0.38920406568582155
CEBPB	ZNF493	0.23151196543475994
CEBPB	HEXA	0.2584006098520284
CEBPB	NCAPG2	0.20085482126526788
CEBPB	PIGP	0.21872362251172195
CEBPB	TMEM51	0.2511763905645834
CEBPB	ZNF43	0.2376330204598016
CEBPB	EFCAB5	0.28613803333501586
CEBPB	ODF3L1	0.192797847062101
CEBPB	CTCF	0.20336626181107054
CEBPB	ARHGAP4	0.32131318055331715
CEBPB	SMPD2	0.2222760251815794
CEBPB	TMEM48	0.35439679757330556
CEBPB	TRMT112	0.2341342671234612
CEBPB	TUBA1C	0.3761721409081362
CEBPB	TMEM49	0.3006249451795222
CEBPB	MED13	0.2654852208311649
