Regulator	Target	MI
CEBPB	SPI1	0.29149168840683704
CEBPB	GMFG	0.3259171209931546
CEBPB	FAM159A	0.20712616503920245
CEBPB	LOC134466	0.20937185857426677
CEBPB	ALKBH5	0.20642185310129246
CEBPB	HTR7	0.2251569628882777
CEBPB	DPYSL4	0.3565869510094437
CEBPB	GPBP1	0.23455247954816993
CEBPB	ZC3H12A	0.276905803495354
CEBPB	C3AR1	0.21048640928624263
CEBPB	GSTK1	0.2395146333742213
CEBPB	CACNA2D2	0.22196918235779162
CEBPB	CACNA2D4	0.4984975406384642
CEBPB	ZNF14	0.29827229204522787
CEBPB	SIGIRR	0.21389794017491148
CEBPB	CH25H	0.32243343383060274
CEBPB	SPINT1	0.3564793976542475
CEBPB	ASPHD1	0.2697631715204407
CEBPB	FAR2	0.2673641741023127
CEBPB	MPPE1	0.19245999923651436
CEBPB	GTSF1	0.21808487905858787
CEBPB	SKAP1	0.3428583291299736
CEBPB	ZNF24	0.19015975433932475
CEBPB	PLA2G7	0.20706159893608778
CEBPB	DEDD2	0.31659526080559264
CEBPB	RNF212	0.21980692218737374
CEBPB	EPB41L2	0.25828479386377445
CEBPB	ATRIP	0.2056611982619314
CEBPB	CREBBP	0.2784503999326784
CEBPB	PRPF38A	0.32233450551982656
CEBPB	TIPARP	0.2715762901027565
CEBPB	PBX4	0.2098735357994066
CEBPB	PBX1	0.19420179101242052
CEBPB	LOC606724	0.3044875357531538
CEBPB	LOC729234	0.21247862478596247
CEBPB	TREML1	0.3774902822335777
CEBPB	TREML2	0.33021944488255883
CEBPB	NMT2	0.18938406248102257
CEBPB	FXYD6	0.2441810201924861
CEBPB	DZIP3	0.24874765329993664
CEBPB	LGMN	0.3030927376045778
CEBPB	ARHGAP9	0.2555913615705512
CEBPB	SIGLEC9	0.518405731067638
CEBPB	MTMR11	0.19910637891671445
CEBPB	KCNC4	0.20404138628366741
CEBPB	CSDAP1	0.21606166173162045
CEBPB	ZNF48	0.22614702224475103
CEBPB	ARHGAP4	0.2866203883131462
CEBPB	SMPD2	0.22643404572657388
CEBPB	CHAF1B	0.24223088943983218
CEBPB	MED13	0.26205870163824585
CEBPB	SMPD1	0.22561629312593112
CEBPB	OLR1	0.2264998568833283
CEBPB	TSPO	0.3265323368687669
CEBPB	NEFM	0.25865605103183587
CEBPB	JAK3	0.22715121866625676
CEBPB	ZNF487	0.18762370755553803
CEBPB	SULT1C4	0.2447883619117679
CEBPB	RAG1AP1	0.2400474534714041
CEBPB	ZNF485	0.2538870765778638
CEBPB	CHST9	0.22375031483362218
CEBPB	GSTO1	0.22690283106141074
CEBPB	KCND3	0.1939929709753958
CEBPB	ZNF480	0.4157497693971566
CEBPB	SPHK1	0.2901287683714475
CEBPB	JOSD2	0.2710697082462694
CEBPB	MED27	0.21775282939297824
CEBPB	DUSP9	0.2562798104155499
CEBPB	PHF20L1	0.3995706010893585
CEBPB	FAM113B	0.19116288192126873
CEBPB	PLSCR1	0.2613117885273386
CEBPB	MED24	0.19941690142070279
CEBPB	SLC7A7	0.28935841772536275
CEBPB	INCENP	0.22586949439012383
CEBPB	OAF	0.18713545986547153
CEBPB	PPARG	0.3339923941018279
CEBPB	CRYAA	0.22549612387641105
CEBPB	HCST	0.3447258158081734
CEBPB	CRB2	0.1948737920308412
CEBPB	ZNF473	0.3346686742532645
CEBPB	KCNA2	0.2382733193578579
CEBPB	ODC1	0.29477568828121825
CEBPB	KCNA3	0.2508099829768744
CEBPB	DLST	0.23707779885706337
CEBPB	KCNA5	0.28653372063629234
CEBPB	NOC4L	0.2387007077536083
CEBPB	SLC7A1	0.23671766858704668
CEBPB	WRN	0.22598194056628973
CEBPB	SPOP	0.1912328216794803
CEBPB	SPP1	0.5075207997701456
CEBPB	STX6	0.24191367151374976
CEBPB	LOC285419	0.2166287341919455
CEBPB	ATAD5	0.2662046385110015
CEBPB	GOLM1	0.21152571859290425
CEBPB	KCNB1	0.2964233320490388
CEBPB	PKM2	0.4496148525184225
CEBPB	C10orf2	0.19305469546273724
CEBPB	COL22A1	0.2514148272133605
CEBPB	NUDT22	0.18779152130555854
CEBPB	NUDT21	0.25594930084371903
CEBPB	CENPI	0.21040488061016305
CEBPB	SHKBP1	0.3629436316845931
CEBPB	TAOK1	0.22753093464199736
CEBPB	YPEL1	0.46808738058304655
CEBPB	TSR1	0.2858848921027528
CEBPB	SIGLEC7	0.42616236595892865
CEBPB	C6orf1	0.2562497442822078
CEBPB	RASL11A	0.24067511543423858
CEBPB	LY75	0.3088832410577673
CEBPB	CASC5	0.20095957749776971
CEBPB	SLA	0.27723694521501496
CEBPB	CASC3	0.23808535055730484
CEBPB	FADS2	0.19437258553234393
CEBPB	LAPTM4B	0.240353929511266
CEBPB	EFEMP2	0.36888829653423905
CEBPB	FNTA	0.1993171265819651
CEBPB	IBSP	0.2250956657452301
CEBPB	ADORA3	0.35369693181641004
CEBPB	NFATC2IP	0.38265810770302977
CEBPB	MAP3K8	0.3417486248982371
CEBPB	MAP3K9	0.24525417746266243
CEBPB	ZNF445	0.20642907650335296
CEBPB	KCNH7	0.21157603311764106
CEBPB	CNPY3	0.23966870128037598
CEBPB	SDCBP2	0.2668760026668622
CEBPB	PIAS2	0.2717476640580987
CEBPB	CDC25B	0.23170419783238483
CEBPB	FAM118B	0.19942128829565764
CEBPB	MSH6	0.19864781933668763
CEBPB	MFNG	0.25803810004727
CEBPB	ZNF439	0.31535408767949136
CEBPB	PKP2	0.20190899439212906
CEBPB	KIAA0649	0.20083265459705046
CEBPB	FTL	0.333434207313136
CEBPB	ZNF431	0.25466923787288387
CEBPB	INO80C	0.2391679589397322
CEBPB	DLX5	0.2754049882368994
CEBPB	GMPS	0.20521550661800436
CEBPB	LY96	0.35934871474969565
CEBPB	LOC147727	0.23236519011400514
CEBPB	PKMYT1	0.24846062554994575
CEBPB	SPATA5	0.22636883020069654
CEBPB	CORO1A	0.21027245901391378
CEBPB	CORO1C	0.27478114580347146
CEBPB	CCDC144C	0.22399339298760523
CEBPB	CCDC144B	0.19464121753455732
CEBPB	ZNF429	0.4562201049217167
CEBPB	TXNDC2	0.23100309167036048
CEBPB	TXNDC6	0.1974615864512108
CEBPB	NOP14	0.2208931912320411
CEBPB	NEK4	0.25971285558972745
CEBPB	HPS1	0.2192262058871277
CEBPB	HTR1D	0.23413378410872987
CEBPB	LY86	0.32937351856264563
CEBPB	HPS6	0.23071763325804806
CEBPB	ARPC5	0.22507565983560163
CEBPB	FBXO32	0.351867115205887
CEBPB	C14orf21	0.20848903950648
CEBPB	SP4	0.3008114923524996
CEBPB	ZNF418	0.3319980013880679
CEBPB	TBXAS1	0.4134958238580282
CEBPB	HPSE	0.28239299673951734
CEBPB	MNAT1	0.26476277049812147
CEBPB	OSBPL1A	0.20398487882052585
CEBPB	NOP10	0.19889079380352648
CEBPB	SPRN	0.2646837791126977
CEBPB	KCNK6	0.21902795890111815
CEBPB	ITGAM	0.20991249464613304
CEBPB	ITGB4	0.2608120324960881
CEBPB	ITGB2	0.31390475453543143
CEBPB	DYSF	0.22080852268767703
CEBPB	HTR2A	0.20445004579291037
CEBPB	RLBP1	0.2410401497993533
CEBPB	UNC80	0.32032968101789017
CEBPB	KIAA1549	0.25711443958110536
CEBPB	TAGAP	0.23044906024528888
CEBPB	GRID2	0.20049773522433423
CEBPB	TRIM62	0.30489800436704506
CEBPB	RNASET2	0.3180278478098879
CEBPB	TNFRSF18	0.191935417777227
CEBPB	LOC200030	0.22682192261453427
CEBPB	VPS13B	0.32002293895249245
CEBPB	NRG2	0.19152078763257663
CEBPB	TNFRSF1A	0.4359684301510107
CEBPB	TMBIM1	0.34521654770324606
CEBPB	LCP1	0.2918560567209001
CEBPB	ACPP	0.2940423873799798
CEBPB	TRIM56	0.2206574172223874
CEBPB	TRIM50	0.18848294136764654
CEBPB	C1S	0.3864183094014164
CEBPB	ROCK1	0.31401276783960963
CEBPB	ROCK2	0.2944793351018067
CEBPB	UHRF1	0.21204637390796677
CEBPB	HM13	0.22068751487750848
CEBPB	RCHY1	0.2690950050013763
CEBPB	LRRC16B	0.20634646289940406
CEBPB	PHKG1	0.193691746780436
CEBPB	E2F4	0.2339073645821088
CEBPB	HNRNPA1	0.219838727934067
CEBPB	EIF4E	0.21122338825827303
CEBPB	RILP	0.408710307884264
CEBPB	UBQLN4	0.22554829985600922
CEBPB	NOP58	0.18905297826612522
CEBPB	MYO10	0.3209079918679816
CEBPB	GZMB	0.24931454680669418
CEBPB	TM6SF1	0.24755180737627036
CEBPB	EIF3K	0.21326025848503782
CEBPB	SYT12	0.2730408019256192
CEBPB	IL2RA	0.18805374294723443
CEBPB	TSPAN17	0.22835218584982453
CEBPB	TRIM37	0.262036463257612
CEBPB	ZNF853	0.2958931186430602
CEBPB	PIK3AP1	0.3395983993983265
CEBPB	KCNK2	0.20403137526738746
CEBPB	EIF3A	0.1945317764894634
CEBPB	MYO1G	0.3669980915933895
CEBPB	TNFRSF6B	0.2966870919399014
CEBPB	ICAM3	0.2756894437010873
CEBPB	ICAM4	0.30122605236613165
CEBPB	ACTB	0.20924519463753288
CEBPB	NUDT3	0.3112276158617924
CEBPB	ICAM1	0.29522962004959385
CEBPB	PEX26	0.25470601969263296
CEBPB	TRIM24	0.19543195575898675
CEBPB	FBXO6	0.20923929519191997
CEBPB	CCDC99	0.26579293102663915
CEBPB	LGALS9	0.2922109822626524
CEBPB	SNRPD3	0.18630219319889818
CEBPB	THSD7A	0.24992420938673465
CEBPB	HERC6	0.20698490218204935
CEBPB	ARL11	0.4461931286809939
CEBPB	SMARCC1	0.20289419019863608
CEBPB	SIGLECP3	0.3559169448688424
CEBPB	ARL15	0.2787449013212937
CEBPB	KCNK13	0.2902866874263861
CEBPB	OMD	0.2901081608579288
CEBPB	ALG2	0.24079008751511033
CEBPB	ALG1	0.2404591487826151
CEBPB	TMEM170B	0.2591038613118908
CEBPB	NINJ1	0.2586388258555532
CEBPB	BTK	0.20089019517159645
CEBPB	KCTD14	0.2554195141778095
CEBPB	MT1G	0.3337907214474054
CEBPB	TRIM14	0.33713111893118874
CEBPB	FAM76B	0.29700291485581687
CEBPB	RIN3	0.26603757118590465
CEBPB	C6orf115	0.20519000899661233
CEBPB	KCTD15	0.32208632470825194
CEBPB	CES1	0.31235456891222135
CEBPB	DHX9	0.2504646687789531
CEBPB	MYCBP2	0.2866991050691361
CEBPB	ZBTB5	0.26535183025536835
CEBPB	NKAIN2	0.2100990304914383
CEBPB	SYNGR2	0.37268427143937277
CEBPB	RRAS	0.2463835701347188
CEBPB	NEU1	0.2203649214172998
CEBPB	STAT5A	0.23535234841965824
CEBPB	TNFSF18	0.18755215259182378
CEBPB	MSR1	0.3696325412661281
CEBPB	SLC10A6	0.2588360292866998
CEBPB	XBP1	0.19703604335595593
CEBPB	APOBEC3G	0.41327568400703285
CEBPB	FAM78A	0.2104377085445135
CEBPB	TNFSF12	0.42791620558751653
CEBPB	SLC10A3	0.21261972889748737
CEBPB	TNFSF13	0.37465981514911384
CEBPB	RAB27A	0.2674269856595277
CEBPB	CNFN	0.22163841983891963
CEBPB	NTAN1	0.22449773490542757
CEBPB	C16orf54	0.2609730312662215
CEBPB	BST1	0.2279992153599446
CEBPB	LPAR5	0.3059078911239368
CEBPB	FBXL6	0.186288133216439
CEBPB	ECM1	0.21628261894001355
CEBPB	IL27	0.24361543248726303
CEBPB	VMO1	0.2884648232524709
CEBPB	PCM1	0.2166107111236153
CEBPB	RAC2	0.30723684238343374
CEBPB	CAMP	0.2966567592177318
CEBPB	COX8A	0.19598081224238317
CEBPB	IL10	0.2448920921197386
CEBPB	MST4	0.22580095259094612
CEBPB	PBRM1	0.2945988559062469
CEBPB	PCYT1B	0.186559434411401
CEBPB	FCER1G	0.4219076455070718
CEBPB	IL15	0.30282234858091606
CEBPB	IL18	0.19100970054313482
CEBPB	NBPF10	0.24715858511146038
CEBPB	AGTRAP	0.27657909588744367
CEBPB	GAB3	0.1992476994011536
CEBPB	IL16	0.20750514514389007
CEBPB	IL1A	0.29292272485269866
CEBPB	TOX3	0.2379146820483582
CEBPB	ANKFN1	0.24195573519659597
CEBPB	ARHGEF9	0.41018625611164605
CEBPB	SLTM	0.24887777170865988
CEBPB	PDIK1L	0.2084171666983572
CEBPB	ZADH2	0.22976262439989714
CEBPB	IL1B	0.3206157387081179
CEBPB	PABPC1	0.19505039291114734
CEBPB	ARHGEF6	0.19663346129501313
CEBPB	YAP1	0.1898247530735624
CEBPB	DYNC1I2	0.2211223103834321
CEBPB	GNAI3	0.2656312127306011
CEBPB	C1orf38	0.3060860654772064
CEBPB	CAPG	0.44907338047493983
CEBPB	GNAI2	0.19456496148785618
CEBPB	RELB	0.32781890327342644
CEBPB	SH3BGRL	0.19537413055928088
CEBPB	ORMDL2	0.20091272664188153
CEBPB	MGAT1	0.5065785155514906
CEBPB	TCEB1	0.20705499209653588
CEBPB	IL32	0.3074917691905634
CEBPB	MAP3K1	0.20502708594989727
CEBPB	SPRYD3	0.2720400501595055
CEBPB	OSM	0.3447847916785802
CEBPB	PNMA5	0.20011675241630922
CEBPB	MYO9A	0.3236067546046888
CEBPB	PCDHB10	0.22732877683665365
CEBPB	NUDT8	0.20900640096790024
CEBPB	KCNS1	0.20130536318887327
CEBPB	PCDHB17	0.20013658330297623
CEBPB	TTC3	0.2327101418299371
CEBPB	KIAA1958	0.2887937317792595
CEBPB	CAPS	0.2225093501013129
