Regulator	Target	MI
CEBPB	TFRC	0.200655151224443
CEBPB	GMFG	0.43176319002170427
CEBPB	F11R	0.4323241311120478
CEBPB	SLA2	0.3547999939514872
CEBPB	COMTD1	0.28956163007599667
CEBPB	ZC3H12A	0.32445905730934665
CEBPB	C3AR1	0.33376632466422596
CEBPB	PKNOX1	0.21843625438744319
CEBPB	PRKACA	0.21394358116800927
CEBPB	GUSBL2	0.2497782976500238
CEBPB	LOC613037	0.3608673796130111
CEBPB	RC3H2	0.23394090071457363
CEBPB	CH25H	0.3397016792566827
CEBPB	ISL2	0.2117208816976479
CEBPB	SPINT1	0.2910938382235848
CEBPB	DDIT3	0.3354134035681344
CEBPB	ATF3	0.2592284862328569
CEBPB	SKAP1	0.2803606307978024
CEBPB	SHMT2	0.2750112903128441
CEBPB	RNF219	0.2237788674272343
CEBPB	ZNF24	0.22754163996669607
CEBPB	EPB41L5	0.21437803543450684
CEBPB	ADAMTS14	0.3344553307645102
CEBPB	RDH11	0.2157829214533109
CEBPB	RNF215	0.2566599583538789
CEBPB	SCGB1D2	0.24417127867285604
CEBPB	RDH10	0.4661719678485454
CEBPB	PDGFC	0.43813826480779294
CEBPB	A2BP1	0.2809381026115929
CEBPB	MOV10L1	0.2933289429358714
CEBPB	GTF2IRD2B	0.38538351789961034
CEBPB	JUN	0.2787915337660838
CEBPB	PRPF38A	0.35048941841780756
CEBPB	TSLP	0.3338099367904217
CEBPB	TIPARP	0.34606983982027195
CEBPB	FUCA2	0.24907752929708593
CEBPB	IL31RA	0.18832780995720722
CEBPB	ZNF35	0.19516945002721364
CEBPB	TREML1	0.49975854214230253
CEBPB	ZNF30	0.21825854670542988
CEBPB	DLX6AS	0.2890527008430519
CEBPB	NMT2	0.19752172679190405
CEBPB	FXYD6	0.3776407361393712
CEBPB	MRVI1	0.22316422947305536
CEBPB	FAT4	0.21679566312174625
CEBPB	FXYD5	0.19834542125033217
CEBPB	PKIG	0.2045550651575363
CEBPB	DZIP3	0.38008700069153534
CEBPB	ARHGAP9	0.2968324507144562
CEBPB	KGFLP2	0.29383480906394865
CEBPB	LIN54	0.20296333873780625
CEBPB	SIGLEC9	0.35473870061843815
CEBPB	ZNF493	0.4581666024327369
CEBPB	KCNC1	0.272064449370089
CEBPB	CATSPER2P1	0.21446380982829272
CEBPB	KCNC3	0.22101862117563265
CEBPB	ZNF490	0.2934760598426136
CEBPB	NCAPG2	0.2196006272364146
CEBPB	FAM115A	0.24459347495292239
CEBPB	MED17	0.24352396169787394
CEBPB	GLT1D1	0.30818542030959684
CEBPB	MED14	0.25516739658787646
CEBPB	TSPO	0.3128635128606172
CEBPB	NEFM	0.3590070617644132
CEBPB	JAK3	0.19249113417031172
CEBPB	DUSP4	0.5516578018378668
CEBPB	RAG1AP1	0.1910253612377062
CEBPB	CHST6	0.21050900147391882
CEBPB	GSTO1	0.24711178040465231
CEBPB	BGN	0.3269365597945715
CEBPB	KIAA1143	0.4224832672482135
CEBPB	TEX14	0.186252755338554
CEBPB	JOSD2	0.3235118795309644
CEBPB	PHF20L1	0.20889926051218932
CEBPB	FAM113B	0.27098376644585276
CEBPB	MMP14	0.45232997957176746
CEBPB	PLSCR1	0.29838695984770247
CEBPB	MED24	0.2673072658225202
CEBPB	OAF	0.3436993259638541
CEBPB	RAPGEF2	0.27561834843766775
