Regulator	Target	MI
CEBPB	SPI1	0.2664665004563762
CEBPB	POP4	0.2316425291621389
CEBPB	ABAT	0.19239499465908683
CEBPB	SMC6	0.19464033672745007
CEBPB	DCAF7	0.37169185268300975
CEBPB	NUDT16P1	0.20310199981874888
CEBPB	LACTB	0.25717206354416167
CEBPB	KRTCAP2	0.20516498830177987
CEBPB	AKT3	0.1995713250871134
CEBPB	MYB	0.18907455959423913
CEBPB	VSTM1	0.2858071921435874
CEBPB	RTTN	0.19310881403271374
CEBPB	MBNL1	0.2208121521231181
CEBPB	UNC13A	0.25285817755329365
CEBPB	PRKCD	0.26222132699804934
CEBPB	RNASE6	0.22378650051576532
CEBPB	CACNA2D2	0.19779556860981096
CEBPB	CACNA2D4	0.28759220004089325
CEBPB	SOX12	0.23246973574960883
CEBPB	RNASE2	0.28325469717167717
CEBPB	CD2AP	0.2303387800854937
CEBPB	CH25H	0.3827035199829778
CEBPB	ETHE1	0.317199682525402
CEBPB	LGALS12	0.20267812335140256
CEBPB	CFB	0.2651862896782342
CEBPB	TSPYL4	0.194955890673425
CEBPB	CFI	0.3429932387464767
CEBPB	RPN1	0.3850904969195552
CEBPB	FPR1	0.25594229413931835
CEBPB	MTMR9	0.35675192299138114
CEBPB	GATA2	0.18829621385745643
CEBPB	SAMSN1	0.3479188339484116
CEBPB	C2	0.2028251636881473
CEBPB	C3	0.20897628490293574
CEBPB	FAM171A2	0.2245650637580363
CEBPB	PLCG2	0.2222970984466599
CEBPB	SFN	0.2318425205588026
CEBPB	S100A11	0.37035359175258
CEBPB	PLK3	0.5569630269946124
CEBPB	JUN	0.23327478586053552
CEBPB	ST14	0.3072849473184034
CEBPB	PHC1	0.1867799903087004
CEBPB	TSLP	0.25998443750303935
CEBPB	CADM2	0.24266427132305246
CEBPB	APCDD1L	0.19743916293224295
CEBPB	EDEM2	0.3628124703131599
CEBPB	PMM2	0.33974155978855514
CEBPB	KIAA1244	0.28851137634041635
CEBPB	CP	0.27832302730710445
CEBPB	PRDX6	0.19841875638063922
CEBPB	PBX1	0.28714110409947224
CEBPB	FOSL1	0.21648733648710117
CEBPB	LASS2	0.3038717991201949
CEBPB	MEX3A	0.18711127645905368
CEBPB	GPR183	0.26464629283728236
CEBPB	TREML3	0.21924921655661755
CEBPB	ZNF30	0.25328577862785195
CEBPB	FXYD5	0.18758668905488207
CEBPB	HAMP	0.21762658917140243
CEBPB	ZBTB8B	0.22154622265530222
CEBPB	HLA-DRB1	0.2008498107317891
CEBPB	FERMT3	0.29577678843591393
CEBPB	ARHGAP9	0.2636540628952613
CEBPB	SETD5	0.23418280850846962
CEBPB	ZNF131	0.22698358777196947
CEBPB	PIGT	0.19433579185155825
CEBPB	SERPINA1	0.35969258841023954
CEBPB	SIGLEC9	0.326251400842696
CEBPB	ARPC1B	0.38938250807726593
CEBPB	HEXB	0.3015730374569694
CEBPB	C13orf23	0.18746439014984517
CEBPB	CTCF	0.2391349549433608
CEBPB	RCSD1	0.19229224406281809
CEBPB	PHF6	0.23168061282767738
CEBPB	SHD	0.2015386351794346
CEBPB	ARHGAP4	0.24492288479699376
CEBPB	SMPD3	0.23451662366136183
CEBPB	TUBA1C	0.3485157809300272
CEBPB	GPR132	0.2615565454492934
CEBPB	ENSA	0.18695909195658889
CEBPB	MRC1	0.2526458212183229
CEBPB	TSPO	0.29579096942308514
CEBPB	SH3BGRL3	0.32074047967404784
CEBPB	JAK3	0.20115543688772242
CEBPB	SLC18A3	0.18869561582810146
CEBPB	CEP68	0.20552578055381154
CEBPB	RAG1AP1	0.28791559028933733
CEBPB	MYST4	0.26420682169296494
CEBPB	SERPINB1	0.33306540358262104
CEBPB	MYST2	0.18776804506987954
CEBPB	KCND2	0.2891795712321956
CEBPB	AHSG	0.2175251924428112
CEBPB	COPZ2	0.1924229066770744
CEBPB	TET1	0.2657791756687171
CEBPB	TMC8	0.23260969686086508
CEBPB	NSUN6	0.1899024191056169
CEBPB	EMP3	0.3272857986528095
CEBPB	FOS	0.19555045761875256
CEBPB	JOSD2	0.31503088898648635
CEBPB	SERPINB6	0.2071794197967236
CEBPB	VAMP8	0.23551475676380118
CEBPB	ITPKC	0.2435711515263561
CEBPB	PIGB	0.18901430722872892
CEBPB	FAM113B	0.21051204614908503
CEBPB	GPR120	0.21349371418795737
CEBPB	GPRC5A	0.19913918740369319
CEBPB	PAX8	0.22516630062596654
CEBPB	RILPL2	0.2740279561740788
CEBPB	HCLS1	0.28072257338241435
CEBPB	PLIN2	0.2692144151708167
CEBPB	ANGPTL4	0.2041666959414572
CEBPB	PLEKHO2	0.21905052828476101
CEBPB	PLCB1	0.2029759604249346
CEBPB	PLCB2	0.26892753350109455
CEBPB	VAMP5	0.22184454258827735
CEBPB	GRN	0.217637535862524
CEBPB	CLECL1	0.19921764418549248
CEBPB	CCNDBP1	0.20371584803142007
CEBPB	ADCY7	0.21922952198686385
CEBPB	FAM117B	0.23139101095160441
CEBPB	TMEM165	0.20267080515072422
CEBPB	BCLAF1	0.20935622104934115
CEBPB	HLA-DMA	0.319111829127265
CEBPB	PRSS50	0.20804941920636733
CEBPB	GBX2	0.18981795142893887
CEBPB	SLC17A9	0.18593016805617513
CEBPB	EPCAM	0.30556281173466715
CEBPB	ALOX5	0.3646928581804918
CEBPB	HAS1	0.18688285384112557
CEBPB	LMAN2	0.19079214845855041
CEBPB	SPP1	0.20045441505214878
CEBPB	LRRC25	0.32127020916439974
CEBPB	MBD5	0.19645658366483154
CEBPB	BRF2	0.18707621264952312
CEBPB	GSX1	0.21542897306715325
CEBPB	CCL20	0.39940705477259186
CEBPB	MGMT	0.18733776469408792
CEBPB	PKM2	0.2980841079022474
CEBPB	LRRC27	0.27172736649646456
CEBPB	EMR2	0.30681899509639
CEBPB	LAPTM5	0.25739123975659517
CEBPB	ZNF77	0.22279033694477235
CEBPB	PLXDC2	0.4713945908217987
CEBPB	TMCO4	0.23895023808709226
CEBPB	NUDT22	0.2702408911413521
CEBPB	SLC8A3	0.24218640348959752
CEBPB	ERP44	0.3374245138122731
CEBPB	ABI3	0.18766872379103727
CEBPB	NUCB1	0.22984524841370657
CEBPB	UBAP2	0.23554646469249274
CEBPB	PLP2	0.36959915900630325
CEBPB	CYB561	0.2933101915687777
CEBPB	SIGLEC7	0.23518352934216402
CEBPB	CCL26	0.30804698455421775
CEBPB	CSF3	0.35481015154927675
CEBPB	CSF1	0.22431632130019175
CEBPB	NCF1	0.290364788882969
CEBPB	NCF2	0.23117410898677182
CEBPB	F13A1	0.22854708661698808
CEBPB	SLA	0.30674839262337095
CEBPB	LOC283761	0.20159278382876966
CEBPB	METRNL	0.30149846370132494
CEBPB	CXCL16	0.19079258051326597
CEBPB	NUDT11	0.18789362297520018
CEBPB	PYCARD	0.45861369434871246
CEBPB	LOC100130557	0.19343177585954852
CEBPB	SALL2	0.19465942042037643
CEBPB	SESN3	0.1861932976446159
CEBPB	SALL3	0.18831518533123237
CEBPB	UROD	0.19082858371942102
CEBPB	NFATC2IP	0.36355733086641795
CEBPB	PIM1	0.1968645606964845
