Regulator	Target	MI
CEBPB	HCP5	0.25254759713358066
CEBPB	SPI1	0.3431142298056713
CEBPB	GMFG	0.28382911317974013
CEBPB	SPINT2	0.24241609862884417
CEBPB	F11R	0.3887480496301281
CEBPB	SLA2	0.39541023706433354
CEBPB	LOC100133669	0.19627744873546593
CEBPB	DPYSL5	0.3050781418262227
CEBPB	GPBP1	0.1897766115843167
CEBPB	C3AR1	0.28324870823112125
CEBPB	ANKFY1	0.3795772803330788
CEBPB	CKMT1B	0.24658651482316873
CEBPB	TSTD1	0.3801433375995176
CEBPB	CACNA2D4	0.5092800308982541
CEBPB	CH25H	0.4383078881179241
CEBPB	SPINT1	0.2470254777185117
CEBPB	ORAI3	0.3954425426499677
CEBPB	VOPP1	0.3161514629728641
CEBPB	SF1	0.2528347833158415
CEBPB	CDCA2	0.27141539109904755
CEBPB	NLRX1	0.27271946215443776
CEBPB	CDCA5	0.286323565046132
CEBPB	CDCA8	0.2934679184018947
CEBPB	ADAMTS16	0.36746988540344283
CEBPB	SCGB1D2	0.310795430565153
CEBPB	ADAMTS18	0.20391569195146353
CEBPB	MOV10L1	0.23261844157948985
CEBPB	SFN	0.3039522058253663
CEBPB	ATG7	0.18671477057663832
CEBPB	GTF2IRD2B	0.20913408896209162
CEBPB	HLA-DRB5	0.24294847015906385
CEBPB	TSLP	0.2416025319477697
CEBPB	FUCA1	0.20723633542885178
CEBPB	PBX1	0.275399514791447
CEBPB	LOC606724	0.3326137234549451
CEBPB	NR2F6	0.258550795154755
CEBPB	LOC729234	0.2589043189793365
CEBPB	TREML1	0.20649563106346402
CEBPB	SULT1B1	0.18736627461827737
CEBPB	FASN	0.23011859984650052
CEBPB	TREML3	0.3003090058218225
CEBPB	FXYD1	0.21043846367765795
CEBPB	FAT3	0.19255855096183172
CEBPB	FXYD6	0.21259967622167242
CEBPB	STRN	0.285717744874443
CEBPB	FXYD5	0.4328500076033519
CEBPB	HNRNPA1L2	0.19141499615059754
CEBPB	HLA-DRB1	0.27427947425374555
CEBPB	ARHGAP9	0.40921042917006467
CEBPB	ZNF496	0.19416091534223323
CEBPB	SIGLEC9	0.3611787999180507
CEBPB	CATSPER2P1	0.22149667481959323
CEBPB	BHLHE41	0.34909923300656764
CEBPB	ZNF48	0.2606528961892218
CEBPB	ARHGAP4	0.2590595715408064
CEBPB	SHF	0.246313213568488
CEBPB	TSPO	0.6026704834051921
CEBPB	JAK2	0.1897931733867848
CEBPB	JAK3	0.456701582834639
CEBPB	DLGAP5	0.1932477344376311
CEBPB	RAG1AP1	0.382121331147796
CEBPB	SPHK1	0.19220862826058482
CEBPB	BAZ1A	0.34067271742055016
CEBPB	FOS	0.38967761352630426
CEBPB	JOSD2	0.2796836090466508
CEBPB	DUSP8	0.21402681613623553
CEBPB	DUSP6	0.3310876894946322
CEBPB	FAM113B	0.29353916895358356
CEBPB	SLC7A7	0.26011646852560943
CEBPB	CYP21A2	0.21537454984028326
CEBPB	MMP15	0.24737079493507608
CEBPB	DPYD	0.3358454341679247
CEBPB	HCST	0.6508605209735547
CEBPB	RAPGEF4	0.20510287059723797
CEBPB	SAMD9	0.18953385292716174
CEBPB	ADAM28	0.24795420399341594
CEBPB	ADAM23	0.19410125907209164
CEBPB	SPP1	0.23450709411738835
CEBPB	IL12RB1	0.33252965123605627
CEBPB	MBD4	0.3084555418424344
CEBPB	BIK	0.22975957943969405
CEBPB	C10orf2	0.21163053240947693
CEBPB	MBD1	0.2842399892183911
CEBPB	ATAD2	0.2720902986544491
CEBPB	SNX20	0.4604268754332743
CEBPB	YPEL1	0.3370004444562813
CEBPB	CENPN	0.22002066702935963
CEBPB	CENPO	0.19475793501552285
CEBPB	NCAPD3	0.41028064601804193
CEBPB	SIGLEC1	0.21720440560211873
CEBPB	ADAM21P1	0.22751913356619813
CEBPB	SIGLEC7	0.2546659221860077
CEBPB	OLFML2B	0.2941940818878912
CEBPB	FBXO27	0.23847400196886248
CEBPB	MPV17L	0.27459643247518795
CEBPB	LY75	0.23478964502570498
CEBPB	SLA	0.35372125894483997
CEBPB	PLOD1	0.20596732409588547
CEBPB	EFEMP2	0.38931226251271145
CEBPB	LAPTM4A	0.34053941068806726
CEBPB	EFEMP1	0.26727203259190535
CEBPB	ADORA3	0.2684513956775776
CEBPB	TOM1	0.22863453044575976
CEBPB	TNFRSF8	0.2913892113366341
CEBPB	MAP3K8	0.5375160328629196
CEBPB	ZNF441	0.2809566311037708
CEBPB	CISH	0.43096165128265085
CEBPB	DGAT1	0.20909629818638376
CEBPB	MSH2	0.20255365783231394
CEBPB	LOC653566	0.21986704178509342
CEBPB	SLC27A6	0.23560920916709982
CEBPB	PLA2R1	0.2655253757102072
CEBPB	ZNF434	0.2452311774974012
CEBPB	FTL	0.2506629114636807
CEBPB	GRIA2	0.3001697560095824
CEBPB	KCNE4	0.296064335825438
CEBPB	DLX6	0.21477319260647487
CEBPB	LY96	0.3355574984495746
CEBPB	CREBL2	0.2243692409363387
