Regulator	Target	MI
CEBPB	SLA2	0.3848273584853885
CEBPB	LOC642846	0.26141121265005474
CEBPB	ZC3H12A	0.4878729599045535
CEBPB	VSTM1	0.19831657505288103
CEBPB	CACNA2D3	0.20458301799375267
CEBPB	HDGFRP3	0.2219212029964721
CEBPB	FRS2	0.19038383043468166
CEBPB	CACNA2D4	0.30355782051461055
CEBPB	CH25H	0.43307900207822314
CEBPB	DDIT3	0.19376169286735312
CEBPB	LOC100128292	0.2888599117150843
CEBPB	PLBD1	0.32776855270250316
CEBPB	LOC441046	0.19474465620543402
CEBPB	LOC550643	0.21823636144963476
CEBPB	SFRS17A	0.28988946609959854
CEBPB	SHMT2	0.3230147718191976
CEBPB	CDCA5	0.20047404793093992
CEBPB	LYPD3	0.19514097600728864
CEBPB	BAZ2B	0.2664085804702978
CEBPB	ADAMTS12	0.19638369824129942
CEBPB	ADAMTS15	0.19710159225198698
CEBPB	RDH10	0.3662977270360841
CEBPB	MOV10L1	0.22016388957944066
CEBPB	ATG7	0.22071719462845873
CEBPB	HLA-DRB5	0.2467330973818891
CEBPB	TIPARP	0.2785665929424388
CEBPB	BTBD16	0.2661412887825012
CEBPB	LOC642852	0.24476550416290355
CEBPB	LARP6	0.27654871857837104
CEBPB	PBX1	0.22220601973765142
CEBPB	LOC606724	0.4046326480673441
CEBPB	CILP	0.39001504374888984
CEBPB	FAT3	0.278849442558613
CEBPB	FXYD6	0.30242185366997454
CEBPB	FXYD5	0.2754275535705375
CEBPB	DZIP1	0.2204145979642771
CEBPB	SFXN5	0.2267396406344444
CEBPB	ARHGAP9	0.2163118731192304
CEBPB	ZNF491	0.3395561454598095
CEBPB	KCNC3	0.30571374212466296
CEBPB	LOC92973	0.19956888306282305
CEBPB	ZNF43	0.20485416139224544
CEBPB	ARHGAP4	0.39427694779768174
CEBPB	SMPD2	0.24187059652441611
CEBPB	TSPO	0.30018001396934135
CEBPB	DLGAP2	0.24799076135926512
CEBPB	JAK3	0.23810619362341523
CEBPB	RAG1AP1	0.41305453614275844
CEBPB	SPHK1	0.22424469720590157
CEBPB	RAB3IL1	0.23632517649348195
CEBPB	PHF20L1	0.24715960910955292
CEBPB	OAF	0.34710117759473125
CEBPB	SLC7A9	0.22358639285802706
CEBPB	PPARG	0.3620212482800591
CEBPB	CRYAA	0.19955616609975646
CEBPB	HCST	0.3275196292238727
CEBPB	CRB1	0.25366900051207786
CEBPB	SNX31	0.2878107996047632
CEBPB	SLC7A3	0.19142765547825924
CEBPB	NRAP	0.20368528225237892
CEBPB	IL12RB1	0.22813532773436584
CEBPB	LOC285419	0.25627676776981545
CEBPB	ZNF460	0.26494719280749734
CEBPB	CENPJ	0.24627918038134666
CEBPB	FRK	0.1888226485992721
CEBPB	LGR4	0.21294493023866234
CEBPB	CRCP	0.1897798667673367
CEBPB	OLFML2B	0.24440689767964585
CEBPB	IBSP	0.21449343902026996
CEBPB	ADORA3	0.36596196996129216
CEBPB	LGTN	0.3064534895518607
CEBPB	MAP3K8	0.27880512081469977
CEBPB	SCXB	0.24042528006820074
CEBPB	MAP3K4	0.21551206451922944
CEBPB	KCNH1	0.19141330582621485
CEBPB	ZNF441	0.27714317878352546
CEBPB	CISH	0.33827993292946257
CEBPB	KCNH7	0.24405569785444214
CEBPB	CNPY3	0.19170430121787518
CEBPB	TPST1	0.2377285437742218
