Regulator	Target	MI
CEBPB	LOC728392	0.2687566210773227
CEBPB	SPINT2	0.26006753079468314
CEBPB	ALKBH6	0.2384933625334522
CEBPB	ALKBH8	0.20733035073949857
CEBPB	ZC3H12D	0.2047722952337283
CEBPB	COMTD1	0.21130204553644738
CEBPB	CAPNS1	0.3636457886137947
CEBPB	FAM110C	0.22177059046940606
CEBPB	FNBP4	0.3347870735232661
CEBPB	CACNA2D2	0.2068151494321242
CEBPB	RC3H1	0.38056796290401973
CEBPB	CACNA2D4	0.4594785736243381
CEBPB	RC3H2	0.22472642912646457
CEBPB	CH25H	0.353696115256656
CEBPB	SPINT1	0.392479546277686
CEBPB	DDIT3	0.38839425355385604
CEBPB	PLBD1	0.2826886070927408
CEBPB	SLBP	0.22815203131116224
CEBPB	SET	0.268412247004707
CEBPB	SHMT1	0.22512348939782445
CEBPB	ZNF23	0.21878409810367394
CEBPB	ZNF24	0.394186238497074
CEBPB	ADAMTS18	0.22497486906098896
CEBPB	MOV10L1	0.20195748269839164
CEBPB	SFN	0.27417239977609587
CEBPB	ATRIP	0.28098247755773365
CEBPB	GSTM4	0.24338157946737926
CEBPB	CREBBP	0.3848558112860401
CEBPB	PRPF38B	0.3514018678860209
CEBPB	PRPF38A	0.24899385526619966
CEBPB	BTBD12	0.33646597973330206
CEBPB	ZNF34	0.24100445135436477
CEBPB	PBX1	0.4859850361066309
CEBPB	LOC606724	0.47044754985872483
CEBPB	ZNF30	0.39602407415023144
CEBPB	FXYD5	0.2528019477935102
CEBPB	PKIG	0.3909744781042406
CEBPB	HLA-DRB1	0.2847299386786535
CEBPB	GSTM5	0.2153756926164494
CEBPB	KCNC1	0.19372366438539945
CEBPB	NCAPG2	0.27673992215562215
CEBPB	ZNF43	0.20835312113687632
CEBPB	SNX10	0.23777493326125043
CEBPB	FAM115A	0.23723209889874575
CEBPB	ZNF48	0.20580243217974736
CEBPB	NHSL1	0.18620392943623898
CEBPB	CASP10	0.30725937331557773
CEBPB	ZNF41	0.22635902190714763
