Regulator	Target	MI
CEBPB	PID1	0.19424182511858223
CEBPB	SPI1	0.23220707449126277
CEBPB	ISM1	0.31582609456803024
CEBPB	SUV420H1	0.31632965263283896
CEBPB	ZC3H12D	0.18964356046563324
CEBPB	PREX1	0.20769943221940235
CEBPB	SCAMP4	0.2070295634276631
CEBPB	COMTD1	0.2775501609592981
CEBPB	RRN3P2	0.23348759778772976
CEBPB	DPYSL4	0.18673761043264125
CEBPB	ZC3H12A	0.2990006433140584
CEBPB	FAM19A2	0.21144272755593718
CEBPB	FAM19A1	0.3400481227174641
CEBPB	VSTM1	0.34945965608357454
CEBPB	TMEM8B	0.21022304921883705
CEBPB	CHID1	0.22880837958838107
CEBPB	ZNF281	0.21463678717024326
CEBPB	RNASE6	0.275312797800388
CEBPB	TOMM20L	0.19031915359115725
CEBPB	ZFYVE20	0.283677353314876
CEBPB	CACNA2D4	0.4276152913491762
CEBPB	RNASE3	0.370910347977059
CEBPB	RNASE2	0.3311315178925316
CEBPB	CH25H	0.20265798638700439
CEBPB	MYL6	0.335548394015019
CEBPB	SPINT1	0.2891567001539661
CEBPB	ETHE1	0.27376149362511093
CEBPB	FEZ1	0.22683789901747087
CEBPB	DDIT4	0.22161159551173526
CEBPB	ORAI3	0.19207218807228799
CEBPB	MTMR3	0.28616141841202847
CEBPB	TTYH1	0.22221866984286276
CEBPB	FPR1	0.39961673356779137
CEBPB	IL20RA	0.23061470083885727
CEBPB	MTMR9	0.20382908933700428
CEBPB	FPR2	0.23198071490859107
CEBPB	ZNF23	0.2423042696240998
CEBPB	SLC30A10	0.22346785151472748
CEBPB	OAZ1	0.25480545675214916
CEBPB	GABARAP	0.32973446257774697
CEBPB	MRPL10	0.2418327854466833
CEBPB	C2	0.3137122963502712
CEBPB	CYB5R2	0.29986111042763675
CEBPB	LOH12CR1	0.19279279825961915
CEBPB	ADAMTS14	0.22105865110481737
CEBPB	SCGB1D2	0.19285528955224063
CEBPB	KCNQ1OT1	0.2401616928417578
CEBPB	HESX1	0.2543454335815518
CEBPB	KCNMB4	0.19250366547513753
CEBPB	C14orf93	0.25726079974297367
CEBPB	ZBTB7B	0.26203374956660674
CEBPB	LYN	0.23198076190783468
CEBPB	CADM1	0.2128273521987767
