Regulator	Target	MI
CEBPB	SPI1	0.39657886747329485
CEBPB	POP1	0.1949807532236223
CEBPB	GMFG	0.45869836198397795
CEBPB	LOC728392	0.3818175833460282
CEBPB	SPINT2	0.29485320158937256
CEBPB	FAM159A	0.23703978233252077
CEBPB	TSKU	0.20466893235095185
CEBPB	LOC642846	0.3314637670531191
CEBPB	KIAA1107	0.2486961047011791
CEBPB	ZC3H12D	0.1885546861517522
CEBPB	KIAA1109	0.21909064998610983
CEBPB	HTR7	0.2749418826859369
CEBPB	CAPNS1	0.3387309930862017
CEBPB	ZC3H12A	0.20435985841974702
CEBPB	C3AR1	0.5423535742344479
CEBPB	GSTK1	0.2441824268668249
CEBPB	SECISBP2	0.23633849589113254
CEBPB	CACNA2D4	0.571248608731568
CEBPB	ZNF12	0.21642114934272172
CEBPB	SIGIRR	0.24213503429214533
CEBPB	SPINT1	0.27083875376421584
CEBPB	DDIT3	0.3134267732981497
CEBPB	ORAI3	0.25569057416626517
CEBPB	C14orf80	0.21618804592350305
CEBPB	SKAP1	0.3071751353695493
CEBPB	ATF4	0.2126062325983078
CEBPB	SET	0.19619711466629308
CEBPB	CDCA5	0.23182890875605633
CEBPB	BAZ2B	0.1985764381554027
CEBPB	ZNF24	0.19385952859699795
CEBPB	RNF214	0.1898317505448226
CEBPB	SCGB1D2	0.19552488557436476
CEBPB	GSTM3	0.23723652843141796
CEBPB	BTBD19	0.1952653231507302
CEBPB	CREBBP	0.27853815525316605
CEBPB	FUCA1	0.2170837583630325
CEBPB	BTBD12	0.21149849815417987
CEBPB	LOC606724	0.33019108736467473
CEBPB	LOC729234	0.20573791895141813
CEBPB	TREML1	0.2403120223270072
CEBPB	PKIB	0.208059936089529
CEBPB	FASN	0.3075774457761842
CEBPB	TREML2	0.194116925316294
CEBPB	NMT2	0.2305591077537521
CEBPB	SFXN1	0.24614670248531123
CEBPB	FXYD5	0.18682397811696294
CEBPB	DZIP1	0.229686826422836
CEBPB	DZIP3	0.2554767645796865
CEBPB	LGMN	0.21663046508967376
CEBPB	ARHGAP9	0.3340143616404587
CEBPB	ZNF496	0.2985977546022811
CEBPB	LIN54	0.20579010123440522
CEBPB	SIGLEC9	0.5205617187101561
CEBPB	NCAPG2	0.3143638493222598
CEBPB	LOC730668	0.19981072832297464
CEBPB	FRG2C	0.19197572094570337
CEBPB	FAM115A	0.23792606540424277
CEBPB	ZNF48	0.190434153927999
CEBPB	ARHGAP4	0.215150240453168
CEBPB	CHAF1B	0.19019201985787149
CEBPB	MED13	0.23045314761134872
CEBPB	NEFL	0.220241075148917
CEBPB	OLR1	0.21980137905500552
CEBPB	TSPO	0.3487770724435215
CEBPB	RAG1AP1	0.23734673654327398
CEBPB	CHST7	0.3139875778023269
CEBPB	DUSP1	0.2878378719627168
CEBPB	GSTO1	0.2557450150097278
CEBPB	METRN	0.19507284358394728
CEBPB	ZNF480	0.3130315288100016
CEBPB	JOSD2	0.25021658218330334
CEBPB	TOMM40L	0.22797464728405892
CEBPB	PHF20L1	0.414580826845655
CEBPB	FAM113B	0.24828592518738724
CEBPB	SLC7A7	0.3374812218150147
CEBPB	OAF	0.25068084661710444
CEBPB	PPARG	0.24713850460957865
CEBPB	ERGIC3	0.19745610007761005
CEBPB	HCST	0.32559731104167344
CEBPB	PTAFR	0.24505988497230113
CEBPB	FAM117B	0.23232750450292095
CEBPB	LOC643763	0.26536992257060543
CEBPB	SPOP	0.2665372004151916
CEBPB	SPP1	0.41382365469304716
CEBPB	IL12RB1	0.24175462840087558
CEBPB	CASP8AP2	0.2549868330073357
CEBPB	ATAD5	0.21610713902165735
CEBPB	C4orf3	0.2811761720653365
CEBPB	C10orf2	0.19325146118894754
CEBPB	ATAD2	0.2973348325267695
CEBPB	MBD2	0.1930154178320702
CEBPB	BMP8A	0.20705185787369285
CEBPB	SNX24	0.23449155943640143
CEBPB	TARBP2	0.2882897099207016
CEBPB	NUDT22	0.23028663646875103
CEBPB	TAOK1	0.2098828927505858
CEBPB	CENPL	0.2058639350534941
CEBPB	YPEL1	0.2842121024454638
CEBPB	NCAPD3	0.34099558178571865
CEBPB	SIGLEC7	0.3084308794303423
CEBPB	RIF1	0.26965238444934236
CEBPB	LY75	0.3275257145903421
CEBPB	SLA	0.31347483684766964
CEBPB	CASC3	0.19063276511401916
CEBPB	NUDT10	0.3633869019080205
CEBPB	EFEMP2	0.25343578934742794
CEBPB	IBSP	0.2484465848595896
CEBPB	SLN	0.4562925975440777
CEBPB	ADORA3	0.3326318213976762
CEBPB	FNTB	0.2160974696632998
CEBPB	NFATC2IP	0.2244599594700114
CEBPB	TOM1	0.18602059188797693
CEBPB	TNFRSF8	0.19702871286576684
CEBPB	MAP3K8	0.43922373076331045
CEBPB	ZNF445	0.23690763826443018
CEBPB	NUDT14	0.25103253198716846
CEBPB	FBXW8	0.24915318678964837
CEBPB	LOC285830	0.18842197124443416
CEBPB	CNPY3	0.22074636442302964
CEBPB	CDC25A	0.3815432470253137
CEBPB	FBXW2	0.2865122181114197
CEBPB	TPST2	0.2525347200826866
CEBPB	MSH2	0.25912375986463676
CEBPB	ZNF439	0.22950404533777924
CEBPB	ZNF432	0.22832942780825594
CEBPB	FTL	0.40232292355160837
CEBPB	GRIA2	0.31052374092074864
CEBPB	GMPS	0.24632366876690348
CEBPB	GMPR	0.19150641465396845
CEBPB	LY96	0.23178042801514032
CEBPB	CREBL2	0.19981425738406777
CEBPB	UAP1	0.19495113843277068
CEBPB	CORO1A	0.26936776649121885
CEBPB	CCDC144A	0.42709587443470376
