Regulator	Target	MI
CEBPB	HCP5	0.20766094848430683
CEBPB	POP5	0.2207283853451285
CEBPB	JRK	0.2127247573496831
CEBPB	SPI1	0.24468428930826835
CEBPB	POP1	0.20090250851235592
CEBPB	GMFG	0.44226852797971095
CEBPB	POP4	0.21586060357777015
CEBPB	SPINT2	0.2256897417988757
CEBPB	FAM159A	0.1892039922588049
CEBPB	FAM110A	0.22802611472008483
CEBPB	COMTD1	0.22542706894351472
CEBPB	C3AR1	0.26821216209579823
CEBPB	VSTM1	0.2090076783709769
CEBPB	FNBP4	0.249271756953382
CEBPB	ATG3	0.19404227214291225
CEBPB	ENDOG	0.19684285619937736
CEBPB	HDGFRP3	0.23843849994675193
CEBPB	CACNA2D4	0.45147107915966167
CEBPB	CH25H	0.2901935327145484
CEBPB	EWSR1	0.2682234629296456
CEBPB	ORAI3	0.2926719298242695
CEBPB	ORAI1	0.20217273618672227
CEBPB	SKAP1	0.19978047890474127
CEBPB	LYPD1	0.19573264279369162
CEBPB	BAZ2A	0.2252317980575409
CEBPB	ZNF22	0.20725948864752297
CEBPB	BAZ2B	0.23537038465148719
CEBPB	LOH12CR2	0.22663152285967136
CEBPB	ADAMTS19	0.2428124252098387
CEBPB	MGC16703	0.23407563550375698
CEBPB	SFN	0.28161898201724345
CEBPB	TIPARP	0.3710426870281216
CEBPB	FUCA1	0.21872938933580244
CEBPB	ZNF34	0.2097632603096855
CEBPB	PGA3	0.2146362794448331
CEBPB	PBX1	0.2688823753433143
CEBPB	LOC606724	0.2746054957542894
CEBPB	VANGL2	0.38483041073631075
CEBPB	FASN	0.30585759647952937
CEBPB	TREML2	0.18587835744145487
CEBPB	FAT3	0.21802208403066814
CEBPB	FXYD5	0.29902563889147515
CEBPB	DZIP1	0.27693184998075093
CEBPB	ARHGAP9	0.25886294222897277
CEBPB	SIGLEC9	0.2759758237518337
CEBPB	ZNF493	0.2377654416036048
CEBPB	LOC92973	0.22477492947303546
CEBPB	SNX10	0.2634189672677465
CEBPB	FRG2C	0.18812733336572762
CEBPB	FAM115A	0.2960809888519442
CEBPB	SMPD3	0.3015997986602006
CEBPB	MED11	0.22102125564326425
CEBPB	SMPD2	0.24820011435071354
CEBPB	JAK2	0.20507488711243216
CEBPB	JAK3	0.42809442537410636
CEBPB	NINL	0.1986226862709204
CEBPB	SLC18A2	0.3121069063170294
CEBPB	RAG1AP1	0.24439990378738674
CEBPB	GSTO2	0.23202480214000154
CEBPB	SPHK1	0.20897598283768914
CEBPB	SLC39A14	0.3890642781902782
CEBPB	MED28	0.21634342920157223
CEBPB	SLC7A7	0.21097033816773347
CEBPB	SDHAF2	0.20284740380963395
CEBPB	CYP21A2	0.2524526381401637
CEBPB	DPYD	0.3478113539446852
CEBPB	PPARG	0.2509006868168573
CEBPB	HCST	0.2534352745470585
CEBPB	CHST2	0.2224763200264377
CEBPB	LOC220930	0.24478599948747704
CEBPB	ZSWIM1	0.24301412414290713
CEBPB	ATP5A1	0.1942493425761178
CEBPB	ADAM28	0.2603921652779535
CEBPB	RG9MTD3	0.24901808690220495
CEBPB	ADAM23	0.20949750382632182
CEBPB	SPP1	0.4690245911569866
CEBPB	MFN2	0.20893381584030468
CEBPB	IL12RB1	0.3212891936945983
CEBPB	RIC3	0.1921879862558562
CEBPB	EGLN3	0.24703386067673083
CEBPB	KCNB1	0.19187226251143397
CEBPB	PKM2	0.43240778175379724
CEBPB	LOC100130148	0.2789559122156655
CEBPB	CENPH	0.36155433009677385
CEBPB	MYBBP1A	0.2226651893072642
CEBPB	CCDC8	0.18716600056128296
CEBPB	CENPJ	0.3020604959812996
CEBPB	TAOK2	0.2934286901734051
CEBPB	CENPL	0.19697333098988246
CEBPB	YPEL1	0.19961034933995503
CEBPB	MITD1	0.1932570947417913
CEBPB	NCAPD3	0.1899151662437557
CEBPB	SIGLEC7	0.2626687132463674
CEBPB	FRK	0.19620887361742145
CEBPB	C6orf1	0.2819977965371141
CEBPB	MTCH1	0.2024873485660077
CEBPB	FAM119B	0.22085541934218522
CEBPB	LY75	0.1888863509704093
CEBPB	SLA	0.21968792356020206
CEBPB	FRY	0.2643840633749468
CEBPB	EFEMP2	0.3110859714309262
CEBPB	LAPTM4A	0.27454340994967463
CEBPB	UROD	0.2192290073965273
CEBPB	ADORA3	0.28205893244160407
CEBPB	FNTB	0.19522395514349888
CEBPB	NFATC2IP	0.24249989701336805
CEBPB	CEP250	0.2767214005143561
CEBPB	MAP3K8	0.40225794741200893
CEBPB	MTPAP	0.20373554792042725
CEBPB	ZNF445	0.3594211915951835
CEBPB	ZNF441	0.24208993813011404
CEBPB	FBXO11	0.1995578223790675
CEBPB	ATXN2L	0.20094514062220714
CEBPB	TPST1	0.3311781095446431
CEBPB	ZNF439	0.19870154552400798
