Regulator	Target	MI
CEBPB	HCP5	0.18758905880449728
CEBPB	SPI1	0.3125946629673111
CEBPB	GMFG	0.18723878349311018
CEBPB	TESK1	0.1979606505174507
CEBPB	SLA2	0.23646816155724526
CEBPB	ALKBH5	0.23662992658218496
CEBPB	DPYSL5	0.2519709370251899
CEBPB	AKT2	0.3635638414638933
CEBPB	ZC3H12A	0.36708567011267945
CEBPB	VSTM1	0.28317440346873557
CEBPB	PRKACA	0.3172167850692702
CEBPB	GSTK1	0.20298467611754667
CEBPB	TSTD2	0.2811828905354057
CEBPB	CACNA2D2	0.25992165953343616
CEBPB	HDGFRP3	0.33057214150356984
CEBPB	CACNA2D4	0.48241733940206366
CEBPB	CH25H	0.31265443306318286
CEBPB	SPINT1	0.21272505051045076
CEBPB	EWSR1	0.2294830159657284
CEBPB	ORAI3	0.2021245856041496
CEBPB	ATF7	0.18679718341244556
CEBPB	ATF3	0.20856004427412955
CEBPB	PLA2G5	0.26000352329666754
CEBPB	LOH12CR2	0.1909010034760179
CEBPB	ADAMTS14	0.2642642533174744
CEBPB	SCGB1D2	0.19101676939517898
CEBPB	RNF217	0.29501354468083907
CEBPB	LOC146481	0.19317967957144688
CEBPB	MOV10L1	0.2280198077083444
CEBPB	PIP5K1A	0.23320299582785609
CEBPB	C14orf93	0.22195702842016374
CEBPB	CREBBP	0.2556436166513043
CEBPB	JUN	0.34530571521648135
CEBPB	PRPF38A	0.21018375145352053
CEBPB	BTBD17	0.21957433881410982
CEBPB	JUP	0.2131029181127797
CEBPB	TSLP	0.3683564870107041
CEBPB	IL31RA	0.1874800796636027
CEBPB	EIF2AK4	0.30094697878616117
CEBPB	PBX1	0.2863089839066806
CEBPB	LOC606724	0.24606185511417866
CEBPB	NR2F6	0.2833390274167398
CEBPB	ZNF30	0.23804273132024267
CEBPB	DLX6AS	0.32378711810275096
CEBPB	DZIP3	0.30887328275844705
CEBPB	GSTM5	0.31885844379334305
CEBPB	ZNF497	0.2895209583567908
CEBPB	PGCP	0.20493830737160046
CEBPB	SIGLEC9	0.2695538553740313
CEBPB	KCNC1	0.3260636098944447
CEBPB	HOXC13	0.23080404013384292
CEBPB	HOXC10	0.2652588510418674
CEBPB	SHD	0.28922859292510594
CEBPB	ARHGAP4	0.1926651590444619
CEBPB	GGTLC2	0.22691314613053493
CEBPB	SMPD3	0.22217454141931725
CEBPB	MECOM	0.19572431991213346
CEBPB	TSPO	0.2553424725262925
CEBPB	JAK3	0.3601722699657506
CEBPB	SULT1C4	0.3503275127171408
CEBPB	RAG1AP1	0.31004235331011465
CEBPB	DUSP5	0.19279446380948606
CEBPB	CHST7	0.1989365056781649
CEBPB	KCND2	0.2671410477756089
CEBPB	GSTO1	0.30666089387179163
CEBPB	KIAA1143	0.2622709007761772
CEBPB	FOS	0.3023258462507634
CEBPB	SYS1-DBNDD2	0.1954613001503409
CEBPB	MED26	0.18910888353626998
