Regulator	Target	MI
CEBPB	MDC1	0.19703826549901926
CEBPB	C7orf10	0.19727462451887856
CEBPB	SPI1	0.2540375239156232
CEBPB	LOC400752	0.2329281712735245
CEBPB	UXS1	0.2052166727779028
CEBPB	SPINT2	0.23948677244916272
CEBPB	TMEM97	0.348196869276614
CEBPB	ZFYVE28	0.19228744201129722
CEBPB	LACTB	0.2539371754337951
CEBPB	LOC134466	0.3415102224297675
CEBPB	COMTD1	0.26021873534252915
CEBPB	CAPNS1	0.24638348653230935
CEBPB	DPYSL4	0.18620321233181159
CEBPB	AKT2	0.21325344548524594
CEBPB	ZC3H12A	0.28966818083907686
CEBPB	GSTK1	0.32402339609613584
CEBPB	ZNF18	0.22946392592396592
CEBPB	SECISBP2	0.23406295165529745
CEBPB	FRS2	0.2459296011392631
CEBPB	RNASE1	0.1984760713018643
CEBPB	SIGIRR	0.1893104465777169
CEBPB	CH25H	0.39413720635534233
CEBPB	MYL5	0.22512554048224942
CEBPB	RBP4	0.3295465561718629
CEBPB	RFX8	0.3132161445291004
CEBPB	SPINT1	0.2944586138914085
CEBPB	ETHE1	0.2745088207700981
CEBPB	ORAI1	0.24894275812539046
CEBPB	MYL9	0.4427178162843495
CEBPB	ATF3	0.23893170114083073
CEBPB	PLBD2	0.3485946195262999
CEBPB	ZNF275	0.20909322222473925
CEBPB	NLRX1	0.19778477528248928
CEBPB	FPR1	0.2857343960493388
CEBPB	FPR3	0.2293313196945439
CEBPB	HSD11B2	0.18600529948544064
CEBPB	ADAMTS14	0.22484317963478428
CEBPB	C14orf93	0.19510484671807848
CEBPB	ATG7	0.19374556969525614
CEBPB	GSTM4	0.26713591925334956
CEBPB	ABCA5	0.19574016151720564
CEBPB	PMM2	0.2491027008165947
CEBPB	NETO2	0.19524714300782797
CEBPB	CP	0.3403962605432911
CEBPB	PBX1	0.3804335832843
CEBPB	ABTB1	0.23694884696705554
CEBPB	FASN	0.22978124075735806
CEBPB	FXYD2	0.1986933908620916
CEBPB	TREML3	0.2647321284787614
CEBPB	SASS6	0.2160723512064857
CEBPB	HAMP	0.3933216275454017
CEBPB	ZBTB8B	0.32566107986928206
CEBPB	DZIP3	0.2225269820318907
CEBPB	FERMT3	0.3334665300584172
CEBPB	LGMN	0.1985860192971165
CEBPB	ARHGAP9	0.34252465933775156
CEBPB	ZNF253	0.2460862025299413
CEBPB	PIGT	0.18608175093294044
CEBPB	ZNF493	0.23405259411577894
CEBPB	ZNF250	0.19034231206527608
CEBPB	ATF7IP2	0.24437487778919387
CEBPB	HEXA	0.2309247391108631
CEBPB	ODF3L1	0.2253754673489805
CEBPB	METTL11B	0.19072396893412158
CEBPB	HOXC10	0.20056497445935761
CEBPB	BBC3	0.25940547320540475
CEBPB	JPH4	0.29861898095754125
CEBPB	MED12	0.203303355838246
CEBPB	SHF	0.20180509952945513
CEBPB	SMPD3	0.21110662605233887
CEBPB	MED14	0.20165591693512575
CEBPB	MED13	0.19767194013201994
CEBPB	UCN2	0.2548863796348808
CEBPB	SMPD1	0.22437051644257
CEBPB	ZNF41	0.2823277351759925
CEBPB	CTLA4	0.24876828117733485
CEBPB	SH3BGRL3	0.3230960889959027
CEBPB	ZNF248	0.271434208584143
CEBPB	SULT1C4	0.1948117442645092
CEBPB	UPF2	0.25367775753811017
CEBPB	CHST9	0.24483963966792466
CEBPB	MYBPC2	0.25815003681364423
CEBPB	RIPK3	0.3018247429590595
CEBPB	DUSP1	0.35760200506930584
CEBPB	GSTO1	0.2634524620073426
CEBPB	KIAA1143	0.24109074090899973
CEBPB	EMP3	0.40843861104214607
CEBPB	FOS	0.21323744035904824
CEBPB	JOSD2	0.20960643838544968
CEBPB	MESDC1	0.2855942948868755
CEBPB	DDB1	0.1859483091194134
CEBPB	VAMP8	0.4512211222308915
CEBPB	PIGB	0.23407194543179166
CEBPB	GPRC5A	0.2844140656544818
CEBPB	SLC7A7	0.23671423075411724
CEBPB	OAF	0.4053835719241681
CEBPB	DPYD	0.3736267436526193
CEBPB	TUT1	0.24799399417828916
CEBPB	HCST	0.4532158695705455
CEBPB	VAMP5	0.23014401057262113
CEBPB	ZNF235	0.26459902952978087
CEBPB	RAPGEF4	0.25525395292574427
CEBPB	ZNF233	0.2216537241913672
CEBPB	FLJ43390	0.2507825680632534
CEBPB	RNASEN	0.20442142168555044
CEBPB	COL11A2	0.19059029501213853
CEBPB	RPS27L	0.1915455879423078
CEBPB	ZNF518A	0.21727841748951082
CEBPB	PTGS2	0.47303071020767806
CEBPB	TMEM70	0.23914895791167456
CEBPB	HLA-DMA	0.29124919673158267
CEBPB	HLA-DMB	0.24496621952526887
CEBPB	SRPX2	0.2944414428721931
CEBPB	SNX27	0.21696923201167007
CEBPB	SPP1	0.5401200346962183
CEBPB	IL12RB1	0.34072099668272493
CEBPB	IL12RB2	0.22655668495555759
CEBPB	ZNF221	0.1866986968559221
CEBPB	EGLN3	0.26649573225663925
CEBPB	KCNB1	0.19230177010453087
CEBPB	PKM2	0.21718939666817327
CEBPB	EMR1	0.2656549607582459
CEBPB	PLXDC2	0.2587120830967429
CEBPB	LRRC20	0.2617726293937803
CEBPB	CENPI	0.2173627119518553
CEBPB	NCAPD2	0.21239902728232973
CEBPB	NCAPD3	0.18980217879216266
CEBPB	SIGLEC7	0.38338779465464246
CEBPB	HLA-DPB2	0.21804835514057164
CEBPB	GPR65	0.3048319049792658
CEBPB	NCF4	0.2680662983447446
CEBPB	ZBTB20	0.262091010193239
CEBPB	CXCL14	0.27757182204273345
CEBPB	EFEMP2	0.2985335049021076
CEBPB	LAPTM4A	0.27053360470609
CEBPB	EFEMP1	0.24248146154664685
CEBPB	ADORA3	0.25163848544652634
CEBPB	PIM1	0.24966354156537207
CEBPB	MAP3K8	0.3287311304613061
CEBPB	PIM3	0.23409441076510884
CEBPB	HLA-DOA	0.22832550124129103
CEBPB	SLC25A45	0.324269784999613
CEBPB	ZNF445	0.25021978545462886
CEBPB	SLC25A44	0.3106904391562457
CEBPB	SLC16A5	0.27144999018699156
CEBPB	ZBTB39	0.2726639698074145
CEBPB	CTNNBIP1	0.2737877152436283
CEBPB	TICAM1	0.20459950202056287
CEBPB	CDC25A	0.2235564385007498
CEBPB	TUBA4A	0.27735457453404244
CEBPB	ACAP3	0.48639198904229985
CEBPB	ACAP1	0.27306346739036247
CEBPB	SLC9A6	0.23271380624396443
CEBPB	FRMD8	0.31708261008737804
CEBPB	MAPKAPK2	0.29922292698205855
CEBPB	IL6ST	0.20284637800763505
CEBPB	SNRNP200	0.2934505020222522
CEBPB	ZNF434	0.24463647019945167
CEBPB	S100A9	0.46132954126514214
CEBPB	ZNF432	0.2069392143538975
CEBPB	ANAPC2	0.244896377924392
CEBPB	FTL	0.2274447348243127
CEBPB	ZNF431	0.22986900551205292
CEBPB	LRRC58	0.18773299190813564
CEBPB	PFKFB3	0.25014854902713424
CEBPB	TROAP	0.19183044267288718
CEBPB	LY96	0.47894448501802156
CEBPB	GPR84	0.46002576069420975
CEBPB	LIN7C	0.20347912088718711
CEBPB	PKMYT1	0.23130415671620153
CEBPB	SPATA5	0.2980106936158986
CEBPB	KRCC1	0.19402380174992206
CEBPB	SOCS3	0.5061751521914113
CEBPB	TMEM26	0.3412200482752983
CEBPB	SOCS1	0.34873875315444725
CEBPB	EIF4EBP1	0.19716480326109043
CEBPB	PGK1	0.2860668329438658
CEBPB	NAE1	0.22504606168914076
CEBPB	LOC399815	0.20796180080246085
CEBPB	GRIA3	0.21876380980403276
CEBPB	TXNDC5	0.3054999718463609
CEBPB	SDF2L1	0.19190181914182602
CEBPB	RASL10B	0.3300814794280287
CEBPB	HTR1D	0.21863545664171102
CEBPB	LY86	0.24913372970403103
CEBPB	ARPC5	0.2198666361582493
CEBPB	NDC80	0.2884479195883296
CEBPB	NFKB1	0.2486621184445168
CEBPB	LRCH2	0.20932777014966586
CEBPB	SON	0.25724335833220735
CEBPB	SP4	0.3319029292950404
CEBPB	TBXAS1	0.31257420919343826
CEBPB	PIN1	0.19640394219915436
CEBPB	ANXA2P2	0.4414251584380162
CEBPB	LRCH3	0.28426470981247665
CEBPB	OGT	0.2057757972650407
CEBPB	ARHGAP11A	0.25176443128213766
CEBPB	CNTNAP3	0.3192735338073627
CEBPB	SLC25A1	0.19331908508574713
CEBPB	ARHGAP11B	0.19821006660732454
CEBPB	KCNK6	0.3204423280979576
CEBPB	ST6GALNAC2	0.24202548974775162
CEBPB	NUMA1	0.18815561856556062
CEBPB	ONECUT2	0.28646092049011784
CEBPB	AKAP8L	0.22483618755817236
CEBPB	ITGB2	0.22421049045829466
CEBPB	DYSF	0.2002603000937624
CEBPB	MCM10	0.23744094060858245
CEBPB	PIK3CB	0.18853052117325664
