Regulator	Target	MI
CEBPB	HCP5	0.21733254674065616
CEBPB	MDC1	0.18989787631614607
CEBPB	SPI1	0.3111266037069278
CEBPB	POP1	0.18773453363388537
CEBPB	GMFG	0.1896908744165744
CEBPB	C4BPB	0.20964895997050892
CEBPB	TMEM97	0.23866414723915508
CEBPB	FAM159A	0.24134413403427413
CEBPB	ZC3H12D	0.214330971415845
CEBPB	LACTB	0.21528199781856028
CEBPB	CAPNS1	0.33680726772327674
CEBPB	DPYSL4	0.25389723117890917
CEBPB	ZC3H12A	0.4000952046382178
CEBPB	C3AR1	0.19564934863836836
CEBPB	GTSE1	0.18827166814216856
CEBPB	PKNOX2	0.306959881940184
CEBPB	GBP5	0.2816788772223404
CEBPB	RNASE6	0.21460254441328974
CEBPB	ZFYVE20	0.2463749081016422
CEBPB	RNASE4	0.4657131474347258
CEBPB	CACNA2D4	0.4533237857039074
CEBPB	RNASE3	0.21355481101080098
CEBPB	RNASE2	0.2912616856699728
CEBPB	LRRC37B	0.2378070902694187
CEBPB	ZNF16	0.22477725901806167
CEBPB	RUFY1	0.3166678135037797
CEBPB	CH25H	0.39384233448498307
CEBPB	CLDN3	0.2003142278861425
CEBPB	SPINT1	0.2176017305984148
CEBPB	LOC100129387	0.2021821689748453
CEBPB	SCO2	0.20259165398067402
CEBPB	ETHE1	0.26269970674651066
CEBPB	RBP1	0.20744950298145515
CEBPB	SET	0.2680788776499998
CEBPB	TARSL2	0.2746906366220232
CEBPB	FPR1	0.3158057506256853
CEBPB	FPR2	0.27754136421132447
CEBPB	TAPBPL	0.3495227625411941
CEBPB	AAAS	0.2275121746101627
CEBPB	LYPD6	0.18969019670021225
CEBPB	CYB5R1	0.2780255494184285
CEBPB	MRPL20	0.24700937791714495
CEBPB	RDH10	0.24147251210269083
CEBPB	MGC16703	0.19843724267115626
CEBPB	PSMF1	0.18909225062982227
CEBPB	LYN	0.18740071166616357
CEBPB	HLA-DRB6	0.2093440748707156
CEBPB	HACE1	0.21544552413201234
CEBPB	TIPARP	0.25334306158420716
CEBPB	EIF2AK1	0.2554126241890149
CEBPB	FUCA1	0.24460275262987263
CEBPB	EDEM2	0.268139171849862
CEBPB	FUCA2	0.279819593213813
CEBPB	IL31RA	0.21076141768531187
CEBPB	BTBD11	0.19356783555566892
CEBPB	CP	0.27689525671081405
CEBPB	LOC606724	0.27525247440976575
CEBPB	FASN	0.2514308219981434
CEBPB	TREML3	0.1859972611178078
CEBPB	TREML2	0.19373546176636225
CEBPB	FXYD5	0.23125107096674302
CEBPB	PKIG	0.1965257279610393
CEBPB	HAMP	0.24432849458851535
CEBPB	HNRNPA1L2	0.45642113657292693
CEBPB	HLA-DRB1	0.2517366852128635
CEBPB	FERMT3	0.2893290915627791
CEBPB	ARHGAP9	0.3780053124821592
CEBPB	PGCP	0.1939945778499208
CEBPB	PIGT	0.3189861236769289
CEBPB	SIGLEC9	0.5568445683900212
CEBPB	WFIKKN1	0.2483474257549867
CEBPB	HEXB	0.2946740953737237
CEBPB	HEXA	0.26323772022887404
CEBPB	TMEM51	0.29393684562804623
CEBPB	ARHGAP4	0.3221896050785782
CEBPB	PIGX	0.29425170921612853
CEBPB	TUBA1C	0.22393664649644762
CEBPB	NHSL1	0.33600017617033195
CEBPB	MMP28	0.22930395903594736
CEBPB	SH3BGRL3	0.36933371286660144
CEBPB	ZNF248	0.22935904656758233
CEBPB	C7orf57	0.24287627489808905
CEBPB	FGFBP3	0.19496864699271743
CEBPB	CTBS	0.25563037117452403
CEBPB	RAG1AP1	0.3111088542264602
CEBPB	CHST9	0.3512020289223621
CEBPB	ACTL6B	0.26695469138614136
CEBPB	KCND2	0.32179806616044715
CEBPB	RIPK3	0.2512849416457241
CEBPB	DUSP1	0.276375539309754
CEBPB	GSTO1	0.24316282707493464
CEBPB	ROM1	0.2604036231117117
CEBPB	KIAA1143	0.21648096249491733
CEBPB	VWA5A	0.32944466645875004
CEBPB	C3orf1	0.20038329830407342
CEBPB	JOSD2	0.2683819587840732
CEBPB	HIST2H2BF	0.19775790183196307
CEBPB	SLC39A14	0.27914907107451725
CEBPB	SUMF1	0.3241872308031679
CEBPB	PIGC	0.2460101193618902
CEBPB	VAMP8	0.3980168143904175
CEBPB	PIGB	0.2072811680966975
CEBPB	FAM113B	0.2478982357037376
CEBPB	RILPL2	0.4894723176609759
