Regulator	Target	MI
CEBPB	HCP5	0.19818906350310783
CEBPB	SPI1	0.4639348311609979
CEBPB	POP1	0.19855907322707989
CEBPB	GMFG	0.4771166458716678
CEBPB	LOC642846	0.264088461409143
CEBPB	NDST2	0.2441623907195778
CEBPB	ZC3H12D	0.22966895758198724
CEBPB	ZC3H12A	0.43261196049562134
CEBPB	C3AR1	0.33463988199752936
CEBPB	ANKFY1	0.1864057702295998
CEBPB	CKMT1B	0.25092233406581954
CEBPB	FOXO3B	0.1871526503123313
CEBPB	FAM19A4	0.3103901619180025
CEBPB	PKNOX2	0.3632442953971564
CEBPB	WLS	0.20714277025027528
CEBPB	CACNA2D4	0.4754778958400028
CEBPB	CH25H	0.4423861997860863
CEBPB	SPINT1	0.32667141491603235
CEBPB	ASPHD1	0.2089351850470802
CEBPB	ORAI3	0.23888643185540293
CEBPB	PLBD1	0.21501185262614353
CEBPB	FAR2	0.23869528257222328
CEBPB	GTSF1	0.27187222261948296
CEBPB	SKAP1	0.22209537519190192
CEBPB	TSTA3	0.19956039150107063
CEBPB	TARSL2	0.1930445637588063
CEBPB	MFI2	0.207792284083264
CEBPB	BAZ2B	0.2542269946738758
CEBPB	PLA2G5	0.32207527995100627
CEBPB	ZNF24	0.24824992519384548
CEBPB	LOH12CR1	0.19339694592999734
CEBPB	EPB41L5	0.19275762165328914
CEBPB	PRPSAP2	0.24565398533573468
CEBPB	RDH12	0.1877769574902013
CEBPB	RNF215	0.18844935992393186
CEBPB	RDH10	0.4392971680308335
CEBPB	SFN	0.23264099218695833
CEBPB	GSTM4	0.19259768041806602
CEBPB	HLA-DRB6	0.20025950509464074
CEBPB	FUCA1	0.2421747038304174
CEBPB	PBX1	0.2590541608230206
CEBPB	LOC606724	0.3149224259103258
CEBPB	TREML1	0.5293360675491607
CEBPB	FASN	0.237228523911309
CEBPB	TREML3	0.1874174498710639
CEBPB	TREML2	0.2883750004438008
CEBPB	FXYD6	0.19877187758534287
CEBPB	FXYD5	0.3882300983958311
CEBPB	SFXN5	0.27914457886366506
CEBPB	ARHGAP9	0.42054874678831666
CEBPB	PGCP	0.22786614584468268
CEBPB	SIGLEC9	0.6317509049643455
CEBPB	ZNF493	0.27697342512080336
CEBPB	MTMR11	0.19571331243569823
CEBPB	SHB	0.21773497439401002
CEBPB	ARHGAP4	0.39773231606440707
CEBPB	SHF	0.2728590145084775
CEBPB	NHSL1	0.25423144224054006
