Regulator	Target	MI
CEBPB	SPI1	0.31649388558351443
CEBPB	GMFG	0.5691018499429941
CEBPB	LOC728392	0.22707289865828262
CEBPB	SPINT2	0.2894728984032646
CEBPB	ALKBH8	0.2578664612060839
CEBPB	LOC134466	0.21019522348675235
CEBPB	KIAA1109	0.23145347446514464
CEBPB	CAPNS1	0.22967623645762814
CEBPB	DPYSL4	0.20423346727177716
CEBPB	AKT3	0.19720004274320324
CEBPB	GPBP1	0.3133262345656824
CEBPB	C3AR1	0.3797670079807638
CEBPB	FAM19A1	0.37531523892697205
CEBPB	GTSE1	0.21662361207878433
CEBPB	HEMK1	0.2620294925827684
CEBPB	FRS2	0.39749589472624614
CEBPB	CACNA2D4	0.2964527899538556
CEBPB	ZNF12	0.20750384575944025
CEBPB	CTAGE1	0.199155586526377
CEBPB	SPINT1	0.2920960704367097
CEBPB	KIAA0247	0.3206591100225218
CEBPB	ORAI3	0.2822536630308816
CEBPB	ATF3	0.21845345246259207
CEBPB	TPRG1L	0.2833585005767594
CEBPB	ZNF24	0.19866458677234
CEBPB	DEDD2	0.293120816964219
CEBPB	EPB41L5	0.30672681786912204
CEBPB	SCGB1D2	0.23569205389829317
CEBPB	RDH10	0.43220887274143927
CEBPB	EPB41L3	0.21207055895449312
CEBPB	HLA-DRB5	0.23720567715225638
CEBPB	PRPF38A	0.20384304845522738
CEBPB	BTBD17	0.24746173920792813
CEBPB	TSLP	0.22364332412471022
CEBPB	TIPARP	0.3423480125915699
CEBPB	FUCA1	0.2506266819434577
CEBPB	BTBD11	0.22846233209874267
CEBPB	PBX1	0.22149890666258987
CEBPB	LOC606724	0.5074834447273906
CEBPB	TREML1	0.404727539943587
CEBPB	TREML3	0.33468003054561457
CEBPB	NMT2	0.2618583202752536
CEBPB	FXYD6	0.2110680121150157
CEBPB	FXYD5	0.34778460730401406
CEBPB	DZIP1	0.21768216209404834
CEBPB	PKIG	0.18830662170280021
CEBPB	HNRNPA1L2	0.25338320609541753
CEBPB	DZIP3	0.22791870017615246
CEBPB	HLA-DRB1	0.3216998749285036
CEBPB	LGMN	0.2383651509730802
CEBPB	ARHGAP9	0.31871584600486713
CEBPB	SIGLEC9	0.40791565592750434
CEBPB	ZNF493	0.3359598226714251
CEBPB	MTMR11	0.32253108945493114
CEBPB	ARHGAP6	0.26365273881611273
CEBPB	FAM115A	0.2175335079585503
CEBPB	ARHGAP4	0.2796944125397056
CEBPB	IL18BP	0.24077628084672842
CEBPB	ZNF41	0.21270194636816342
CEBPB	NEFM	0.25861975465688847
CEBPB	JAK3	0.1990951476590448
CEBPB	SPHK1	0.3171051644110552
CEBPB	TEX10	0.258646538552207
CEBPB	MED29	0.21304303673101987
CEBPB	MMP10	0.20118216426046232
CEBPB	PHF20L1	0.1970341194968146
CEBPB	MMP14	0.2691412368747308
CEBPB	PLSCR1	0.361524682860491
CEBPB	MED24	0.24179885145856428
