Regulator	Target	MI
CEBPB	HCP5	0.19220826196717766
CEBPB	SPI1	0.5047888493449344
CEBPB	F11R	0.334299311250855
CEBPB	ZC3H12D	0.2807118327011393
CEBPB	LOC134466	0.21166561185946264
CEBPB	KIAA1109	0.21358236926768637
CEBPB	CAPNS1	0.19831420746270823
CEBPB	ALKBH1	0.2257255414066739
CEBPB	ZC3H12A	0.5702063105832584
CEBPB	C3AR1	0.30038290311849725
CEBPB	EPSTI1	0.24815766683546325
CEBPB	GSTK1	0.2448624504215262
CEBPB	LOC388796	0.18833551820648786
CEBPB	TSTD2	0.1956905093829322
CEBPB	DHDH	0.28235746346462065
CEBPB	HDGFRP3	0.26328477017483465
CEBPB	ZNF10	0.266166374396521
CEBPB	BHLHA15	0.19325608780066794
CEBPB	CACNA2D4	0.5161922201912592
CEBPB	SPINT1	0.39527870852848057
CEBPB	ORAI3	0.18713847728142508
CEBPB	JTB	0.26393917571753356
CEBPB	FAR1	0.2528780423447943
CEBPB	CTAGE6	0.2614124952854855
CEBPB	LOC349196	0.20869732312243716
CEBPB	TMEM126B	0.21694348028299082
CEBPB	EXD3	0.35415449846575786
CEBPB	COL13A1	0.2580717157607353
CEBPB	LOC550643	0.26741444264341396
CEBPB	CDCA4	0.23959850614654687
CEBPB	CDCA5	0.20824862094972207
CEBPB	ZNF22	0.36840860920580454
CEBPB	PLA2G6	0.19829012203736873
CEBPB	PRPSAP1	0.19943510911959716
CEBPB	ADAMTS14	0.2940721098868222
CEBPB	PRPSAP2	0.34100371042857613
CEBPB	SCGB1D2	0.2385587105824687
CEBPB	EPB41L2	0.23283642905903612
CEBPB	EPB41L3	0.30458596859775255
CEBPB	MOV10L1	0.20470052158717333
CEBPB	SFN	0.5142082422676291
CEBPB	GSTM2	0.35845485992716153
CEBPB	HLA-DRB5	0.33374094229237095
CEBPB	JUN	0.3546722594644214
CEBPB	PRPF38A	0.20168816156901848
CEBPB	FUCA1	0.21814994519365172
CEBPB	NCAPH2	0.2208861768161512
CEBPB	FUCA2	0.22711036975459287
CEBPB	EIF2AK4	0.19874249585553905
CEBPB	LOC606724	0.29471971699836086
CEBPB	TREML1	0.41010356411434756
CEBPB	VANGL2	0.23968699220296674
CEBPB	TREML3	0.28462465557901506
CEBPB	DLX6AS	0.18727365354649272
CEBPB	FXYD5	0.21232410188894324
CEBPB	DZIP1	0.2233524736136463
CEBPB	DZIP3	0.27975250447854894
CEBPB	LGMN	0.20376351587831287
CEBPB	GTF2H2C	0.2672800793202246
CEBPB	SIGLEC9	0.3428388473629429
CEBPB	KCNC1	0.1913457474418525
CEBPB	BHLHE41	0.3178850474913606
CEBPB	PRKAG1	0.243709813449267
CEBPB	MED19	0.2168303887885843
CEBPB	SNX10	0.289815361761538
CEBPB	ARHGAP5	0.20895643226692862
CEBPB	OSBPL11	0.2170480675589994
CEBPB	ARHGAP4	0.4034469567812753
CEBPB	IL18BP	0.21487479954592992
CEBPB	MECP2	0.2860756817070911
CEBPB	PCMTD2	0.34410923022153916
CEBPB	PANX2	0.2607755519298012
CEBPB	MMP24	0.18989196520253593
CEBPB	SMPD1	0.2166544049431307
CEBPB	MTMR15	0.1927434253184348
CEBPB	TSPO	0.285913273696055
CEBPB	JAK3	0.35712486773256913
CEBPB	DLGAP5	0.21657364136351287
CEBPB	RAG1AP1	0.21121928893443354
CEBPB	CHST6	0.3589014675919726
CEBPB	DUSP3	0.28781328526532235
CEBPB	KCND2	0.26897477677542625
CEBPB	DUSP1	0.2805999314765
CEBPB	IFT140	0.19736298761227733
CEBPB	SLC39A14	0.43050321325881846
CEBPB	FAM113B	0.34621574911269004
CEBPB	MED24	0.2274935819896644
CEBPB	SLC7A7	0.4608738097279268
CEBPB	OAF	0.2723989136820233
CEBPB	DPYD	0.41665998737417453
CEBPB	MED20	0.22337214510616832
CEBPB	POT1	0.20583604143849676
CEBPB	PPARG	0.2238878233154269
CEBPB	HCST	0.5629046951426488
CEBPB	MTCP1NB	0.2026858967391778
CEBPB	CRB2	0.3781024694760937
CEBPB	ZNF474	0.2184393778475915
CEBPB	NIP7	0.26046730147965924
CEBPB	ATP5A1	0.27818780235822427
CEBPB	ODC1	0.3757936963486186
CEBPB	SLC7A1	0.21455515415928605
CEBPB	SLC7A2	0.18974390219465054
CEBPB	NEURL1B	0.365473364581959
CEBPB	ADAM28	0.32122680996634756
CEBPB	MFN1	0.19248609502559155
CEBPB	SPP1	0.18763396413652966
CEBPB	IL12RB1	0.4931890751129968
CEBPB	ZSWIM5	0.21943012351893731
CEBPB	MBD4	0.24023255384924713
CEBPB	PKM2	0.26473481992114856
CEBPB	CKMT1A	0.23711239433920372
CEBPB	MCRS1	0.2826031353890448
CEBPB	TRAPPC10	0.31202222230383025
CEBPB	DAB2IP	0.22533335189762127
CEBPB	BMP8B	0.2889423560669089
CEBPB	SNX20	0.35930630497538196
CEBPB	CENPJ	0.22218440966504982
CEBPB	CENPK	0.34363362309329926
CEBPB	TAOK2	0.20198973826074695
CEBPB	CENPL	0.20258003549042147
CEBPB	PRKRIR	0.2918383767828887
