Regulator	Target	MI
CEBPB	CHIC2	0.27627558893491333
CEBPB	SPI1	0.3014168678767799
CEBPB	GMFG	0.2918879031192141
CEBPB	ZNF292	0.20657299831388265
CEBPB	C4BPB	0.2522737188276558
CEBPB	SPINT2	0.32092796341430674
CEBPB	ZC3H12D	0.19150933773688905
CEBPB	IL4I1	0.2514716426574637
CEBPB	LIPE	0.3550673150310031
CEBPB	SCAMP4	0.21165332306948947
CEBPB	ISLR	0.22050681822073592
CEBPB	KRTCAP2	0.19262991714863809
CEBPB	NSDHL	0.22208621700460895
CEBPB	ZC3H12A	0.3734653115945976
CEBPB	PRKACA	0.2862091822375694
CEBPB	LOC613037	0.19696634653876455
CEBPB	SETMAR	0.19454737864353255
CEBPB	TMEM85	0.26856736960556926
CEBPB	CACNA2D4	0.4045620397928804
CEBPB	RNASE3	0.34589455154109405
CEBPB	RNASE2	0.41535107276418515
CEBPB	RNASE1	0.19195598162315441
CEBPB	SND1	0.28884873993211535
CEBPB	MAPKSP1	0.22534804807159414
CEBPB	EML5	0.19584564365159984
CEBPB	PRKAR1B	0.22499301971590224
CEBPB	ASPHD1	0.2278185107503541
CEBPB	ETHE1	0.2668727000982818
CEBPB	PLBD1	0.192330617288623
CEBPB	PSME2	0.24910070804369155
CEBPB	MYL9	0.2441524214536308
CEBPB	IDO1	0.26178685599646556
CEBPB	EXD1	0.20224520005295066
CEBPB	SF4	0.21668281703080616
CEBPB	MTMR2	0.32486832036045854
CEBPB	FPR1	0.23336208903922184
CEBPB	MTMR9	0.3316591860468261
CEBPB	FPR3	0.22034004792454365
CEBPB	FPR2	0.32062613212889524
CEBPB	ZNF25	0.27605130923864074
CEBPB	C2	0.2268290170117897
CEBPB	DEDD2	0.2054970686423081
CEBPB	ADAMTS16	0.2448474253153723
CEBPB	HSD11B1	0.2506777751153004
CEBPB	RNF212	0.1931372228512238
CEBPB	LOC729467	0.21173894589143494
CEBPB	SCGB1D2	0.2824718555927994
CEBPB	KCNMB1	0.23083810709576458
CEBPB	SFN	0.3284170665500614
CEBPB	ZBTB7B	0.34245752804512186
CEBPB	AMZ1	0.2486012490462608
CEBPB	HLA-DRB6	0.23995938187100752
CEBPB	HLA-DRB5	0.2739863715820441
CEBPB	JUN	0.21750726019604993
CEBPB	PRPF38A	0.22921499659555344
CEBPB	CADM1	0.28454121564999024
CEBPB	TSLP	0.32788689486250444
CEBPB	BTBD18	0.2565855457942483
CEBPB	CADM2	0.32388723786317186
CEBPB	TIPARP	0.5190937080086764
CEBPB	FUCA1	0.29358387518024465
CEBPB	ABCA4	0.20979910516423406
CEBPB	FUCA2	0.27971421700528243
CEBPB	BTBD11	0.1988317010375189
CEBPB	BTBD12	0.24231262937664777
CEBPB	CP	0.23905605027843446
CEBPB	LOC606724	0.328685804981915
CEBPB	TREML1	0.21093658583630504
CEBPB	ABTB1	0.2768405905071436
CEBPB	VANGL2	0.1858621338084694
CEBPB	TREML2	0.1930865842952132
CEBPB	SFXN4	0.31564325204975585
CEBPB	PSMG2	0.22626731970285352
CEBPB	HAMP	0.3852222259722673
CEBPB	FERMT2	0.18974428400839116
CEBPB	FERMT3	0.3118905015767739
CEBPB	PGCP	0.21885715583537113
CEBPB	PIGT	0.25534863151708986
CEBPB	SIGLEC9	0.4715569859778137
CEBPB	KCNC2	0.23389002369007184
CEBPB	STAG3L4	0.237891343157405
CEBPB	C7orf51	0.20932174810065884
CEBPB	HEXA	0.24271712272026047
CEBPB	QPRT	0.24855111613002023
CEBPB	SRPR	0.20766094848430683
CEBPB	TMEM51	0.3078289206617786
CEBPB	HOXC13	0.3115571732168725
CEBPB	FAM115A	0.20197788353523816
CEBPB	HOXC10	0.2105067665697513
CEBPB	MRPL32	0.19100464970311926
CEBPB	TRMT112	0.21580931149187155
CEBPB	TUBA1B	0.187793477940553
CEBPB	MED13	0.3169073277715775
CEBPB	B3GALT1	0.27744704160114964
CEBPB	FLVCR1	0.1927944656867746
CEBPB	TSPO	0.24769828585359743
CEBPB	DLGAP1	0.2341391860071429
CEBPB	SH3BGRL3	0.35393528763456583
CEBPB	FGFBP3	0.21497181358250295
CEBPB	CTBS	0.19343912647808015
CEBPB	JAK3	0.19925096256092356
CEBPB	SLC18A1	0.1874821978673058
CEBPB	SLC18A2	0.20624641435101676
CEBPB	HLA-DPA1	0.3191282417943926
CEBPB	RAG1AP1	0.26128490490695633
CEBPB	ZNF484	0.23572529505129314
CEBPB	KCND1	0.18905854242619569
CEBPB	KCND3	0.36467677402338783
CEBPB	NSUN6	0.2456484631628406
CEBPB	NSUN7	0.229170575615937
CEBPB	DYNLL2	0.458348647767882
CEBPB	PSMA5	0.3252905505391279
CEBPB	VAMP8	0.2692400600938978
CEBPB	PIGB	0.20620880606976044
CEBPB	TMEM37	0.29832491116161286
CEBPB	GPRC5A	0.27800660145251666
CEBPB	MED24	0.218505431907297
CEBPB	RILPL2	0.3564774082027009
CEBPB	DPYD	0.23514545916142904
CEBPB	MMP19	0.3306817284824586
CEBPB	VAMP5	0.33831693990845135
CEBPB	ERGIC1	0.19104842825590662
CEBPB	PAFAH1B2	0.23606186926914852
CEBPB	ARF6	0.25598345458189886
CEBPB	RAPGEF4	0.2293087579714026
CEBPB	ZNF473	0.2550728322760394
CEBPB	KCNA2	0.26325582127371217
CEBPB	KCNA5	0.18856919482440748
CEBPB	PTGS1	0.20682371993948312
CEBPB	HLA-DMA	0.3267545310626119
CEBPB	SNX29	0.19706555860334785
CEBPB	EXTL1	0.1905547058545105
CEBPB	SRPX2	0.19659741583910773
CEBPB	HAS1	0.41175580351015917
CEBPB	CSMD1	0.2582081740695168
CEBPB	LRRC25	0.42153500083117024
CEBPB	ZNF221	0.21969895203368495
CEBPB	C20orf177	0.2798843332210561
CEBPB	MBD4	0.2433599612198858
CEBPB	C4orf3	0.2108964301346088
CEBPB	SMAGP	0.21798394550956157
CEBPB	FAM13AOS	0.19817028614344956
CEBPB	USP9Y	0.18838853098953656
CEBPB	EMR1	0.3030168311379331
CEBPB	MBD2	0.2005260394859052
CEBPB	GATAD2B	0.19940135245145818
CEBPB	STXBP5L	0.25381763210915675
CEBPB	COL3A1	0.2014730656489334
CEBPB	LRG1	0.19217712405298037
CEBPB	ZNF74	0.19475793501552285
CEBPB	HLA-DPB1	0.18762016295569062
CEBPB	YPEL1	0.3093668854391094
CEBPB	SIGLEC7	0.27544802726110884
CEBPB	ZNF454	0.20376563061502218
CEBPB	OLFML2B	0.27259897426148605
CEBPB	SH2D7	0.30893224849356926
CEBPB	NCF2	0.2712536136311874
CEBPB	CSE1L	0.25520717604771015
CEBPB	NCF4	0.4833980782293832
CEBPB	GPR61	0.22773517865715576
CEBPB	HR	0.21174865145010902
CEBPB	SAT1	0.43713249664290466
CEBPB	CXCL16	0.37049530462748503
CEBPB	UROD	0.29248608183468683
CEBPB	ADORA3	0.20466823119480182
CEBPB	ZNF208	0.2014047242696142
CEBPB	FBRSL1	0.3768533055308412
CEBPB	TNFRSF8	0.19614743152868908
CEBPB	MAP3K8	0.4922310074322436
CEBPB	HLA-DOA	0.1877982463702894
CEBPB	ZNF445	0.27886584944236237
CEBPB	HLA-DOB	0.21781293089312825
CEBPB	ZNF443	0.28477138484009323
CEBPB	ZBTB39	0.25571653117821214
CEBPB	ZNF682	0.3176930156795823
CEBPB	CISH	0.21157729968343375
CEBPB	ATP11C	0.2239941737357567
CEBPB	LOC285830	0.2473384517973365
CEBPB	MYT1	0.21026663273484214
CEBPB	ACAP1	0.3242324316037237
CEBPB	KIAA1731	0.21003186261323048
CEBPB	MAPKAPK2	0.4253856967002836
CEBPB	SLC9A9	0.2725468915901663
CEBPB	S100A6	0.4503392932637613
CEBPB	PKP1	0.20901769443351892
CEBPB	S100A4	0.3245921987027387
CEBPB	PTPRCAP	0.2903353336612735
CEBPB	S100A3	0.2998684135503842
CEBPB	NPTXR	0.26022259518519686
CEBPB	S100A9	0.35622129626597854
CEBPB	ANAPC1	0.2317040919169635
CEBPB	DSC2	0.18916541895664718
CEBPB	S100A8	0.4531636309444229
CEBPB	FTL	0.391100294662146
CEBPB	ZNF431	0.19910456799473497
CEBPB	BLM	0.18701244015217622
CEBPB	ZNF670	0.21586646007560972
CEBPB	LOC100233209	0.22109849277882176
CEBPB	CREM	0.21262726164160206
CEBPB	LY96	0.25838603915248726
CEBPB	UAP1	0.3005298151731486
CEBPB	FBXO46	0.20424600863852493
CEBPB	GPR84	0.27004942469279314
CEBPB	LOC147727	0.2696749139311221
CEBPB	CORO1A	0.23546185820099463
CEBPB	C9orf82	0.1984827781854248
CEBPB	CCDC144C	0.2409351444524841
CEBPB	RAP1B	0.22144688435644255
CEBPB	NPAT	0.19635232875876696
CEBPB	SOCS3	0.3911249264209342
CEBPB	DSEL	0.2351191582887946
CEBPB	BAT2L1	0.23190941823250721
CEBPB	ZKSCAN2	0.19609001887066757
CEBPB	EIF4EBP3	0.18792328987141538
CEBPB	TXNDC6	0.2650547562407892
CEBPB	GRIA4	0.20575252004357214
CEBPB	LRRC4B	0.24411589766826314
CEBPB	ZNF660	0.18873693515004675
CEBPB	NEK4	0.2622864752910061
CEBPB	GFPT2	0.23059480551544453
CEBPB	TFPI2	0.24538158401245003
CEBPB	LY86	0.3404074680614153
CEBPB	FUZ	0.2062157448936608
CEBPB	ZBTB12	0.2080258668199244
CEBPB	ARPC5	0.3621081443358394
CEBPB	TMEM20	0.29290115565266905
CEBPB	C14orf21	0.23115820939549003
