Regulator	Target	MI
CEBPB	CHIC2	0.23786422876586588
CEBPB	CHIC1	0.2370514454588175
CEBPB	SPI1	0.3563048703716074
CEBPB	GMFG	0.3056965346299254
CEBPB	IFT172	0.186571645427823
CEBPB	LOC344967	0.2206837550495928
CEBPB	SLA2	0.2255947625692558
CEBPB	CLDN1	0.23549450771439062
CEBPB	IL4I1	0.38547083376192415
CEBPB	VSTM1	0.22925155772906436
CEBPB	PRKACB	0.19075594299261756
CEBPB	CSNK2A1	0.23297202211595458
CEBPB	STARD6	0.2118659928628075
CEBPB	CACNA2D3	0.290989107356749
CEBPB	ZFYVE20	0.22821367096645773
CEBPB	HDGFRP3	0.273782283739064
CEBPB	FRS2	0.24588850583541966
CEBPB	CACNA2D4	0.48868659190495123
CEBPB	PDZK1	0.2464123776214837
CEBPB	RNASE3	0.45535417118080623
CEBPB	GAPVD1	0.2809027430313913
CEBPB	RNASE2	0.4631870433227041
CEBPB	ZNF14	0.27952940769693946
CEBPB	LOC493754	0.206431054775007
CEBPB	ZNF16	0.28755320371528637
CEBPB	CH25H	0.22509996115923148
CEBPB	SPINT1	0.25048036698344944
CEBPB	C14orf86	0.20114876352521183
CEBPB	ETHE1	0.24173714659485768
CEBPB	RUFY3	0.1889174620508438
CEBPB	ZFYVE19	0.27285728724158353
CEBPB	CLDN7	0.1958987960229166
CEBPB	ORAI1	0.19486456253758888
CEBPB	PLBD1	0.23900382233993422
CEBPB	MTMR3	0.4387536111524204
CEBPB	NLRX1	0.2173067376723017
CEBPB	FPR1	0.19883126105184168
CEBPB	MTMR9	0.26339379860640655
CEBPB	EDDM3A	0.19314194069377155
CEBPB	FPR2	0.2605396172576091
CEBPB	GIGYF2	0.21413291019428282
CEBPB	SLC5A4	0.1975259583779403
CEBPB	LOH12CR1	0.25293839602439494
CEBPB	LOC100128288	0.20333907450999522
CEBPB	ADAMTS14	0.29808252456932394
CEBPB	ADAMTS19	0.21610061677009273
CEBPB	RDH11	0.1862415002528337
CEBPB	KCNMB2	0.3049833910998281
CEBPB	MOV10L1	0.2292274412740838
CEBPB	C14orf93	0.21692049365363175
CEBPB	ZBTB7B	0.20855938129926432
CEBPB	ATG7	0.23977511679587682
CEBPB	BTBD19	0.23905692720482996
CEBPB	JUN	0.28091607481317915
CEBPB	TSLP	0.1978043613138496
CEBPB	TIPARP	0.2656624639524239
CEBPB	FUCA1	0.1886007819445954
CEBPB	EDEM2	0.327895546614978
CEBPB	CP	0.30749687943839454
CEBPB	GRIN2B	0.24999344500298903
CEBPB	LARP6	0.1963420672316607
CEBPB	PBX1	0.2369464012451301
CEBPB	LOC606724	0.2301889618874693
CEBPB	TREML1	0.2662026676619895
CEBPB	TREML3	0.3570735413628885
CEBPB	TREML2	0.27550190647322914
CEBPB	ZNF30	0.2181807670179694
CEBPB	NMT2	0.18683394847419255
CEBPB	HNRNPA1L2	0.18721280743668522
CEBPB	ZBTB8B	0.2812689426084516
CEBPB	DZIP3	0.2508734927493794
CEBPB	FERMT3	0.4179351206611255
CEBPB	STAG3L1	0.19406131251886904
CEBPB	PIGT	0.30981146199081433
CEBPB	SIGLEC9	0.3711120025273109
CEBPB	HEXA	0.30659129509523453
CEBPB	TMEM51	0.24811690796392227
CEBPB	CTCF	0.2741351942662211
CEBPB	FRG2C	0.3131416692965372
CEBPB	HOXC10	0.2328554993554981
CEBPB	ARHGAP4	0.19677901057382385
CEBPB	IL18BP	0.19044591237949327
CEBPB	LMBR1	0.19396210332956532
CEBPB	TMEM49	0.26427704602072133
CEBPB	TSPO	0.2150914870861822
CEBPB	SH3BGRL3	0.6146807469646411
CEBPB	JAK3	0.3683246775424811
CEBPB	LRRC47	0.3013389108376634
CEBPB	RAG1AP1	0.2912282037932048
CEBPB	ELOVL1	0.24326490613226337
CEBPB	GPR39	0.20862952365279597
CEBPB	DUSP3	0.2962733833848521
CEBPB	KCND2	0.20477537971947513
CEBPB	DUSP1	0.2867123582492308
CEBPB	SPHK1	0.20178322717220887
CEBPB	TEX10	0.20379631322136937
CEBPB	NSUN6	0.4413046915591625
CEBPB	JOSD2	0.2709690451207889
CEBPB	SUMF1	0.2294370217756443
CEBPB	VAMP8	0.23668385148398574
CEBPB	TMEM37	0.36896957473561365
CEBPB	FAM113B	0.18984424732616212
CEBPB	GPRC5A	0.23830338556444808
CEBPB	SLC7A7	0.19620852223665164
CEBPB	MMP16	0.33252740871874753
CEBPB	PLSCR3	0.18710777180223204
CEBPB	RILPL2	0.24322220530615457
CEBPB	OAF	0.2140602160163585
CEBPB	PPARG	0.22146783517298285
CEBPB	HCST	0.40546205844681626
CEBPB	VAMP5	0.25260309709432693
CEBPB	TMEM106A	0.35305584403766765
CEBPB	KANK1	0.36305233088024647
CEBPB	OAT	0.1938195317913074
CEBPB	GPR45	0.26061224270228234
CEBPB	KCNA5	0.22990463109722192
CEBPB	PTGS2	0.2572101651102532
CEBPB	SLC7A1	0.24831788816459532
CEBPB	FAM117B	0.2072287517703293
CEBPB	PTGS1	0.2690038276107831
CEBPB	NEURL1B	0.22955216702660675
CEBPB	HLA-DMA	0.30695847928235764
CEBPB	TMEM67	0.224653896822268
CEBPB	MICALL2	0.23736728110859673
CEBPB	CSMD1	0.33478622534249336
CEBPB	LRRC25	0.4736994494007556
CEBPB	ZNF462	0.20320629863332584
CEBPB	P2RY10	0.20240465954552267
CEBPB	ATAD5	0.19296845786250394
CEBPB	AADAT	0.19809620621630852
CEBPB	PKM2	0.3512214983447919
CEBPB	EMR1	0.20508276987891438
CEBPB	MBD2	0.33443891757674393
CEBPB	EMR2	0.18838741680151738
CEBPB	SNX21	0.2125803529393968
CEBPB	KIAA1161	0.2321940740435524
CEBPB	TMCO4	0.19476320046439444
CEBPB	DCBLD2	0.24986001367238853
CEBPB	LYRM1	0.2064163652359321
CEBPB	LRG1	0.20254838841449896
CEBPB	CENPJ	0.2366643179191783
CEBPB	SNX14	0.19205549121468657
CEBPB	HLA-DPB1	0.1895849004732817
CEBPB	OCM	0.22398447319308712
CEBPB	MITD1	0.21355056435973907
CEBPB	UBAP2	0.37429541778395325
CEBPB	NCAPD3	0.27796938068492505
CEBPB	CRAT	0.2894419317685113
CEBPB	SIGLEC7	0.29568129722005576
CEBPB	FRYL	0.1951868690323284
CEBPB	C6orf1	0.4001876653797858
CEBPB	PECR	0.20594655011151985
CEBPB	OLFML2B	0.20565017592390955
CEBPB	NCF1	0.20873961011984665
CEBPB	GPR68	0.3527954352665077
CEBPB	NCF2	0.3254832516342052
CEBPB	NCF4	0.32177950785711307
CEBPB	CASC5	0.25225535045693803
CEBPB	NCRNA00183	0.25424559850130635
CEBPB	PLOD3	0.24846494678315523
CEBPB	SLA	0.19156815057287258
CEBPB	CXorf50B	0.22804663579142215
CEBPB	SAT1	0.38156036731018617
CEBPB	FADS2	0.189923594132142
CEBPB	LAPTM4B	0.19436210548569388
CEBPB	IBSP	0.3237885904626383
CEBPB	ADORA3	0.2942541579326923
CEBPB	TNFRSF8	0.2187012423630792
CEBPB	MAP3K8	0.2860215343795556
CEBPB	SLC25A42	0.2526950096098437
CEBPB	SLC16A3	0.3041923001687188
CEBPB	SLC25A44	0.22576378010359122
CEBPB	SH3GLB1	0.23067604468285197
CEBPB	ZNF683	0.26622761802676287
CEBPB	TICAM2	0.30651804911598557
CEBPB	CISH	0.19497925572558916
CEBPB	GPR75	0.2259092781859966
CEBPB	CNPY3	0.235748776417271
CEBPB	TPST2	0.3122692407977645
CEBPB	ACAP1	0.2654302933426971
CEBPB	KIAA1731	0.1938518061799961
CEBPB	S100A4	0.23120259251809916
CEBPB	S100A3	0.18837745884634938
CEBPB	ZNF434	0.292542282979106
CEBPB	S100A9	0.4282300153514669
CEBPB	SQSTM1	0.42159695293610877
CEBPB	DSC2	0.32807844237307915
CEBPB	S100A8	0.24685633081465852
CEBPB	FTL	0.26152020759345707
CEBPB	ZNF431	0.20784290796174698
CEBPB	PFKFB1	0.21489727985310925
CEBPB	SHC2	0.1972106920579435
CEBPB	KCNE3	0.21049957520208817
CEBPB	LOC100233209	0.3648716388326809
CEBPB	DLX5	0.19787357366699343
CEBPB	LY96	0.24413223708845333
CEBPB	GPR83	0.300662973064437
CEBPB	GPR84	0.3621889337554727
CEBPB	LOC147727	0.19369648468109535
CEBPB	C6orf27	0.25389794019146805
CEBPB	CORO1A	0.27788372970872643
CEBPB	CYP19A1	0.35498779380559586
CEBPB	CCDC144A	0.258933376333621
CEBPB	HSP90B1	0.3278448418961073
CEBPB	TMEM26	0.30467468325243185
CEBPB	AMDHD2	0.19502625625556824
CEBPB	EIF4EBP1	0.24507576884330362
CEBPB	KDSR	0.19775873655964205
CEBPB	CPA6	0.21031904535087964
CEBPB	ZKSCAN1	0.2106469846666732
CEBPB	CPA4	0.27806898626571375
CEBPB	GPR98	0.23980487865125522
CEBPB	TFPI2	0.18796511833148344
CEBPB	LY86	0.4547889937552929
CEBPB	ZBTB12	0.24040022328872634
CEBPB	ARPC5	0.26195933041826436
CEBPB	FBXO32	0.36217583194602465
