Regulator	Target	MI
CEBPB	SPI1	0.3429782094082192
CEBPB	POP1	0.26455451290597587
CEBPB	GMFG	0.23568428163695732
CEBPB	SPINT2	0.1991373605287663
CEBPB	F11R	0.24611325282420804
CEBPB	SLA2	0.24323273707416604
CEBPB	LOC642846	0.2507818567818543
CEBPB	LOC134466	0.3534805974352109
CEBPB	ISLR	0.3253107391788497
CEBPB	CAPNS1	0.2772263924522509
CEBPB	RAVER1	0.24503305883865334
CEBPB	C14orf72	0.40887272743859704
CEBPB	ZC3H12A	0.5175533654666591
CEBPB	GSTK1	0.33144111898233497
CEBPB	SECISBP2	0.1919415171126282
CEBPB	CACNA2D4	0.3351550077303376
CEBPB	CD2AP	0.2149103691651808
CEBPB	SIGIRR	0.20667796073856426
CEBPB	CH25H	0.25622434745415035
CEBPB	SPINT1	0.19456990785462924
CEBPB	DDIT3	0.20000798251628815
CEBPB	FEZ1	0.19351834649764488
CEBPB	CTAGE9	0.20889766323601577
CEBPB	ATF3	0.29265672247976493
CEBPB	GTSF1	0.2401647125277364
CEBPB	SKAP1	0.41986172024851776
CEBPB	CDCA5	0.30774236110499587
CEBPB	LOC283267	0.2054070349979611
CEBPB	BAZ2A	0.30521403454109386
CEBPB	ZNF22	0.21032894695112514
CEBPB	DEDD2	0.2073890824983815
CEBPB	ADAMTS14	0.2142071224437938
CEBPB	RDH12	0.22297498749845346
CEBPB	AFMID	0.22364957237182903
CEBPB	ATG7	0.27876645459431515
CEBPB	HLA-DRB6	0.21934814813884795
CEBPB	CREBBP	0.3237658521661624
CEBPB	TSLP	0.21919138559011575
CEBPB	TIPARP	0.4531946042144064
CEBPB	FUCA1	0.21014155169927395
CEBPB	BTBD12	0.33981714569768773
CEBPB	PBX1	0.19774102564266194
CEBPB	LOC606724	0.4840319583256676
CEBPB	VANGL1	0.20919680152056497
CEBPB	VANGL2	0.1904988540909196
CEBPB	TREML3	0.21923518233674777
CEBPB	PYDC1	0.259024791117791
CEBPB	FXYD5	0.2756798299501817
CEBPB	HNRNPA1L2	0.19135967766282924
CEBPB	DZIP3	0.2714620417845319
CEBPB	HLA-DRB1	0.24460212260851488
CEBPB	LGMN	0.3009370221926426
CEBPB	ARHGAP9	0.3013354750650743
CEBPB	MTMR11	0.2118220236407531
CEBPB	BHLHE41	0.27517107535280516
CEBPB	LOC92973	0.31626435086471716
CEBPB	FAM115A	0.20832811942650764
CEBPB	MED18	0.19504436962127691
CEBPB	ARHGAP4	0.3006388270463898
CEBPB	ZNF41	0.36328938341952277
CEBPB	TSPO	0.21137617477297077
CEBPB	JAK3	0.25250846108091984
CEBPB	RAG1AP1	0.2352030717845217
CEBPB	SPHK1	0.21000095667074525
CEBPB	SLC39A14	0.3937364100496472
CEBPB	PHF20L1	0.2889760780617623
CEBPB	FAM113B	0.2986430923485326
CEBPB	OAF	0.24892743330235945
CEBPB	PAFAH1B1	0.25061905243201466
CEBPB	KCNA2	0.21784424644232558
CEBPB	KCNA5	0.19485522883794903
CEBPB	SNX30	0.19489681338760345
CEBPB	SPP1	0.22311361738301994
CEBPB	ZNF462	0.24531900036735177
CEBPB	PKLR	0.19992876900220047
CEBPB	KCNB1	0.18911826831915413
CEBPB	C10orf2	0.24554137216098137
CEBPB	COL22A1	0.25885233882013914
CEBPB	SNX20	0.1876276224602007
CEBPB	CENPF	0.44894356398034674
CEBPB	COL3A1	0.20591285704169948
CEBPB	CENPI	0.1950918722890087
CEBPB	CENPJ	0.25673579358573306
CEBPB	C6orf1	0.22827051649619623
CEBPB	KCNG3	0.2890736546251427
CEBPB	OLFML2B	0.30465104236139773
CEBPB	CASC5	0.33965266589603704
CEBPB	SLA	0.4089451911776356
