Regulator	Target	MI
CEBPB	ATF1	0.20058772097883004
CEBPB	HCP5	0.26125718600250813
CEBPB	SPI1	0.3260707645338048
CEBPB	GMFG	0.375141939601801
CEBPB	TESK1	0.21870788088710746
CEBPB	FAM159A	0.2935066344728279
CEBPB	HTR6	0.2324632409725247
CEBPB	KIAA1109	0.2032609138960657
CEBPB	C14orf72	0.18677296396916265
CEBPB	ZC3H12A	0.4272986244113781
CEBPB	C3AR1	0.357913489665874
CEBPB	FOXO3B	0.26721062730850687
CEBPB	FAM19A4	0.18587468940541552
CEBPB	ZNF10	0.18596126202324736
CEBPB	CACNA2D4	0.5087266788156484
CEBPB	CTAGE1	0.2682702768557954
CEBPB	SIGIRR	0.42321435848397737
CEBPB	FEZ1	0.29193748775327855
CEBPB	C14orf80	0.339449302295618
CEBPB	GTSF1	0.337641429995176
CEBPB	LOC441046	0.2190269310591555
CEBPB	CDCA3	0.19549393799921955
CEBPB	SAR1B	0.2754851038552495
CEBPB	EPB41L5	0.2475218583610781
CEBPB	ADAMTS14	0.22333026221508412
CEBPB	RNF214	0.19991284622428207
CEBPB	GSTM3	0.18669097403050383
CEBPB	CREBBP	0.588058309319309
CEBPB	TSLP	0.21662993847122092
CEBPB	FUCA1	0.3578207922386989
CEBPB	LOC642852	0.21533573299124686
CEBPB	PBX1	0.3089486899886502
CEBPB	LOC606724	0.43037948995207476
CEBPB	TREML1	0.2933678996967286
CEBPB	FASN	0.2909332509363791
CEBPB	TREML3	0.2843957351501034
CEBPB	FXYD6	0.329628699577003
CEBPB	FXYD5	0.30424891215000205
CEBPB	DZIP1	0.2900830635920064
CEBPB	SFXN5	0.21605981304356625
CEBPB	LGMN	0.27264249701303633
CEBPB	ARHGAP9	0.4094057848389916
CEBPB	PGCP	0.3842791405932884
CEBPB	SIGLEC9	0.3866263244980601
CEBPB	ZNF493	0.37733626689553645
CEBPB	ZNF43	0.23606102729638412
CEBPB	HOXC10	0.1924599450368012
CEBPB	ZNF48	0.19251317715692817
CEBPB	ARHGAP4	0.34777641290843064
CEBPB	IL18BP	0.19641288192127693
CEBPB	PCMTD2	0.20408974060525154
CEBPB	MED13	0.2724549704320154
CEBPB	CASP10	0.24180939725185358
CEBPB	OLR1	0.3328790516226885
CEBPB	TSPO	0.2229024133867048
CEBPB	JAK3	0.289833888330425
CEBPB	RAG1AP1	0.23579935133390695
CEBPB	DUSP1	0.39628542663287813
CEBPB	GSTO1	0.28546413443665575
CEBPB	SPHK1	0.22145158088597672
CEBPB	LOC90784	0.2590406146827533
CEBPB	JOSD2	0.31305810561309677
CEBPB	FAM113B	0.34955978183616665
CEBPB	PLSCR1	0.27124386132538447
CEBPB	SLC7A7	0.42411132537540475
CEBPB	OAF	0.25673892664564946
CEBPB	DPYD	0.28528652854916814
CEBPB	PPARG	0.3473058763685719
