Regulator	Target	MI
CEBPB	GMFB	0.2048784040529661
CEBPB	SPI1	0.23542452890688903
CEBPB	GMFG	0.2744681407432257
CEBPB	C4BPB	0.2588711120917653
CEBPB	LOC728392	0.27829686291984057
CEBPB	SPINT2	0.28428688853292794
CEBPB	TMEM91	0.18711765436726946
CEBPB	C22orf26	0.25099255788471186
CEBPB	TMEM93	0.21783953421722746
CEBPB	LACTB	0.5385529197285903
CEBPB	LOC134466	0.3262990380322064
CEBPB	ISLR	0.2050468942327237
CEBPB	PSMD7	0.24313763016707313
CEBPB	TDO2	0.24537683655975862
CEBPB	ZC3H12A	0.22806120957651288
CEBPB	C3AR1	0.2497660909368884
CEBPB	SAMD11	0.1859421708988931
CEBPB	ZNF281	0.23825879550953033
CEBPB	CACNA2D4	0.3707172782789163
CEBPB	LOC643923	0.18760155928623767
CEBPB	ZNF14	0.22091147886971907
CEBPB	LRRC37B	0.3457897595578956
CEBPB	BCR	0.2423094438954827
CEBPB	MYL6	0.2831185229134654
CEBPB	SPINT1	0.2670109455442997
CEBPB	ZFYVE19	0.18871305736265942
CEBPB	CLDN7	0.30002846025002405
CEBPB	PSME1	0.25361802345612006
CEBPB	MPPE1	0.28322249303717584
CEBPB	HPD	0.24663150526189614
CEBPB	FPR1	0.1861180709260335
CEBPB	FPR3	0.23219911163518248
CEBPB	FPR2	0.21021195748481425
CEBPB	PLA2G6	0.20456342643679104
CEBPB	MRPL13	0.21478670800597666
CEBPB	GABARAP	0.20954005800620568
CEBPB	NCAPH	0.2596692083073977
CEBPB	C2	0.26749834298363595
CEBPB	LOH12CR1	0.18755014047760188
CEBPB	ZBTB7A	0.19330960642346984
CEBPB	VTI1B	0.1898274229690653
CEBPB	LYN	0.261309844533403
CEBPB	HLA-DRB5	0.4066147066042509
CEBPB	PRPF38A	0.37241852733559
CEBPB	ZNF260	0.2716862051868647
CEBPB	MRPL27	0.18920906542231997
CEBPB	BTBD12	0.21458374625504462
CEBPB	COL1A1	0.39410460350331356
CEBPB	TREML1	0.2061873388904525
CEBPB	ABTB1	0.2823790500831871
