Regulator	Target	MI
CEBPB	HCP5	0.24923809012997733
CEBPB	JRK	0.22483463880863308
CEBPB	SPI1	0.3176574813357327
CEBPB	GMFG	0.28732620082053995
CEBPB	LOC728392	0.3828778588499855
CEBPB	LOC642846	0.2552722659257718
CEBPB	LOC134466	0.21566726852093332
CEBPB	ISLR	0.22958473029249138
CEBPB	KIAA1109	0.19451940705086557
CEBPB	DPYSL4	0.20190622448325257
CEBPB	AKT3	0.3652337465138391
CEBPB	C3AR1	0.23343558210151283
CEBPB	CKMT1B	0.2778293036967119
CEBPB	PRKACB	0.1863480582466659
CEBPB	PLEKHM1P	0.1957506730774874
CEBPB	PKNOX2	0.24164103183690422
CEBPB	GSTK1	0.33780150422435185
CEBPB	TSTD1	0.24472355342281027
CEBPB	CH25H	0.26584862370280593
CEBPB	SPINT1	0.2766138972654888
CEBPB	FEZ2	0.18591814502013282
CEBPB	ORAI3	0.3312631564183075
CEBPB	C14orf80	0.2010355294369237
CEBPB	JTB	0.25110924601994444
CEBPB	PLBD1	0.22771676694428145
CEBPB	RABL5	0.23819802215733787
CEBPB	ADAMTS14	0.2301451835259174
CEBPB	SCGB1D2	0.20599454920031768
CEBPB	MOV10L1	0.19203165105934872
CEBPB	GSTM4	0.18618739673000473
CEBPB	CREBBP	0.21621740622300223
CEBPB	TSLP	0.26912038012013095
CEBPB	FUCA2	0.24890247135711885
CEBPB	LOC606724	0.21860193764715596
CEBPB	TREML2	0.28990888422486183
CEBPB	FXYD5	0.3258965257472175
CEBPB	DZIP1	0.24264058899278496
CEBPB	SFXN5	0.2012864557424443
CEBPB	ARHGAP9	0.2908299658715032
CEBPB	ARHGAP8	0.19815063394818466
CEBPB	SIGLEC9	0.4090905143319574
CEBPB	ZNF493	0.3282147918865972
CEBPB	MTMR11	0.20640458415980945
CEBPB	FAM115A	0.2659330962471884
CEBPB	ARHGAP4	0.2782528780504876
CEBPB	MED10	0.19005352129027564
CEBPB	ZNF41	0.334294558069022
CEBPB	DLGAP1	0.19486768419431755
CEBPB	JAK3	0.22544560328668695
CEBPB	ZNF486	0.21524205785645378
CEBPB	RAG1AP1	0.2518724599192881
CEBPB	DUSP3	0.23950048034843174
CEBPB	SPHK1	0.2595419429056447
CEBPB	MAMDC2	0.3134588847083135
CEBPB	JOSD2	0.3511929429001217
CEBPB	FAM113B	0.31769962867701373
CEBPB	MED24	0.21951332222228892
CEBPB	SLC7A7	0.23801120983085067
CEBPB	PPARG	0.2926504129451777
CEBPB	HCST	0.2924482343132846
CEBPB	RAPGEF6	0.219329097458286
CEBPB	CHST2	0.2252656929592849
CEBPB	CRB2	0.2585256373371756
CEBPB	ZNF473	0.2090266505522438
CEBPB	TP53I13	0.27774609858097765
CEBPB	SLC7A1	0.37027458631275767
CEBPB	FAM117B	0.24864112856951248
CEBPB	ADAM28	0.19799759912763104
CEBPB	PLAGL1	0.18805212195420662
CEBPB	RICTOR	0.3510713058286994
CEBPB	ZSWIM6	0.21305663141023512
CEBPB	ZNF467	0.21993332165947965
CEBPB	CASP8AP2	0.18751063133988666
CEBPB	ZNF462	0.3227397488084405
CEBPB	ATAD5	0.3400740671434317
CEBPB	C4orf3	0.21618817710064508
CEBPB	PKM2	0.25427789005511237
CEBPB	C10orf2	0.2609210711578722
CEBPB	ATAD2	0.2244707701612807
CEBPB	SNX20	0.23267786958738856
CEBPB	CENPJ	0.3062886325750416
CEBPB	ZNF74	0.22862432182240866
CEBPB	PRKRIR	0.18577275409557537
CEBPB	YPEL1	0.29173733869078955
CEBPB	AGRP	0.2240036547535169
CEBPB	NCAPD3	0.22041321826091487
CEBPB	SIGLEC7	0.300211382452523
CEBPB	KCNG2	0.24584314190245848
CEBPB	CASC5	0.3496344886998122
CEBPB	PLOD3	0.27318360029929867
CEBPB	SLA	0.3808134164767498
CEBPB	CASC3	0.25956957010103476
CEBPB	CASC1	0.21746420793441867
CEBPB	IBSP	0.24163510171893776
CEBPB	ADORA3	0.21649295367464116
CEBPB	LOC100129550	0.28179632995764337
CEBPB	MAP3K8	0.41753052367507504
CEBPB	MAP3K6	0.21305451532601527
CEBPB	MTPAP	0.30170432331018127
CEBPB	ZNF445	0.30368972572263253
CEBPB	KCNH5	0.19132599277936801
CEBPB	TC2N	0.27321770702798354
CEBPB	ZNF439	0.24315117528337904
CEBPB	SLC27A6	0.21883877769629123
CEBPB	ZNF433	0.22734535589306493
CEBPB	FTL	0.34728377231982854
CEBPB	FTO	0.19162939492828723
CEBPB	DLX5	0.24717208784714284
CEBPB	DLX6	0.18972134228751525
CEBPB	LY96	0.22805225519319627
CEBPB	FBXO45	0.23020349568862297
CEBPB	CORO1A	0.19319107108147104
CEBPB	CCDC144A	0.3127532070192496
CEBPB	RAP1B	0.3433985285219201
CEBPB	G3BP2	0.24428735896921783
CEBPB	ZKSCAN2	0.20701109422540753
CEBPB	TMEM120B	0.18600721706579382
CEBPB	HTR1D	0.24522748767131386
CEBPB	LY86	0.2334881207157773
CEBPB	HPS6	0.20925918373007857
CEBPB	HPS5	0.1915997550640176
CEBPB	TBXAS1	0.24879252932782858
CEBPB	OSBPL1A	0.1864743441465171
CEBPB	KCNK6	0.2020348215094998
CEBPB	ITGAM	0.4587822443595142
CEBPB	ITGB2	0.31162125110273386
CEBPB	NKPD1	0.2521457660361257
CEBPB	KIAA1549	0.24832985436680044
CEBPB	PGLS	0.20686419846001147
CEBPB	TRIM62	0.3398784383402953
CEBPB	APAF1	0.2558638984420689
CEBPB	RNASET2	0.4033531000294026
CEBPB	NRG2	0.2433252418588232
CEBPB	TNFRSF1B	0.2610783887002377
CEBPB	TNFRSF1A	0.5870590577090713
CEBPB	LCP2	0.2945441543179852
