Regulator	Target	MI
CEBPB	SPI1	0.5186894953314773
CEBPB	EHMT1	0.18594211976892794
CEBPB	ZC3H12D	0.20015305786290227
CEBPB	IL4I1	0.3532985935047499
CEBPB	COMTD1	0.20238541766522644
CEBPB	ZFYVE27	0.19794529818482065
CEBPB	TDO2	0.28108143670058894
CEBPB	LIPG	0.1906977002023389
CEBPB	C3AR1	0.38704079794156243
CEBPB	ZFYVE20	0.19515940618041938
CEBPB	CACNA2D4	0.24750320313588325
CEBPB	RNASE3	0.28004858621036455
CEBPB	RNASE2	0.3150115762867234
CEBPB	EML2	0.22958776730071406
CEBPB	LRRC37B	0.2555057800637188
CEBPB	SCAMP2	0.20023284217556014
CEBPB	CH25H	0.2602812573526876
CEBPB	EML5	0.20243289920256835
CEBPB	EID2	0.21821489914272263
CEBPB	ETHE1	0.21913203600217557
CEBPB	ZFYVE19	0.21809074793455707
CEBPB	CLDN7	0.28020152340866566
CEBPB	CTAGE9	0.22729257147183546
CEBPB	PLBD1	0.2823174931413259
CEBPB	SHMT1	0.21517296219443605
CEBPB	FPR1	0.25991791983708
CEBPB	IL20RA	0.281846800746802
CEBPB	MTMR9	0.1864795225953504
CEBPB	FPR3	0.32881514471365225
CEBPB	NCAPH	0.22724635424768547
CEBPB	C3	0.2599861629972047
CEBPB	ADAMTS18	0.3504871881202458
CEBPB	HMGXB3	0.23856997784754963
CEBPB	RHBDL2	0.18738586196484075
CEBPB	LYN	0.2679055872987135
CEBPB	HLA-DRB5	0.2027531427860172
CEBPB	CADM2	0.18951825567714486
CEBPB	EDEM2	0.22381036366640394
CEBPB	LYZ	0.25147146531852727
CEBPB	PBX1	0.20293607907660327
CEBPB	LOC606724	0.30348970074911463
CEBPB	TREML1	0.33880902532454993
CEBPB	ABTB1	0.27996603655143115
CEBPB	TREML2	0.3056596657961643
CEBPB	SASS6	0.21967346756135964
CEBPB	FAT3	0.25939380882998453
CEBPB	FXYD5	0.3547555476580291
CEBPB	HAMP	0.36978306812915207
CEBPB	DZIP3	0.297811660626933
CEBPB	GPR18	0.19703130103437783
CEBPB	HLA-DRB1	0.26634414403006623
CEBPB	FERMT3	0.39316065035980774
CEBPB	LGMN	0.3189128666200354
CEBPB	ARHGAP9	0.3504368282305528
CEBPB	PGCP	0.19602356084440764
CEBPB	ZNF253	0.2434431026370909
CEBPB	PIGT	0.2091960474183665
CEBPB	SIGLEC9	0.5307702312212168
CEBPB	ZNF493	0.2559596125159791
CEBPB	CATSPER2P1	0.18878891520283592
CEBPB	HEXB	0.21039599885349514
CEBPB	HEXA	0.2408074952384318
CEBPB	AREG	0.19117863484945996
CEBPB	HOXC10	0.2757005829491703
CEBPB	ARHGAP4	0.4860601466988097
CEBPB	TSPO	0.3270895793069659
CEBPB	SH3BGRL3	0.3608651352143717
CEBPB	JAK3	0.25366711443469825
CEBPB	RAG1AP1	0.21934277626541654
CEBPB	ELOVL1	0.22070612015564972
CEBPB	RIPK3	0.22322490057821742
CEBPB	DUSP1	0.45005275284463053
CEBPB	JOSD2	0.20817132745301148
CEBPB	VAMP8	0.3486105291386705
CEBPB	MMP11	0.21117883615319322
CEBPB	PIGB	0.2606522699700937
CEBPB	TMEM37	0.34348729389428456
CEBPB	FAM113B	0.41075426951144767
CEBPB	SLC7A7	0.3224156459228533
CEBPB	RILPL2	0.29577278773400195
CEBPB	OAF	0.2459995560469901
CEBPB	RAPGEF2	0.22056001692154759
CEBPB	SLC29A1	0.19725334359519753
CEBPB	HCST	0.2901624142178738
CEBPB	HLA-DMA	0.2716163114564898
CEBPB	LOC643763	0.22769368253046274
CEBPB	UCP2	0.2118446153734892
CEBPB	SPP1	0.19464967226098473
CEBPB	CEPT1	0.19410710385425745
CEBPB	CENPT	0.21796667186777707
CEBPB	LRRC25	0.4062478749765237
CEBPB	MBD4	0.2908566081373678
CEBPB	AADAT	0.19012358472287616
CEBPB	TMEM59	0.19885051096870487
CEBPB	CENPO	0.2680436163610427
CEBPB	SIGLEC7	0.4052549005355619
CEBPB	OLFML2B	0.27418191696607863
CEBPB	NCF1	0.23769479413298633
CEBPB	NCF2	0.3075781596767646
CEBPB	GPR65	0.23909874910522433
CEBPB	NCF4	0.32484857554987645
CEBPB	SLA	0.22736316845818028
CEBPB	SAT1	0.47990899445585633
CEBPB	CXCL16	0.22227608886907113
CEBPB	NUDT11	0.24616314058743605
CEBPB	FADS2	0.21953248638141698
CEBPB	IBSP	0.1914088707283117
CEBPB	ZNF207	0.2890335580250314
CEBPB	MAP3K8	0.3952922315334888
CEBPB	HLA-DOB	0.20146344885265322
CEBPB	ZNF443	0.2346612331461424
CEBPB	ZNF682	0.18931740813987918
CEBPB	LOC388955	0.23767794383524699
CEBPB	CXCR2P1	0.21105653901881993
CEBPB	CDC25B	0.2028707265802252
CEBPB	ACAP1	0.2343872513686973
CEBPB	SLC9A6	0.20823776126800997
CEBPB	MAPKAPK2	0.4040909715695422
CEBPB	ZNF439	0.19851865303519123
CEBPB	MAL	0.3528814540954981
CEBPB	S100A4	0.2813435466659664
CEBPB	ZNF678	0.23131708645666205
CEBPB	S100A9	0.3937634500713614
CEBPB	SQSTM1	0.3196483653953308
CEBPB	ZNF675	0.2835407323706347
CEBPB	S100A8	0.43179255746814516
CEBPB	FTL	0.3884715643857257
CEBPB	ZNF431	0.24770393896012521
CEBPB	LOC100233209	0.29766178173864866
CEBPB	LY96	0.2540393651722779
CEBPB	GPR84	0.3843344796026633
CEBPB	CORO1A	0.25541633503760686
CEBPB	CYP19A1	0.21147644194984228
CEBPB	CCDC144A	0.42829083719440053
CEBPB	CCDC144C	0.1898281812990179
CEBPB	PGK1	0.19990731251065874
CEBPB	ZNF425	0.2222716350663081
CEBPB	KDSR	0.23791596187126274
CEBPB	HTR1F	0.1861677290446817
CEBPB	GFPT2	0.27158756952096574
CEBPB	GPR98	0.19446951409722235
CEBPB	LY86	0.19815307099648205
CEBPB	HPS3	0.19774735779596941
CEBPB	HPS6	0.2759201215744591
CEBPB	HPS5	0.20771727930177697
CEBPB	EEF2	0.1932303667817088
CEBPB	NDC80	0.21894325297113415
CEBPB	MLXIPL	0.27087362362042544
CEBPB	SP4	0.2647553058993246
CEBPB	NOXA1	0.2291949439513008
CEBPB	TBXAS1	0.49281459341879685
CEBPB	HLA-DRA	0.21940296048661256
CEBPB	ANXA2P2	0.3937996892150357
CEBPB	ITGAM	0.41926291791561443
CEBPB	LRRK2	0.2286299255954507
CEBPB	ITGB2	0.43028455252287134
CEBPB	TSSK1B	0.19214959064030346
CEBPB	APIP	0.20993349497610225
CEBPB	DYSF	0.27727115206139885
CEBPB	ARRB2	0.28575971042193604
CEBPB	SQRDL	0.2518213767913533
CEBPB	LOC151162	0.23549388837992868
CEBPB	FCGR3A	0.32226040594372307
CEBPB	KIAA1549	0.26445424626944547
CEBPB	CAPZB	0.25643595197859614
CEBPB	DSE	0.20760450655519236
