Regulator	Target	MI
CEBPB	SLC4A1AP	0.19408451613960498
CEBPB	SPI1	0.3008356323533494
CEBPB	GMFG	0.2332553172292906
CEBPB	C4BPB	0.19005721114617646
CEBPB	SLA2	0.22602366337575486
CEBPB	CAPNS1	0.18652982690034747
CEBPB	DPYSL4	0.23045078469430003
CEBPB	SCP2	0.188719164018603
CEBPB	ZC3H12A	0.28578337604313475
CEBPB	FAM19A1	0.19833847855447928
CEBPB	TMEM8B	0.27639328678571484
CEBPB	GBP5	0.3044461457265264
CEBPB	STARD5	0.19783130648735003
CEBPB	RNASE6	0.33677663386466694
CEBPB	CACNA2D4	0.45320769825463536
CEBPB	RNASE3	0.298795761363424
CEBPB	RNASE2	0.2923215557424852
CEBPB	EML2	0.23759716775071826
CEBPB	LRRC37B	0.24490774305478968
CEBPB	EML4	0.2364368870796545
CEBPB	RFX8	0.21824699800213576
CEBPB	SPINT1	0.2512875393765093
CEBPB	ETHE1	0.29794174084930436
CEBPB	RUFY3	0.1901852864023068
CEBPB	ORAI3	0.23763682987154855
CEBPB	GTSF1	0.18912600806687596
CEBPB	SKAP1	0.24630137367917815
CEBPB	SF1	0.21548633220528401
CEBPB	SET	0.28775662566618543
CEBPB	ABCB6	0.24529758811068625
CEBPB	CDCA3	0.18826505442106
CEBPB	SFRS17A	0.2329679883855036
CEBPB	CDCA7	0.23513112479048282
CEBPB	FPR1	0.3474911624620036
CEBPB	AGAP4	0.25634539260948586
CEBPB	HPR	0.2522006204306271
CEBPB	LY9	0.2452610714691703
CEBPB	OAZ1	0.2717502413128834
CEBPB	C2	0.227177387286277
CEBPB	C3	0.2421752084071267
CEBPB	HSD11B1	0.44437928232122204
CEBPB	EPB41L5	0.19887276411835408
CEBPB	ADAMTS18	0.25945995429390134
CEBPB	KCNMB1	0.20127446976878183
CEBPB	SFN	0.25963887391448726
CEBPB	LYN	0.20824526179191594
CEBPB	JUN	0.22130175068569446
CEBPB	NEBL	0.20524081210998446
CEBPB	TIPARP	0.23823168813702011
CEBPB	FUCA1	0.37452608650096053
CEBPB	EDEM2	0.18891634841045502
CEBPB	CP	0.21141638900267345
CEBPB	HRNR	0.2461533078714906
CEBPB	LOC606724	0.29048707196195167
CEBPB	COL1A2	0.29527918853788115
CEBPB	FASN	0.2641115347003531
CEBPB	ZNF30	0.1991251075556626
CEBPB	FXYD5	0.2860321665495622
CEBPB	HAMP	0.2706528415548579
CEBPB	HLA-DRB1	0.202719514510866
CEBPB	FERMT3	0.3209220568357356
CEBPB	LGMN	0.33951552053994494
CEBPB	ARHGAP9	0.44009379528655757
CEBPB	PIGT	0.3767933189674224
CEBPB	SIGLEC9	0.3288338985357173
CEBPB	GPR22	0.1937864308358117
CEBPB	HEXA	0.1907280830150908
CEBPB	NCAPG2	0.19289573952165462
CEBPB	SRPR	0.2384028854862441
CEBPB	CSDAP1	0.2574117439819892
CEBPB	ZNF43	0.24879168430987075
CEBPB	EFCAB5	0.20410480566008715
CEBPB	ODF3L1	0.21479038700616115
CEBPB	OSBPL11	0.20865382570211466
CEBPB	ARHGAP6	0.1944589568736914
CEBPB	LITAF	0.2222852185402555
CEBPB	LRRC33	0.1899863313860557
CEBPB	ARHGAP4	0.2676759332668466
CEBPB	TMEM43	0.21155764247085163
CEBPB	B3GALT2	0.19522072132534962
CEBPB	CTLA4	0.2544872631700992
CEBPB	NEFL	0.2522508260140892
CEBPB	TSPO	0.3596923898893971
CEBPB	SH3BGRL3	0.3431013116499999
CEBPB	FGFBP3	0.1859878374630437
