Regulator	Target	MI
CEBPB	SPI1	0.2984415645952394
CEBPB	GMFG	0.21147643297061336
CEBPB	ATP5C1	0.21140057921910405
CEBPB	SPINT2	0.213423245466565
CEBPB	ALKBH7	0.26986118760844224
CEBPB	F11R	0.301835908831265
CEBPB	ISM1	0.2621710495468914
CEBPB	SLA2	0.21421596996992331
CEBPB	FAM159A	0.23956560581940778
CEBPB	ALKBH8	0.20592410275009598
CEBPB	RAVER2	0.22086021798226785
CEBPB	C3AR1	0.25482242725427273
CEBPB	UNC5A	0.19402658326624422
CEBPB	HDGFRP3	0.22371520400884926
CEBPB	CACNA2D4	0.4087118606940212
CEBPB	RC3H2	0.3192114839574618
CEBPB	ZNF16	0.22646149999841292
CEBPB	CH25H	0.45895619213499383
CEBPB	CTAGE5	0.2380770958968137
CEBPB	SPINT1	0.2886063054597523
CEBPB	SCO2	0.1999235699546027
CEBPB	KIAA0247	0.3216816641998479
CEBPB	ORAI3	0.2624555681864811
CEBPB	PLBD1	0.2857627262238305
CEBPB	ATF5	0.3620800739847194
CEBPB	UNC119B	0.22981523190696151
CEBPB	ADAMTS16	0.24630104706198885
CEBPB	EPB41L5	0.2406113567112511
CEBPB	ADAMTS14	0.2217481517763238
CEBPB	ADAMTS19	0.2680141049098337
CEBPB	ADAMTS18	0.226989182108861
CEBPB	ATG7	0.23990759427308905
CEBPB	PRPF38B	0.2086060509556278
CEBPB	TIPARP	0.20581258957118997
CEBPB	EIF2AK1	0.2124414305526665
CEBPB	BTBD12	0.20222252211270053
CEBPB	LOC606724	0.2989893285591627
CEBPB	TREML3	0.26480823374538076
CEBPB	ZNF30	0.38683327724386896
CEBPB	FXYD6	0.22023793286415216
CEBPB	FXYD5	0.27837778983672035
CEBPB	DZIP3	0.25834207318218194
CEBPB	ARHGAP9	0.2846066972548238
CEBPB	SIGLEC9	0.4162094141301571
CEBPB	ZNF493	0.30673185020832605
CEBPB	SNX10	0.22598920613893192
CEBPB	FAM115A	0.25183289155137345
CEBPB	HOXC10	0.19054976316494798
CEBPB	ARHGAP4	0.2163118731192304
CEBPB	SHF	0.2314416446270764
CEBPB	SMPD2	0.22688561121545447
CEBPB	MED13	0.2611512465226955
CEBPB	ZNF41	0.2582478844799425
CEBPB	TSPO	0.2873742764505858
CEBPB	DLGAP1	0.19401488557916657
CEBPB	DLGAP2	0.2639062765374067
CEBPB	JAK3	0.34871905667354053
CEBPB	DUSP4	0.21228138843230582
CEBPB	RAG1AP1	0.23316272680460948
CEBPB	GSTO1	0.26547510459193546
CEBPB	KIAA1143	0.211309922536298
CEBPB	FOS	0.2985734221494072
CEBPB	JOSD2	0.29116891242204
CEBPB	OAF	0.2858519068068661
CEBPB	MMP19	0.28028669821469787
CEBPB	CRYAA	0.2380091086828422
CEBPB	ERGIC2	0.2733483217984167
CEBPB	HCST	0.24032234081623827
CEBPB	PAFAH1B1	0.2211348073744288
CEBPB	SLC7A1	0.26248053617559464
CEBPB	LOC643763	0.3151193050416161
CEBPB	RG9MTD1	0.23022776782756704
CEBPB	SPP1	0.23612285467249539
CEBPB	MFN2	0.39924700593577533
CEBPB	ZSWIM6	0.23402327265896616
CEBPB	IL12RB1	0.1914265787206606
CEBPB	JAM3	0.27294929930624434
CEBPB	ZNF462	0.31745237219538414
CEBPB	EGLN3	0.23877595015037656
CEBPB	C10orf4	0.2803938303664246
CEBPB	KCNB1	0.2963326188041364
CEBPB	PKM2	0.1860308431964004
CEBPB	C10orf2	0.2492814127686005
CEBPB	BMP8A	0.19618256737052508
CEBPB	SCTR	0.3309908855221435
CEBPB	SNX19	0.22106247102779264
CEBPB	CENPJ	0.3107154944032189
CEBPB	TAOK1	0.38766310302459406
CEBPB	CENPM	0.20160939367809227
CEBPB	MITD1	0.1914780062614927
CEBPB	LIMS2	0.23326778113018776
CEBPB	SIGLEC5	0.27361325820561877
CEBPB	RIF1	0.2686270556296968
CEBPB	NAB1	0.1944019027202213
CEBPB	SLA	0.2620036784465247
CEBPB	SLK	0.21256606408896062
CEBPB	IBSP	0.26964851280526236
CEBPB	ADORA3	0.19829355323795994
CEBPB	TNFRSF8	0.21237182869479287
CEBPB	MAP3K8	0.4442648575330663
CEBPB	NEK3	0.2910696783875215
CEBPB	ZNF444	0.20286072709709302
CEBPB	KCNH4	0.21233008041729917
CEBPB	FBXO11	0.22893459887240386
CEBPB	CDC25A	0.2356367168048088
CEBPB	ACLY	0.19958634455871316
CEBPB	PLA2R1	0.2071011647671197
CEBPB	SLC27A2	0.20907427781649268
CEBPB	FTL	0.21520246961869915
CEBPB	KCNE3	0.3982674344111432
CEBPB	LY96	0.19456990785462924
CEBPB	SPATA3	0.2248742567146289
CEBPB	UAP1	0.20709972422826617
CEBPB	PKMYT1	0.20039968767828853
CEBPB	CCDC144A	0.2019329667241303
CEBPB	CORO1B	0.2557901763033765
CEBPB	CCDC144C	0.2168395134857466
CEBPB	MED31	0.2053768290498592
CEBPB	AP4S1	0.20504924184829143
CEBPB	EIF4EBP3	0.1907280830150908
CEBPB	KDSR	0.20693464751948554
CEBPB	IP6K1	0.24413612838180665
CEBPB	GRIA3	0.2339210655124102
CEBPB	LY86	0.2826754348238891
CEBPB	FBXO34	0.18837296017318295
CEBPB	HPS5	0.19093107610287063
CEBPB	FBXO32	0.2991725932804217
CEBPB	CORO2B	0.2186472654046998
CEBPB	TMPRSS13	0.23584317866457116
CEBPB	ARPC3	0.20993743157367462
CEBPB	NOXA1	0.3227048718574306
CEBPB	TBXAS1	0.2380705861840111
CEBPB	CLPTM1L	0.18830976525682086
CEBPB	NIT1	0.18806056056585607
CEBPB	SP9	0.2193566002758942
CEBPB	ALAS1	0.35838317340292747
CEBPB	ITGAM	0.31604381451388
CEBPB	ITGB2	0.2751593275324744
CEBPB	ONECUT1	0.2442216582289598
CEBPB	NKPD1	0.1961810692169017
CEBPB	RLBP1	0.3154050664485535
CEBPB	UNC80	0.3744516530862185
CEBPB	KIAA1543	0.19799896669148964
CEBPB	PTER	0.18852387884877775
CEBPB	TAGAP	0.21337860761393657
CEBPB	LOC728758	0.20096972487768827
CEBPB	ZNF404	0.3794202190390026
CEBPB	BCAS4	0.21546820139448375
CEBPB	TRIM61	0.27537571176171216
CEBPB	ZNF880	0.355246478090705
CEBPB	TRIM62	0.2039173447410576
CEBPB	RNASET2	0.44303416234209436
CEBPB	TNFRSF18	0.2975416131275104
CEBPB	NRG2	0.32757550439485517
CEBPB	SEZ6L	0.20113683892571999
CEBPB	TNFRSF1B	0.2585442887785341
CEBPB	TMBIM4	0.22781204820964618
CEBPB	SMCR5	0.28270386013901483
CEBPB	LCP2	0.2552207635608088
CEBPB	TRIM59	0.1981764330159157
CEBPB	ITGA5	0.31053894653462333
CEBPB	ACPP	0.3871232809104219
CEBPB	C1S	0.3430111782158667
CEBPB	KAZ	0.21774772071059
CEBPB	HM13	0.2028984503465825
CEBPB	IL2RG	0.22537278954507212
CEBPB	RCHY1	0.20592264371760916
CEBPB	MLLT4	0.26450177345899384
CEBPB	LRRC16B	0.31931211240184076
CEBPB	SRM	0.19314918788022872
CEBPB	ZNRF1	0.2350138197790015
CEBPB	ZNRF2	0.24287737661026831
CEBPB	DRAM1	0.4382031059421152
CEBPB	DRAM2	0.3071031761110934
CEBPB	RILP	0.25361428671895947
CEBPB	E2F7	0.20859119938427728
CEBPB	NTRK2	0.2388998261453148
CEBPB	GZMB	0.20119497643166095
CEBPB	NAGA	0.2980142028580559
CEBPB	TBX4	0.189571118621215
CEBPB	MYO16	0.2763595122050706
CEBPB	MYO1A	0.20948226137775183
CEBPB	TRIM35	0.21166455602691592
CEBPB	TRIM37	0.31907642282163806
CEBPB	NAGS	0.21905208755642835
CEBPB	PDCD1	0.25980949780976026
CEBPB	ZNF853	0.18810730267620546
CEBPB	PIK3AP1	0.2880782832514459
CEBPB	EIF3A	0.3292246345252714
CEBPB	MYO1G	0.36521686369141104
CEBPB	SLC23A2	0.18593595621395753
CEBPB	TNFRSF6B	0.2332739112524651
CEBPB	RFESD	0.22574439045840222
CEBPB	ICAM3	0.19867679033023222
CEBPB	ICAM4	0.24280374573095376
CEBPB	LDLRAD3	0.24714082068202714
CEBPB	MT1X	0.20569190407344617
CEBPB	IKZF1	0.21473091152657542
CEBPB	C16orf88	0.1928606742577017
CEBPB	LCTL	0.2021276524741351
CEBPB	NUDT6	0.35483662486987644
CEBPB	ACTB	0.21977948683011128
CEBPB	ICAM1	0.35569163131598547
CEBPB	PEX26	0.31071184226909576
CEBPB	CDC23	0.2552746779042758
CEBPB	C6orf105	0.25462901263461823
CEBPB	LGALS8	0.26573567315898394
CEBPB	SMARCC2	0.27077958053228457
CEBPB	ARL15	0.24563101385156383
CEBPB	LIMCH1	0.3515409029058727
CEBPB	KCNK15	0.3138267546742206
CEBPB	C16orf79	0.20431107867439735
CEBPB	ACTN4	0.3389419199223722
CEBPB	MT1A	0.20812112803426164
CEBPB	SOAT1	0.2163003182762795
CEBPB	C6orf118	0.23157842128543926
CEBPB	KCNQ1	0.26261141969769675
CEBPB	NINJ1	0.24149661137885214
CEBPB	MT1G	0.43206460040927386
CEBPB	CD226	0.20648412785139314
CEBPB	BCORL1	0.18763517340094094
CEBPB	KCTD15	0.3119464171967383
CEBPB	MT1E	0.22240194731035512
CEBPB	PXT1	0.1974355516601829
CEBPB	ADCYAP1R1	0.21533700540281853
CEBPB	EPB41	0.26235307009567954
CEBPB	LPAR2	0.1955438355947532
CEBPB	MED12L	0.21657535816835516
CEBPB	APOO	0.19927548014112517
CEBPB	NEU4	0.2581127410855544
CEBPB	SYNGR2	0.47231508675573863
CEBPB	RRAS	0.27556471837962704
CEBPB	PPCS	0.19378166658165252
CEBPB	HLTF	0.2431204205936046
CEBPB	NEU1	0.26462895111628715
CEBPB	KCNN3	0.22408638528692215
CEBPB	B4GALNT4	0.19781479942486335
CEBPB	PCK2	0.21632834509794296
CEBPB	TBC1D8B	0.2332531340434354
CEBPB	TNFSF12	0.2041057761342664
CEBPB	SLC10A3	0.2578032767819991
CEBPB	TNFSF13	0.2366322558196794
CEBPB	C16orf58	0.2136717414752507
CEBPB	RAB27A	0.2677451399549904
CEBPB	NTAN1	0.376688310464945
CEBPB	BRI3BP	0.19056940671981604
CEBPB	EXT2	0.22464613542668754
CEBPB	POLA1	0.22524398515093846
CEBPB	MYO5B	0.2967592163468762
CEBPB	CDC16	0.18714211623372723
CEBPB	RANBP10	0.21051584998646078
CEBPB	CALR	0.24700388686052754
CEBPB	DHRS12	0.2149932971220787
CEBPB	C6orf153	0.22838840465384536
CEBPB	CSRNP3	0.25214196363504016
CEBPB	GRIK3	0.3544195647315087
CEBPB	B3GNTL1	0.3787195771851426
CEBPB	HERPUD1	0.19071954856858397
CEBPB	KHK	0.2956879819117777
CEBPB	VMO1	0.47455601411380055
CEBPB	KCNT1	0.22083875162126
CEBPB	RAC2	0.21068945621094848
CEBPB	RAC3	0.2286961754212795
CEBPB	FLJ36031	0.22381601425152997
CEBPB	CAP1	0.21355842345542886
CEBPB	IL10	0.19818835472883656
CEBPB	FCER1G	0.27824999112156057
CEBPB	GAA	0.20713111576082088
CEBPB	PABPC4	0.2690840832718848
CEBPB	GAB1	0.27315791599101047
CEBPB	IL18	0.2259842035440638
CEBPB	AGTRAP	0.20105587220939203
CEBPB	IL16	0.30872168121937626
CEBPB	LOC401387	0.18616732134884995
CEBPB	TAGLN	0.2761394235159864
CEBPB	C1orf38	0.326324892512905
CEBPB	CAPG	0.2463835701347188
CEBPB	RELB	0.5102797253350859
CEBPB	RELN	0.19084896532684326
CEBPB	MGAT5	0.18990906789644946
CEBPB	ORMDL2	0.3212218716619084
CEBPB	MGAT1	0.5196310027728686
CEBPB	IL32	0.19623710029621222
CEBPB	IL34	0.24555405151318688
CEBPB	OSM	0.5370121709789526
CEBPB	TCEA3	0.3309328377594758
CEBPB	TCEA2	0.20424591945993775
CEBPB	TACC2	0.22135275997360448
CEBPB	DENND5B	0.2966308305820924
CEBPB	OTP	0.22279741925426233
CEBPB	YARS2	0.19502948676609488
CEBPB	CELSR3	0.2723845755233487
CEBPB	PLB1	0.28964320819424305
