Regulator	Target	MI
CEBPB	SNORA6	0.26014778423313967
CEBPB	SPI1	0.28263282847560056
CEBPB	PGAP2	0.24593216157631748
CEBPB	GMFG	0.2195718347636939
CEBPB	POP4	0.2424228290845063
CEBPB	UXS1	0.20308745609989742
CEBPB	C22orf26	0.18901450967924927
CEBPB	LOC642846	0.34846462609424655
CEBPB	SUV420H1	0.36699284750255323
CEBPB	PSMD4	0.19132481577485105
CEBPB	LIPN	0.2562528938378028
CEBPB	FOXO3B	0.19273089326041415
CEBPB	GUSBL1	0.2079942216556372
CEBPB	GBP5	0.2329723338131533
CEBPB	GSTK1	0.22095247865523326
CEBPB	STARD5	0.3925219894093903
CEBPB	TSTD1	0.2470008402254109
CEBPB	ZFYVE20	0.2525585277749256
CEBPB	HDGFRP3	0.33829766234139846
CEBPB	FRS2	0.21471117786802107
CEBPB	RNASE4	0.22981105768735866
CEBPB	CACNA2D4	0.2505755595691248
CEBPB	SCAMP1	0.19938292320323292
CEBPB	LRRC37B	0.25723610627317495
CEBPB	SCAMP3	0.20467437696125224
CEBPB	SND1	0.18614988743476424
CEBPB	CH25H	0.2654998718407917
CEBPB	MYL5	0.26900453472958663
CEBPB	SPINT1	0.2209908078792413
CEBPB	CLDN9	0.19624684391019187
CEBPB	ETHE1	0.22021482372743328
CEBPB	FEZ1	0.19977215261686432
CEBPB	CLDN7	0.1987661740491884
CEBPB	RBCK1	0.23730417677300952
CEBPB	MYL9	0.20277252985305605
CEBPB	GTSF1	0.18607908159883735
CEBPB	SKAP1	0.1979987672793344
CEBPB	SNORA61	0.24544268138579373
CEBPB	PIF1	0.20534360540036634
CEBPB	MEPCE	0.21853804651380582
CEBPB	FPR1	0.29128334788678156
CEBPB	IL20RA	0.24024137565825399
CEBPB	LYPD1	0.18945330353068268
CEBPB	PDGFB	0.2651618356450296
CEBPB	COPS7A	0.2859876290446106
CEBPB	NCRNA00120	0.19911150668417488
CEBPB	TAPBPL	0.2719264800055923
CEBPB	LOC100128288	0.21496488862150276
CEBPB	EPB41L3	0.2616931982701365
CEBPB	RHBDL3	0.21215318223952284
CEBPB	GSTM4	0.3154298029913978
CEBPB	LYN	0.3217534299778215
CEBPB	PRRT3	0.2966880877763032
CEBPB	CADM4	0.2542384524860566
CEBPB	PRPF38A	0.22148279221518408
CEBPB	CADM2	0.4226345125730333
CEBPB	EDEM2	0.32474608634899216
CEBPB	FUCA2	0.2215942415281118
CEBPB	LOC285456	0.27642958466426215
CEBPB	ABCA8	0.19714175897787545
CEBPB	ABTB1	0.25836150269531455
CEBPB	TREML2	0.2191793512341258
CEBPB	SASS6	0.21122954729171095
CEBPB	DZIP1	0.28699299788425225
CEBPB	HAMP	0.2616529063589539
CEBPB	ZBTB8B	0.229105391589008
CEBPB	EZH2	0.287821681383126
CEBPB	FERMT3	0.42815143470129957
CEBPB	ARHGAP9	0.2746729483028636
CEBPB	PIGT	0.19102306969630511
CEBPB	ZNF493	0.2578036937407546
CEBPB	PIGO	0.2644767519325617
CEBPB	WFIKKN1	0.34247306895485696
CEBPB	HEXB	0.2842455126905499
CEBPB	C13orf23	0.27064419942892837
CEBPB	ZNF43	0.19544440415502873
CEBPB	ARHGAP5	0.22145891181854083
CEBPB	ECSIT	0.21616730374701199
CEBPB	LOC342346	0.2365772445999852
CEBPB	ARHGAP4	0.26071525691693154
CEBPB	HEY2	0.2046078353666605
CEBPB	MTMR15	0.26397091155650276
CEBPB	TSPO	0.4035859861291513
CEBPB	SH3BGRL3	0.39646074595219627
CEBPB	ZNF248	0.26566465714941323
CEBPB	C13orf18	0.20536544102490062
CEBPB	DUSP4	0.2445132223360078
CEBPB	IKBIP	0.2511639402390289
CEBPB	RAG1AP1	0.44703806715665007
CEBPB	ELOVL1	0.26859395408472686
CEBPB	FGFBP2	0.27582326030493487
CEBPB	MYBPC2	0.284817890988875
CEBPB	DUSP1	0.21492601793604482
CEBPB	GSTO1	0.2171544894343178
CEBPB	SPHK1	0.2678871578649398
CEBPB	NIPA1	0.22662933038728017
CEBPB	MRPL53	0.23931300056707894
CEBPB	TMEM37	0.22191788542298596
CEBPB	MMP16	0.21214525488469427
CEBPB	RILPL2	0.21206166184920505
CEBPB	HCST	0.27763197077016155
CEBPB	VAMP5	0.2586863313211438
CEBPB	FLJ43390	0.20273098125618905
CEBPB	ZNF473	0.307724777646011
CEBPB	NIP7	0.19370437036949006
CEBPB	ATP5A1	0.2577695655032599
CEBPB	SRRT	0.20828829529686832
CEBPB	SFRS13A	0.282508928883896
CEBPB	FAM117B	0.3214527009110437
CEBPB	FSTL4	0.250107736479376
CEBPB	PTGS1	0.2649193202423401
CEBPB	SRPX2	0.192635727256933
CEBPB	RG9MTD3	0.19381271329722782
CEBPB	FABP5L3	0.2181615094892999
CEBPB	HAS1	0.19114370315683082
CEBPB	SPP1	0.19522941057884946
CEBPB	IL12RB1	0.19046575966710044
CEBPB	LRRC25	0.2018975129138738
CEBPB	LOC285419	0.18605045154221767
CEBPB	BIK	0.19072882965370397
CEBPB	PKM2	0.2979477438869642
CEBPB	EMR2	0.1975369370028739
CEBPB	GATAD2B	0.2655103797012659
CEBPB	BYSL	0.2053283880365928
CEBPB	NUDT22	0.25158099848616544
CEBPB	CENPJ	0.37979346520417767
CEBPB	CCDC7	0.2598937976193687
CEBPB	GOPC	0.2118612147379153
CEBPB	NCAPD3	0.3010923345812433
CEBPB	CENPQ	0.19132691672364732
CEBPB	SIGLEC7	0.22703021255787093
CEBPB	ZNF696	0.19769569049240943
CEBPB	KCNG2	0.23509039938511123
CEBPB	GPR68	0.25101145081979315
CEBPB	NCF2	0.2725042576597847
CEBPB	ZBTB24	0.20362701612343148
CEBPB	CASC2	0.2027603486917915
CEBPB	SAT1	0.2324629117785939
CEBPB	HDDC3	0.2120787401423252
CEBPB	LGTN	0.19407322299711538
CEBPB	PIM1	0.24447724435109208
CEBPB	MAP3K8	0.278133507052436
CEBPB	ZNF445	0.19281440303059139
CEBPB	SLC16A3	0.34767119888148823
CEBPB	ZNF682	0.19830879045529937
CEBPB	SLC38A1	0.23419281719745033
CEBPB	ZNF681	0.215782521552625
CEBPB	TICAM2	0.2857559161698946
CEBPB	KCNH8	0.20361882338353343
CEBPB	PPP1R16A	0.23374715709932214
CEBPB	LOC285830	0.19673785350629203
CEBPB	TICAM1	0.18605121821163007
CEBPB	MYT1	0.25075180318175505
CEBPB	ACAP3	0.19384232731956264
CEBPB	LOC349114	0.21059517304073516
CEBPB	MAG	0.2161291070985829
CEBPB	MSH2	0.27453601764552893
CEBPB	MAPKAPK2	0.2579154778661632
CEBPB	ZNF678	0.19200580054455596
CEBPB	S100A9	0.29839865868414517
CEBPB	S100A8	0.30307595470052906
CEBPB	FTL	0.2920601354061887
CEBPB	ZNF431	0.3159661318206739
CEBPB	BLM	0.280031444912181
CEBPB	KCNE4	0.2719204651187148
CEBPB	TROAP	0.2973849164782303
CEBPB	ZC4H2	0.20154911854314594
CEBPB	GPR84	0.23856564490510124
CEBPB	TNFRSF11A	0.20235883182169623
CEBPB	CYP19A1	0.21951684535563487
CEBPB	CCDC144A	0.20154462761639724
CEBPB	ZNF429	0.4154506308289161
CEBPB	BAT2L2	0.18611150772588214
CEBPB	C9orf89	0.2539384441517676
CEBPB	TNFRSF14	0.2207286332773073
CEBPB	SOCS5	0.1987884685476775
CEBPB	TXNDC5	0.20907745030297242
CEBPB	ZNF662	0.25332726921011073
CEBPB	TMEM120A	0.2166067040337527
CEBPB	HPS6	0.18839281474733127
CEBPB	TNFRSF10A	0.27818881598213174
CEBPB	HPS5	0.21291766238802
CEBPB	FAM90A1	0.23144187185394216
CEBPB	LRCH2	0.22861576012209994
CEBPB	SON	0.19205976783782042
CEBPB	ANXA2P2	0.2633449833971637
CEBPB	MYD88	0.2190845020104666
CEBPB	KCNK6	0.1999819094187405
CEBPB	LRMP	0.29191092403776153
CEBPB	ARRB2	0.28797750841579006
CEBPB	SQRDL	0.33759854949380497
CEBPB	MSLN	0.2970733866930013
CEBPB	TSPAN11	0.2186390672420151
CEBPB	FCGR3A	0.18888299319305002
CEBPB	ROBLD3	0.18994474587907195
CEBPB	C9orf66	0.252127969145155
CEBPB	CCIN	0.22238291743305716
CEBPB	TNFSF12-TNFSF13	0.3684302938998778
CEBPB	CEP290	0.20392208568788828
CEBPB	DSP	0.24908626250035226
CEBPB	RNASET2	0.43407528640684045
CEBPB	ATRX	0.30503728745858183
CEBPB	TNFRSF1B	0.21474840969759068
CEBPB	RABGGTA	0.23457582762649132
CEBPB	ARL4C	0.22413991893827312
CEBPB	SLC25A15	0.2229304587867329
CEBPB	LOC100132707	0.192357445080221
CEBPB	MGC16275	0.20221538118659055
CEBPB	PCCB	0.19695479127601967
CEBPB	SMCR5	0.18772969621876
CEBPB	MTRF1L	0.19768272656073815
CEBPB	ST6GALNAC4	0.19930612043903473
CEBPB	PCOLCE2	0.1866095806225374
