Regulator	Target	MI
CEBPB	SPI1	0.2650679122695676
CEBPB	GMFG	0.26961082569490546
CEBPB	POP4	0.25186267234325577
CEBPB	ARAF	0.30255868326211743
CEBPB	C4BPB	0.18629148705718013
CEBPB	TMEM97	0.25700811302735893
CEBPB	IL4I1	0.280413974835767
CEBPB	ALKBH5	0.2250148519270736
CEBPB	CAPNS1	0.26155048283799687
CEBPB	IGLON5	0.20489648883955525
CEBPB	GPBP1	0.24035131381359776
CEBPB	C3AR1	0.23547220533185342
CEBPB	CHID1	0.25736564101581205
CEBPB	GBP5	0.2663795566004028
CEBPB	ZNF19	0.2309680063430175
CEBPB	STARD5	0.27628958912842094
CEBPB	RNASE6	0.4449883263969534
CEBPB	HDGFRP3	0.30758615632880026
CEBPB	CACNA2D4	0.39391563817038744
CEBPB	RNASE2	0.31517441807445135
CEBPB	LRRC37B	0.3643372358710941
CEBPB	CH25H	0.3835908896551059
CEBPB	CLDN3	0.30409476548584013
CEBPB	SPINT1	0.5632812826861802
CEBPB	ETHE1	0.2806421424953198
CEBPB	RUFY3	0.24502611299862398
CEBPB	CLDN7	0.2599805976838292
CEBPB	MYL9	0.19333886176465231
CEBPB	MTMR1	0.22147675290580704
CEBPB	COL13A1	0.29847841363836647
CEBPB	MTMR9	0.22996901919893364
CEBPB	FPR3	0.347912654945163
CEBPB	BAZ2B	0.21611375297724766
CEBPB	OAZ1	0.22816644847359147
CEBPB	ZNF26	0.2764369353127334
CEBPB	C2	0.19994658198435644
CEBPB	C3	0.25813742184424804
CEBPB	RDH12	0.25471440236697873
CEBPB	ATG7	0.24438590671208615
CEBPB	LYN	0.1902489387462154
CEBPB	HLA-DRB5	0.2457772873753603
CEBPB	PRRT3	0.24750713467375807
CEBPB	TSLP	0.2156059525623819
CEBPB	CADM2	0.19039923179803786
CEBPB	ZNF260	0.2590587574037784
CEBPB	CP	0.2105177641335647
CEBPB	PBX1	0.43414780154282884
CEBPB	LOC606724	0.37722322207212855
CEBPB	TREML1	0.23785025005730454
CEBPB	FASN	0.26435575911365294
CEBPB	NMT2	0.19308940735728264
CEBPB	FAT3	0.19181547682338085
CEBPB	FXYD5	0.4448143400074782
CEBPB	DZIP1	0.36247814442343795
CEBPB	ZBTB8B	0.2093294500013494
CEBPB	FERMT3	0.2886063054597523
CEBPB	ARHGAP9	0.23815355886013823
CEBPB	PIGT	0.23078651468176936
CEBPB	SIGLEC9	0.3266159459790936
CEBPB	ZNF493	0.4474085175082516
CEBPB	ZNF491	0.19668567078002663
CEBPB	HEXB	0.3279307090811798
CEBPB	HEXA	0.18982904333952355
CEBPB	LOC92973	0.23556648536122182
CEBPB	TMEM51	0.2706476188945066
CEBPB	ODF3L1	0.26030592488411397
CEBPB	CTCF	0.2221165532536702
CEBPB	ARHGAP4	0.27391934047864375
CEBPB	PCMTD2	0.19909236084672166
CEBPB	TUBA1C	0.2884909110881466
CEBPB	MED13	0.24008245634771885
CEBPB	SMPD1	0.30999724426658304
CEBPB	ZNF41	0.29055200933769587
CEBPB	MTMR15	0.3389876337772346
CEBPB	RPLP2	0.21187382313484449
CEBPB	TSPO	0.29312067221935045
CEBPB	SH3BGRL3	0.31241977083994055
CEBPB	C13orf16	0.22704973945207207
CEBPB	IKBKE	0.29669176303772904
CEBPB	JAK3	0.19429645044532684
CEBPB	RAG1AP1	0.24611758922906546
CEBPB	KCND2	0.29286747230454147
CEBPB	SPHK1	0.24025913962757883
CEBPB	JOSD2	0.37243967578079307
CEBPB	DUSP6	0.22079509059740143
CEBPB	SUMF1	0.18781009842131535
CEBPB	VAMP8	0.29198432579824196
CEBPB	PIGB	0.2232681976691424
CEBPB	MBLAC2	0.25360953274163034
CEBPB	SLC7A7	0.4471244809869752
CEBPB	RILPL2	0.3081493083380229
CEBPB	OAF	0.25843666632564855
CEBPB	PIGK	0.19985415566495401
CEBPB	HCST	0.27849225337774985
CEBPB	CRB2	0.23888605605899205
CEBPB	RNASEN	0.2039870453765511
CEBPB	CRB1	0.37033027141624864
CEBPB	NEURL1B	0.20076480037817834
CEBPB	FOXS1	0.24947755398419158
CEBPB	HLA-DMA	0.35778503927006877
CEBPB	HLA-DMB	0.23207206199251296
CEBPB	SRPX2	0.253570031926583
CEBPB	UNK	0.29830862258893553
CEBPB	AP2S1	0.3161135656282248
CEBPB	SPP1	0.30743091119016164
CEBPB	PRAME	0.1933832953564485
CEBPB	RABAC1	0.19531328764077927
CEBPB	RPS27A	0.20431894871678047
CEBPB	SAMD1	0.20252950625560207
CEBPB	ZSWIM5	0.2410086118520196
CEBPB	LOC144486	0.24328096252121956
CEBPB	LRRC25	0.3661219661531314
CEBPB	C4orf6	0.22833729182711515
CEBPB	MBD4	0.23370224636504489
CEBPB	AADAT	0.26293984757079425
CEBPB	YLPM1	0.23531270754645206
CEBPB	SNX20	0.19687578629022529
CEBPB	GATAD2B	0.19215907523613485
CEBPB	TARBP2	0.22883624134514235
CEBPB	CENPF	0.24296947482438647
CEBPB	SHKBP1	0.20037713413432723
CEBPB	LYRM7	0.23846099464416515
CEBPB	PRKRIR	0.2523632970736731
CEBPB	UBAP2	0.23839236789797358
CEBPB	CENPQ	0.21356638343810097
CEBPB	SIGLEC7	0.2912584052688789
CEBPB	NCF2	0.24073212053488025
CEBPB	GPR65	0.20541390042624208
CEBPB	NCF4	0.31124964246082243
CEBPB	CASC3	0.19710753938861458
CEBPB	SAT1	0.39083242654520856
CEBPB	FADS2	0.2969293734831897
CEBPB	EFEMP2	0.26396033542205277
CEBPB	IBSP	0.24575280890185702
CEBPB	ADORA3	0.293342129697435
CEBPB	TOM1	0.18793276818918248
CEBPB	MAP3K8	0.23333433429464012
CEBPB	PIM3	0.18807060019135236
CEBPB	ZNF445	0.23882596181609372
CEBPB	ZNF687	0.24296073165835352
CEBPB	KPNA3	0.22668099800226393
CEBPB	SLC16A5	0.22245275549427834
CEBPB	ZNF441	0.3716841608923076
CEBPB	ZNF683	0.18714105026324468
CEBPB	SLC38A1	0.22752491882771508
CEBPB	DGAT2	0.20058623938813902
CEBPB	TICAM2	0.20155762872607763
CEBPB	CISH	0.21266701619423234
CEBPB	TICAM1	0.22539980464475118
CEBPB	CDC25A	0.2067597985216567
CEBPB	TPST1	0.2033589578065147
CEBPB	ACAP1	0.19837334879454183
CEBPB	MAPKAPK2	0.2977732350443496
CEBPB	S100A6	0.3792977838790623
CEBPB	KIAA0406	0.24124687625547292
CEBPB	S100A9	0.24719320743623285
CEBPB	ZNF675	0.19083346235884768
CEBPB	KPNB1	0.18726918452823949
CEBPB	S100A8	0.2794763412694312
CEBPB	FTL	0.4137288212968864
