Regulator	Target	MI
CEBPB	NUP107	0.21604214279562228
CEBPB	RPLP0P2	0.18651990949628594
CEBPB	SERPINE1	0.2565647417364101
CEBPB	HNRNPU	0.1995700829521203
CEBPB	DCAF7	0.28653828379792756
CEBPB	ZFYVE28	0.19073330516462228
CEBPB	ENDOU	0.2577901781610956
CEBPB	COMTD1	0.1997310697654182
CEBPB	DIMT1L	0.19157615989597243
CEBPB	GPBP1	0.23482729327621588
CEBPB	C3AR1	0.23837468343674661
CEBPB	VPS36	0.1987836840548809
CEBPB	IER3	0.3101427657270337
CEBPB	PKNOX2	0.21732782259374073
CEBPB	TMEM8B	0.19185390246030654
CEBPB	ACOT9	0.2206348358054333
CEBPB	RNASE6	0.20336744577655796
CEBPB	CACNA2D4	0.325594473035169
CEBPB	RNASE3	0.22766696704452904
CEBPB	RNASE2	0.2587536632519578
CEBPB	RNASE1	0.3025274661855226
CEBPB	EML2	0.26140976793820947
CEBPB	KIAA1217	0.21856907198105624
CEBPB	INTS4L2	0.18631415297349552
CEBPB	BIN3	0.1864730190081758
CEBPB	SPINT1	0.2512353615052456
CEBPB	MTHFD2	0.2378203920766495
CEBPB	WDR82	0.22186066411628858
CEBPB	ETHE1	0.3858149296778466
CEBPB	LGALS12	0.2370446135669857
CEBPB	ZSCAN23	0.24346325707035366
CEBPB	HPRT1	0.20288150556614148
CEBPB	SKAP1	0.2066792264569708
CEBPB	CFD	0.20768038010607448
CEBPB	SF4	0.21661409690995903
CEBPB	CFI	0.24924695999852187
CEBPB	AGAP2	0.2002270463797844
CEBPB	FPR2	0.32195758787762685
CEBPB	SDSL	0.24576961514837592
CEBPB	LY9	0.19139084638661252
CEBPB	HSD11B1	0.21128503843904678
CEBPB	EPB41L5	0.18804146435419522
CEBPB	FAM171A2	0.2122128989538803
CEBPB	HMOX1	0.18959872925948762
CEBPB	NRBF2	0.21581610455856204
CEBPB	ELANE	0.21237162059924408
CEBPB	S100A11	0.32765430584609945
CEBPB	ZNF146	0.2537748768666308
CEBPB	PRR24	0.2242377926962229
CEBPB	PLK3	0.34458908993647075
CEBPB	ST14	0.43369078632651004
CEBPB	TSLP	0.2001382791987094
CEBPB	CADM2	0.25455591005742306
CEBPB	PBX3	0.24104586956267227
CEBPB	CP	0.3819624447177068
CEBPB	FLI1	0.1926722125810274
CEBPB	SLC6A7	0.24867812022679203
CEBPB	TADA2A	0.19098712513531169
CEBPB	VANGL2	0.19415909944607623
CEBPB	ZNF30	0.2810964668416336
CEBPB	FXYD6	0.2188895411280214
CEBPB	HNRNPA1L2	0.19194541799292253
CEBPB	HOXD9	0.18799295732453292
CEBPB	ZBTB8B	0.18787863224027035
CEBPB	C10orf47	0.1924542114409773
CEBPB	GPR18	0.2380524546437739
CEBPB	ARHGAP9	0.2131597925078923
CEBPB	ACHE	0.20374201846037376
CEBPB	PGCP	0.1904430964935857
CEBPB	SERPINA3	0.20659261705239196
CEBPB	ZNF253	0.23661991898929902
CEBPB	SETD2	0.19616234263186882
CEBPB	SERPINA1	0.20747118155955224
CEBPB	SIGLEC9	0.23287956148766487
CEBPB	ZNF493	0.27723196975987285
CEBPB	CATSPER2P1	0.2737956082429793
CEBPB	ARPC1B	0.25202540765660064
CEBPB	HEXA	0.19750322148507315
CEBPB	LOC388588	0.3481079970507466
CEBPB	FRG2C	0.20020444019004824
CEBPB	PHF6	0.19718140764676306
CEBPB	ARHGAP4	0.21354167992194295
CEBPB	ASGR2	0.21311622961245824
CEBPB	MS4A4A	0.26929728581618395
CEBPB	TMEM189	0.20532842401546958
CEBPB	GPR132	0.2522740686666811
CEBPB	IMPA2	0.1945437447880689
CEBPB	KIAA1267	0.2555174587870974
CEBPB	EFCAB2	0.18951621032286248
CEBPB	MRC1	0.1909371511807203
CEBPB	TCTN1	0.2780235475826567
CEBPB	TSPO	0.32706383732773503
CEBPB	SH3BGRL3	0.27871499657248844
CEBPB	FGFBP3	0.2151264383162692
CEBPB	JAK3	0.19463151270264945
CEBPB	TEAD2	0.20522365391393027
CEBPB	C7orf58	0.2926425498733467
CEBPB	RAG1AP1	0.2543316233849149
CEBPB	ELOVL1	0.3022223088401814
CEBPB	GPR39	0.2102234490609476
CEBPB	ZC3H10	0.20064329948990878
CEBPB	ANXA4	0.26925363931163027
CEBPB	SPHK1	0.2234036144013869
CEBPB	SLC39A14	0.26061433074030926
CEBPB	TERF2	0.22373485323787357
CEBPB	VAMP8	0.21462304297663426
CEBPB	PIGB	0.2605449463268883
CEBPB	TMEM37	0.259981797164472
CEBPB	MBLAC2	0.19059238176274018
CEBPB	MMP16	0.26075622926185726
CEBPB	PAX8	0.18943593398363934
CEBPB	RILPL2	0.2728157624485563
CEBPB	C11orf82	0.29820384221944707
CEBPB	DPYD	0.2518582219973533
CEBPB	HCLS1	0.3276571005977429
CEBPB	PLEKHO2	0.20638570798536549
CEBPB	GAS6	0.26384169921235223
CEBPB	VAMP5	0.1965266742931444
CEBPB	GPR125	0.22215238296303852
CEBPB	LOC220930	0.27849949836354426
CEBPB	TMEM106A	0.19466689446782137
CEBPB	KANK1	0.24743841623609697
CEBPB	NFIX	0.20216112053708812
CEBPB	ASIP	0.18747467962375897
CEBPB	COL11A2	0.22438948653874657
CEBPB	GCNT1	0.20325108243620083
CEBPB	ZNF518A	0.32792563512060546
CEBPB	ASCL1	0.2765285382375442
CEBPB	SDAD1	0.24809091926744387
CEBPB	TMEM165	0.2743999801485799
CEBPB	ALOX5	0.2517083101554496
CEBPB	HS1BP3	0.36803550232479587
CEBPB	ZNF225	0.20459405527682684
CEBPB	ZNF346	0.1911352614724855
CEBPB	ZIM2	0.27731310859967806
CEBPB	LRRC25	0.2134573028766935
CEBPB	ZNF100	0.32587836821223704
CEBPB	ZNF221	0.21869439887963615
CEBPB	IL10RB	0.27550079001912664
CEBPB	PKM2	0.35644030980628383
CEBPB	IL10RA	0.2167922487954428
CEBPB	GRRP1	0.20925858528265362
CEBPB	MYBPH	0.31385136520037804
CEBPB	NMNAT3	0.1947860104825736
CEBPB	KIAA2013	0.2367414563764756
CEBPB	PLXDC2	0.2554147994991922
CEBPB	DHRS3	0.23550152606678143
CEBPB	FAM128B	0.22407279384294565
CEBPB	RNF149	0.3947775906192099
CEBPB	SNX17	0.22246325324687177
CEBPB	A4GNT	0.19707359469429608
CEBPB	CLCF1	0.2231657163666556
CEBPB	HYLS1	0.26247535061539295
CEBPB	TMEM39A	0.2526637620704406
CEBPB	PLP2	0.29149384399226186
CEBPB	PLCD3	0.19226061671789463
CEBPB	MIXL1	0.20380412639405243
CEBPB	CCL26	0.36489232066710553
