Regulator	Target	MI
CEBPB	JRK	0.19002927749672072
CEBPB	SPI1	0.4275908054205404
CEBPB	GMFG	0.35048299203657507
CEBPB	IFT172	0.21834415900992
CEBPB	SPINT2	0.18794406668946095
CEBPB	F11R	0.3010709561676119
CEBPB	ISM1	0.20665498370270896
CEBPB	FAM159A	0.23672390560495593
CEBPB	LOC642846	0.2173527119727643
CEBPB	KIAA1107	0.278835371054285
CEBPB	COMTD1	0.20759460599783086
CEBPB	CAPNS1	0.27095699011822116
CEBPB	C14orf72	0.23828411369916136
CEBPB	ZC3H12A	0.5694367033729799
CEBPB	C3AR1	0.32296123641108565
CEBPB	PKNOX2	0.26769327509782137
CEBPB	FNBP4	0.19084204879407007
CEBPB	GSTK1	0.2999650060073904
CEBPB	CXADR	0.20052410011625454
CEBPB	HDGFRP3	0.27918664068422583
CEBPB	FRS2	0.20886946604198453
CEBPB	BHLHA15	0.22427177009810606
CEBPB	CACNA2D4	0.34926099619936046
CEBPB	CH25H	0.3835811718815796
CEBPB	RPL13AP20	0.20349105321886363
CEBPB	DDIT4	0.20982569383238125
CEBPB	ORAI3	0.31926724668329154
CEBPB	LOC550643	0.19535819293660062
CEBPB	SHMT1	0.2018499003523031
CEBPB	ZNF24	0.24832350551490023
CEBPB	EPB41L5	0.20758404885047543
CEBPB	RDH10	0.35299393939115564
CEBPB	PDGFC	0.19897940988774376
CEBPB	ATG7	0.23632901154149355
CEBPB	GSTM4	0.23721680424023361
CEBPB	HLA-DRB5	0.3484844638098199
CEBPB	PRPF38A	0.2550254591982375
CEBPB	BTBD18	0.1878168997902545
CEBPB	BTBD12	0.31949671281468284
CEBPB	LOC606724	0.3399647770065837
CEBPB	NR2F6	0.2749433780266761
CEBPB	TREML1	0.20392289385682538
CEBPB	VANGL1	0.22687701782868164
CEBPB	VANGL2	0.2854653906468174
CEBPB	FASN	0.300314985788245
CEBPB	TREML3	0.21610202120066013
CEBPB	TREML2	0.28350892331230515
CEBPB	DLX6AS	0.28183817943918044
CEBPB	FXYD6	0.3059523720386359
CEBPB	FXYD5	0.45659446289660366
CEBPB	DZIP3	0.2871552841848031
CEBPB	HLA-DRB1	0.2416764007075196
CEBPB	ARHGAP9	0.4120192927115722
CEBPB	PGCP	0.32373987734126963
