Regulator	Target	MI
CEBPB	ATF2	0.23735304099479837
CEBPB	SPI1	0.47765544683672
CEBPB	GMFG	0.2574319142265198
CEBPB	SLA2	0.24211873017660146
CEBPB	TMEM93	0.19480515266309073
CEBPB	IL4I1	0.19756309093270819
CEBPB	LACTB	0.23321991624943816
CEBPB	KIAA1109	0.2033235643797049
CEBPB	RRN3P1	0.24838221945482175
CEBPB	TDO2	0.21860657284880247
CEBPB	C14orf72	0.1888233104696324
CEBPB	ZC3H12A	0.30246965653913094
CEBPB	GABARAPL2	0.2232852921449453
CEBPB	GSTK1	0.1910542906507562
CEBPB	STARD5	0.20214667874622716
CEBPB	CSNK2A1	0.23128225856236817
CEBPB	STARD8	0.2010149510852841
CEBPB	RNASE6	0.19918869719165144
CEBPB	FAM158A	0.1884409076296727
CEBPB	RNASE2	0.30254029083982736
CEBPB	RUFY1	0.19992228440089388
CEBPB	MYL6	0.28979665400291044
CEBPB	DDIT3	0.22919613289556384
CEBPB	CYP2E1	0.19136870709671783
CEBPB	PADI1	0.19677475929623256
CEBPB	SF4	0.28949299978388154
CEBPB	ZNF271	0.18866987635021903
CEBPB	MTMR9	0.3030046463039575
CEBPB	RNF219	0.2547328395823234
CEBPB	AGAP4	0.2004933888487459
CEBPB	FPR2	0.21423816565890874
CEBPB	ZNF24	0.19226141143836273
CEBPB	C2	0.22330764256550228
CEBPB	C3	0.2126184112595384
CEBPB	CYB5R1	0.255413967873074
CEBPB	HSPH1	0.26513431221314665
CEBPB	RNF215	0.22864589052549622
CEBPB	NCRNA00119	0.28917492489111396
CEBPB	RHBDL2	0.2766485546163766
CEBPB	BTBD19	0.20530265459996055
CEBPB	JUN	0.22910013297197374
CEBPB	TIPARP	0.22229681147853597
CEBPB	EDEM2	0.3403237775876722
CEBPB	BTBD11	0.3661664491366974
CEBPB	BTBD12	0.21051701751470286
CEBPB	LYZ	0.231857358351661
CEBPB	PBX1	0.31875920407619684
CEBPB	LOC606724	0.32539530428246977
CEBPB	DHFR	0.20418405012656393
CEBPB	TREML1	0.19131252725749448
CEBPB	FXYD2	0.20037006476171992
CEBPB	FAT3	0.2607447714171336
CEBPB	FXYD5	0.25924778701620443
CEBPB	HLA-DRB1	0.22191788542298596
CEBPB	FERMT3	0.31269855174626127
CEBPB	ARHGAP9	0.28022457606348894
CEBPB	ZNF496	0.20485344692944096
CEBPB	PGCP	0.2683578556867827
CEBPB	PIGT	0.2628321947781611
CEBPB	SIGLEC9	0.28544755715863435
CEBPB	ZNF493	0.2236020655722477
CEBPB	WFIKKN1	0.2225600879977394
CEBPB	CATSPER2P1	0.2692125370092846
CEBPB	HEXB	0.37638203445031326
CEBPB	C13orf23	0.27510744323550007
CEBPB	HEXA	0.36151468437796463
CEBPB	PIGP	0.189439271465627
CEBPB	TMEM51	0.19738419016718556
CEBPB	ODF3L1	0.2883791506068887
CEBPB	FAM115A	0.22903902885954164
CEBPB	ARHGAP4	0.47516720208420526
CEBPB	JPH4	0.30564011678519254
CEBPB	TMEM43	0.2462966574271901
CEBPB	B3GALT1	0.23929255454671328
CEBPB	ZNF41	0.18662197859553498
CEBPB	TSPO	0.20652862305865938
CEBPB	SH3BGRL3	0.2313792034259281
CEBPB	TPSAB1	0.21708630699252485
CEBPB	IKBKE	0.3242554841684475
CEBPB	IKBIP	0.19578281428014588
CEBPB	LRRC47	0.3974106035639897
CEBPB	CHST6	0.21404670484930755
CEBPB	ACTL6B	0.19492440347555995
CEBPB	RIPK3	0.20383705454144607
CEBPB	GSTO1	0.21725410183335203
CEBPB	JOSD2	0.42470157520139207
CEBPB	DUSP8	0.18856983921936532
CEBPB	SLC39A14	0.4610826127396894
CEBPB	TOMM40L	0.20453221216609485
CEBPB	SUMF1	0.19007758297681931
CEBPB	VAMP8	0.27668539038516204
CEBPB	PIGB	0.2558274817603241
CEBPB	TMEM37	0.2888800882767004
CEBPB	MBLAC2	0.2391235852455882
CEBPB	SLC7A7	0.2696494174355548
CEBPB	VAMP7	0.25293143182736344
CEBPB	RILPL2	0.47824755223764726
CEBPB	OAF	0.39266107328916
CEBPB	DPYD	0.24404689251558764
CEBPB	C13orf26	0.20507713797118665
CEBPB	SMTNL2	0.24531602421252074
CEBPB	HCST	0.23498837545542717
CEBPB	SNORA63	0.23126740799917922
CEBPB	RAPGEF4	0.20363848374940563
CEBPB	SMTNL1	0.19852768806676568
CEBPB	RNASEN	0.1890548109950334
CEBPB	ZNF473	0.2763732066969382
CEBPB	GPR45	0.2307307769509066
CEBPB	PTGS2	0.32483996803852655
CEBPB	PRAM1	0.2647576836704184
CEBPB	PTGS1	0.18867472863948986
CEBPB	HLA-DMA	0.47321208262561765
CEBPB	GBX2	0.19376079911445032
CEBPB	UCP2	0.25271297685918803
CEBPB	HAS3	0.2652744876283091
CEBPB	ANO10	0.29991136207164093
CEBPB	ZSWIM6	0.20256787676684684
CEBPB	IL12RB1	0.2473020381610933
CEBPB	CSMD1	0.29247868591471526
CEBPB	LRRC25	0.3641056054906562
CEBPB	C20orf177	0.3667206507351448
CEBPB	EMR2	0.22342282652713497
CEBPB	FLJ35776	0.233419566029335
CEBPB	PLXDC2	0.4491446263706864
CEBPB	SPSB1	0.20345704295995048
CEBPB	LRG1	0.24797161909476717
CEBPB	FABP6	0.18924179015992681
CEBPB	HLA-DPB1	0.28237799572246836
CEBPB	PRKRIR	0.27061541128394495
CEBPB	YPEL1	0.3903168199253306
CEBPB	NCAPD3	0.23479501801861602
CEBPB	SIGLEC1	0.20291886790243208
CEBPB	ZNF699	0.3049507848950528
CEBPB	CENPQ	0.18583939123758952
CEBPB	SIGLEC7	0.26167584889297313
CEBPB	ZNF696	0.20133328317803478
CEBPB	NCF1	0.297258435576353
CEBPB	NCF2	0.2402299634508278
CEBPB	GPR65	0.3064184755870105
CEBPB	GMNN	0.22102327595387194
CEBPB	NCF4	0.3123504249167883
CEBPB	F13A1	0.2909420948553647
CEBPB	SLA	0.3069668348347152
CEBPB	SAT1	0.40761362801065015
CEBPB	HDDC3	0.26127504343546804
CEBPB	CXCL16	0.23664528803878593
CEBPB	NUDT10	0.28440628957334724
CEBPB	EFEMP2	0.22003692636698435
CEBPB	SLN	0.2001255983135355
CEBPB	ADORA3	0.25132963084448434
CEBPB	MAP3K8	0.30473541906508395
CEBPB	MAP3K9	0.32043252256051424
CEBPB	HLA-DOA	0.24839814740971367
CEBPB	PITX1	0.23253591177800015
CEBPB	ZNF441	0.24910042984690417
CEBPB	ZNF683	0.19451131491336682
CEBPB	ZNF681	0.2022399824088863
CEBPB	CISH	0.23009285270236202
CEBPB	LOC285830	0.2559697068860807
CEBPB	ATP11A	0.18630171233902537
CEBPB	CASD1	0.2532175957889393
CEBPB	ACAP3	0.4335259345673421
CEBPB	MSH2	0.2368154854744713
CEBPB	FRMD8	0.3023225021181739
CEBPB	SLC9A8	0.2075929919558117
CEBPB	MAPKAPK2	0.23876177001821564
CEBPB	MAPKAPK5	0.22493632221535975
CEBPB	S100A4	0.23379518897050833
CEBPB	KIAA0406	0.19639433840041054
CEBPB	ZNF434	0.2667351946308152
CEBPB	SQSTM1	0.27540647464360024
CEBPB	S100A8	0.18599668548577863
CEBPB	FTL	0.2528612856188719
CEBPB	LRRC58	0.19847363254921646
CEBPB	KHDRBS1	0.19700156310580663
CEBPB	BLM	0.33862153454338717
CEBPB	PFKFB3	0.25783926961943937
CEBPB	KCNE3	0.2293780963364016
CEBPB	LOC100233209	0.21237182869479287
CEBPB	MAZ	0.19685166012392497
CEBPB	CREM	0.25120160551084236
CEBPB	SPATA1	0.22272436801914974
CEBPB	LY96	0.3019481937063295
CEBPB	CREBL2	0.28863830575583016
CEBPB	UAP1	0.20124151443578686
CEBPB	GPR84	0.29510160362114757
CEBPB	TNFRSF11A	0.25078868913332997
CEBPB	SPATA5	0.3471819281861146
CEBPB	CORO1A	0.3359674152489047
CEBPB	KRCC1	0.2361849583075868
CEBPB	GLIS1	0.18828381691852236
CEBPB	RAP1B	0.286934158823029
CEBPB	TMEM26	0.1903952336008139
CEBPB	DBC1	0.23341013354264284
CEBPB	SOCS1	0.21170186647686062
CEBPB	DSEL	0.32415458981910383
CEBPB	ZNF429	0.23919265359971043
CEBPB	CLTCL1	0.19706093241277944
CEBPB	C9orf89	0.23358467280519246
CEBPB	ZNF426	0.20566687914621262
CEBPB	EIF4EBP3	0.29743125617698674
CEBPB	SOCS7	0.2703263497645665
CEBPB	ZKSCAN1	0.21938352805012418
CEBPB	FLJ44606	0.2765902380188079
CEBPB	ZNF662	0.2394727101174725
CEBPB	LY86	0.2692817928707454
CEBPB	ZBTB12	0.21597822393640875
CEBPB	DCDC1	0.20332627984710605
CEBPB	RPS10P7	0.35874149396548827
