Regulator	Target	MI
CEBPB	SPI1	0.4781324206708195
CEBPB	SLA2	0.22501780554833228
CEBPB	FAM110A	0.2287204803066869
CEBPB	C14orf79	0.2626985262385526
CEBPB	DPYSL4	0.21734680271804585
CEBPB	C14orf72	0.42454865279337106
CEBPB	ZC3H12B	0.2339345981988643
CEBPB	ZC3H12A	0.46522377932845504
CEBPB	C3AR1	0.2519961033267384
CEBPB	MLYCD	0.23509911895963587
CEBPB	PKNOX1	0.23829878177104202
CEBPB	CACNA2D3	0.2720776173366568
CEBPB	DHDH	0.1954007115567551
CEBPB	CACNA2D4	0.4597314575748692
CEBPB	ASPHD1	0.26081340548430987
CEBPB	PLBD1	0.29212054433616874
CEBPB	GTSF1	0.21806221476033816
CEBPB	CDCA5	0.26319395048764704
CEBPB	LYPD3	0.37441094239641703
CEBPB	KCNQ1OT1	0.22377165531203858
CEBPB	MOV10L1	0.20955703032476336
CEBPB	ATRIP	0.28419087877541127
CEBPB	BTBD19	0.3178043891453921
CEBPB	PRPF38A	0.3829019894408052
CEBPB	TSLP	0.25482043045345737
CEBPB	FUCA1	0.24980865372040562
CEBPB	PGA5	0.19765997352743714
CEBPB	LOC606724	0.22967678080223752
CEBPB	TREML1	0.29664748810075015
CEBPB	VANGL1	0.28675217442766066
CEBPB	FASN	0.305558722014438
CEBPB	TREML3	0.3560147300099574
CEBPB	FAT3	0.25869774259173806
CEBPB	FXYD5	0.19536284767356804
CEBPB	ZNF498	0.23091592730998833
CEBPB	LGMN	0.4220415988859818
CEBPB	ARHGAP9	0.4707188047982793
CEBPB	PGCP	0.24513836469850414
CEBPB	SIGLEC9	0.6421238668760827
CEBPB	LOC92973	0.2850564297227747
CEBPB	HOXC13	0.22553436124534088
CEBPB	FRG2C	0.24253012562592247
CEBPB	SHD	0.2705817003519364
CEBPB	ARHGAP4	0.33326007979519545
CEBPB	OSBPL10	0.2212547395780602
CEBPB	TSPO	0.38531345746088785
CEBPB	JAK3	0.18940348473665214
CEBPB	SULT1C4	0.30592367181595126
CEBPB	RAG1AP1	0.23088611810509008
CEBPB	CHST6	0.2976572109854736
CEBPB	METRN	0.27292094648270115
CEBPB	SPHK1	0.19801700942792788
CEBPB	SLC39A11	0.24395586242032952
CEBPB	MMP10	0.2501459012461211
CEBPB	PGM2L1	0.2317381350905956
CEBPB	DDB1	0.2649314436859038
CEBPB	MMP14	0.2946539605087102
CEBPB	MED24	0.2774294290133028
CEBPB	SLC7A7	0.376718459503536
CEBPB	DPYD	0.395556752054639
CEBPB	LOC100268168	0.2154964162026447
CEBPB	HCST	0.24743575795823514
CEBPB	CRB1	0.24796292688863897
CEBPB	ZNF473	0.23414608355301603
CEBPB	KCNA2	0.19759421249001274
CEBPB	KCNA5	0.2427515019759392
CEBPB	NEURL1B	0.3650788139375356
CEBPB	FRZB	0.20798309704803142
CEBPB	SPOP	0.19082688217535004
CEBPB	SPP1	0.3663747428973938
CEBPB	IL12RB1	0.26694309472283706
CEBPB	RIC3	0.20234510530220806
CEBPB	PKM2	0.3209544961049424
CEBPB	MCRS1	0.279220296898532
CEBPB	SNX20	0.23251448568560207
CEBPB	SKI	0.22366622207914766
CEBPB	CENPE	0.1967342261654066
CEBPB	CENPJ	0.24736680194687288
CEBPB	ZNF74	0.21439166110487928
CEBPB	YPEL1	0.28863040783632066
CEBPB	NCAPD3	0.19924912138372264
CEBPB	SIGLEC7	0.5072274260210543
CEBPB	C6orf1	0.24629580397150797
CEBPB	CASC5	0.2525090109836716
CEBPB	SLA	0.23119429723767837
CEBPB	CASC3	0.23597348912359273
CEBPB	ATP12A	0.1865011842747588
CEBPB	LAPTM4B	0.22746401789876902
CEBPB	NUDT10	0.19012478790700715
CEBPB	ADORA3	0.4252314606961489
CEBPB	MAP3K8	0.5342823245925707
CEBPB	TNFRSF4	0.22715881164763108
CEBPB	MAP3K5	0.20612488055050981
CEBPB	KCNH2	0.28741127697037516
CEBPB	KCNH5	0.20520179466281352
CEBPB	FBXW8	0.21430353341813646
CEBPB	CNPY3	0.26482023017163847
CEBPB	TC2N	0.22514214568850832
CEBPB	CDC25A	0.32386000812082916
CEBPB	MSH2	0.399314394662027
CEBPB	MFNG	0.2225345738580673
CEBPB	PKP4	0.3063986005881585
CEBPB	PTPRCAP	0.19387334237650844
CEBPB	FTL	0.18806084704653347
CEBPB	ZNF431	0.3484709073343044
CEBPB	KCNE3	0.18693713220447172
CEBPB	SHC1	0.31255587790198636
CEBPB	AGAP11	0.395125416618785
CEBPB	UAP1	0.25770782245842305
CEBPB	PKMYT1	0.2347993179456349
CEBPB	CCDC144C	0.1961935604449705
CEBPB	BAT2L1	0.2124587963024238
CEBPB	PGK1	0.21222197276042642
CEBPB	ZKSCAN5	0.2477946645857223
CEBPB	NAE1	0.19726674104728037
CEBPB	HTR1D	0.2696644646621351
CEBPB	LY86	0.3588495901803439
CEBPB	HPS5	0.26296401060314434
CEBPB	FBXO32	0.3631741022895394
CEBPB	TMPRSS13	0.21622849327731064
CEBPB	NDC80	0.23844391965149914
CEBPB	TBXAS1	0.40170308967478174
CEBPB	SP6	0.2314282169097881
CEBPB	SPRN	0.22731481634790018
CEBPB	CIITA	0.21815752767312802
CEBPB	ITGAM	0.21326248411526816
CEBPB	PTEN	0.2304292047332943
CEBPB	MSLN	0.45014213378125145
CEBPB	ELFN1	0.29018391400894217
CEBPB	KIAA1549	0.27238464779011196
CEBPB	C14orf34	0.21364720465690645
CEBPB	SPR	0.19704182629782174
CEBPB	ACP6	0.2526864377073492
CEBPB	TAGAP	0.1916381103762248
CEBPB	BCAS1	0.19960002141975153
CEBPB	GNRHR2	0.18808905325580838
CEBPB	RNASET2	0.28570462230022464
CEBPB	TNFRSF18	0.19462155414442694
CEBPB	ITGA1	0.27427633646243077
CEBPB	TNFRSF1B	0.2577418764104529
CEBPB	TMBIM4	0.18748190117696772
CEBPB	HAND2	0.31340776386122116
CEBPB	LOC100132707	0.20450112369280582
CEBPB	PCCB	0.26976916151110686
CEBPB	TMBIM1	0.24539786638723182
CEBPB	ETF1	0.25552543873434796
CEBPB	LCP2	0.1952571080813268
CEBPB	ITGA5	0.38576137782272024
CEBPB	LCP1	0.3282123549092377
CEBPB	ACPP	0.31164811105554513
CEBPB	BCAT2	0.19467361590209364
CEBPB	C1S	0.3365765744401594
CEBPB	ROCK1	0.267704817200781
CEBPB	GTPBP10	0.18666671714035665
CEBPB	IL2RG	0.2420592206290495
CEBPB	DRAM1	0.2952354477846173
CEBPB	E2F2	0.20574247122437583
CEBPB	RILP	0.25814511337661816
CEBPB	KCNJ2	0.2687334673342976
CEBPB	HNRNPA0	0.21959416169917212
CEBPB	KC6	0.19295649744505816
CEBPB	MARCKSL1	0.2264229931069366
CEBPB	MYO10	0.2178912307866092
CEBPB	TSPAN15	0.2305513482542576
CEBPB	TSPAN19	0.26975425093638616
CEBPB	OCIAD1	0.19224923151460338
