Regulator	Target	MI
CEBPB	SPI1	0.48985696751039054
CEBPB	POP1	0.5860088779848045
CEBPB	SPINT2	0.2406137926273706
CEBPB	SLA2	0.3058365866468016
CEBPB	ISM2	0.25777466253701053
CEBPB	PTPDC1	0.3274623363758744
CEBPB	LOC642846	0.19620446727834562
CEBPB	TBK1	0.19916502308306328
CEBPB	CAPNS1	0.199059485284101
CEBPB	SCP2	0.23431396480102507
CEBPB	C3AR1	0.2655491807332204
CEBPB	ANKFY1	0.2462092242120839
CEBPB	CACNA2D2	0.24364167569900097
CEBPB	HDGFRP3	0.3540532365688689
CEBPB	CACNA2D4	0.3833905083463156
CEBPB	RC3H2	0.22015388962645766
CEBPB	ASPHD1	0.22319364085765603
CEBPB	CTAGE4	0.2060756208029355
CEBPB	DDIT3	0.26381582895599287
CEBPB	DDIT4	0.23077409696789442
CEBPB	ORAI3	0.3120774377701139
CEBPB	C14orf80	0.32567455623868913
CEBPB	EXD1	0.20009101561457143
CEBPB	COL13A1	0.27425970544525846
CEBPB	ZNF22	0.21985005921262069
CEBPB	BAZ2B	0.2562438864507879
CEBPB	ADAMTS16	0.24074211194642015
CEBPB	EPB41L5	0.19422806863240094
CEBPB	SCGB1D2	0.27773264918918894
CEBPB	C14orf93	0.21221452889626047
CEBPB	RDH14	0.3078050221991866
CEBPB	ATG7	0.1982385832226461
CEBPB	PRPF38A	0.18597118400090284
CEBPB	EIF2AK1	0.3185442003553147
CEBPB	PBX3	0.1868325092446277
CEBPB	PBX1	0.41039938922714736
CEBPB	LOC606724	0.4022603305858281
CEBPB	DHFR	0.1900959101238744
CEBPB	TREML1	0.25684489740617433
CEBPB	CILP	0.22036087285441663
CEBPB	TREML2	0.34928370480945947
CEBPB	ZNF30	0.3611313296133929
CEBPB	FAT3	0.19230021208499526
CEBPB	FXYD5	0.20963995207928043
CEBPB	DZIP3	0.236303285204702
CEBPB	ARHGAP9	0.2142508830484715
CEBPB	SIGLEC9	0.5582260049440206
CEBPB	ZNF493	0.3290697447437223
CEBPB	NCAPG2	0.28869502786183077
CEBPB	HOXC13	0.22157105165844726
CEBPB	ZNF48	0.2802657091267786
CEBPB	ARHGAP4	0.2924141178817896
CEBPB	IL18BP	0.3062534703444255
CEBPB	ZNF41	0.30481998610406347
CEBPB	MTMR15	0.34050190525072743
CEBPB	NEFL	0.23935740715358644
CEBPB	TSPO	0.33487123528011686
CEBPB	TPSAB1	0.27018368387609204
CEBPB	JAK3	0.37052138291836645
CEBPB	DLGAP5	0.24057461940148617
CEBPB	ZNF487	0.20150769600517648
CEBPB	SULT1C4	0.1922250486084982
CEBPB	CHST7	0.20418583024494197
CEBPB	TPSG1	0.25371213387789293
CEBPB	DUSP1	0.389822605309031
CEBPB	GSTO1	0.2940977839686152
CEBPB	EPS15L1	0.5528215142735977
CEBPB	FOS	0.4032705382711512
CEBPB	JOSD2	0.202570435605538
CEBPB	BAZ1B	0.2721869804223491
CEBPB	FAM113B	0.21214936581197552
CEBPB	OAF	0.3642223698982656
CEBPB	PTRH2	0.1991618469998011
CEBPB	MMP19	0.19150166569563165
CEBPB	RAPGEF5	0.19914817508011495
CEBPB	SAMD5	0.22362017243484367
CEBPB	ZNF473	0.4119014220381443
CEBPB	ODC1	0.37208771693715725
CEBPB	ADAM28	0.27291440959540214
CEBPB	EXOSC10	0.18794254686138778
CEBPB	ADAM23	0.20397484228849194
CEBPB	SPP1	0.29380555867781855
CEBPB	EGLN3	0.216689484963263
CEBPB	CENPW	0.1984269649376289
CEBPB	C10orf4	0.2917483904942699
CEBPB	PKM2	0.4816381339593052
CEBPB	ATAD2	0.2616648241674584
CEBPB	SNX21	0.28728285586152413
