Regulator	Target	MI	pvalue
CEBPB	SSR3	0.24630438498473542	1.2223555501122974E-11
CEBPB	AGTRAP	0.31185538071650537	0.0
RUNX1	EFCAB7	0.27588014697878344	0.0
FOSL2	EGF	0.26584212294794296	0.004539787527535477
STAT3	ETF1	0.24319022866572396	0.004539787527535477
CEBPB	ST14	0.38879079682050405	0.0
RUNX1	ZBTB8B	0.27540108593155155	0.0
FOSL2	EED	0.30039045981517903	0.0
BHLHE40	TRIP10	0.2635242850000888	5.2193469646244495E-5
RUNX1	ZBTB42	0.27481046368976836	0.0
CEBPD	SLC8A3	0.24423351991572873	0.0
CEBPD	PTBP2	0.26635468781605076	0.0010657119820622896
BHLHE40	RAD51AP1	0.28289913908718384	2.6280644327414393E-9
RUNX1	ZBTB33	0.2593950484707607	5.2193469646244495E-5
CEBPB	BAI3	0.2664284190568324	0.0
FOSL2	ENG	0.2796392557164712	1.2223555501122974E-11
BHLHE40	CD44	0.3626769487527811	8.112773786095318E-8
RUNX1	SIRT4	0.26023633991061657	0.0
FOSL2	ELL	0.3171817790441751	0.0
BHLHE40	CCT5	0.2573348965385799	4.300246825295062E-7
BHLHE40	CCT2	0.24323792342741687	2.4040999261343288E-4
BHLHE40	CCT3	0.24598995720068445	0.0010657119820622896
FOSL2	SLC6A1	0.25157644227997	0.0
RUNX1	RASSF5	0.30367567632810855	0.004539787527535477
FOSL2	NOTCH3	0.2877546012008264	0.0
FOSL2	SLC6A6	0.26059212319185593	8.112773786095318E-8
BHLHE40	ITGA3	0.2971252640128707	0.0
BHLHE40	ITGA7	0.24585506729780834	0.01855443637692744
STAT3	PPP2R2D	0.25225552212918684	2.4040999261343288E-4
BHLHE40	ITGB4	0.28596548202987904	2.6280644327414393E-9
BHLHE40	ITGB5	0.27396929940507936	0.0010657119820622896
CEBPD	MYBPH	0.2655092309786332	2.4040999261343288E-4
FOSL2	SLC41A2	0.2265931679931739	0.01855443637692744
CEBPB	BAK1	0.23212856024286352	0.0010657119820622896
BHLHE40	TRAF4	0.2706505886143205	0.01855443637692744
FOSL2	TRAF3IP1	0.25470844666653003	0.0010657119820622896
BHLHE40	TRAF1	0.23839854732257157	0.0
STAT3	HSPE1	0.27020470678297204	0.01855443637692744
